Name;Type;DLL;SymbolOrOrdinal
I_ScGetCurrentGroupStateW;code;ADVAPI32.dll;?I_ScGetCurrentGroupStateW@@YGKPAUSC_HANDLE__@@PAGPAK@Z (unsigned long __stdcall I_ScGetCurrentGroupStateW(struct SC_HANDLE__ *,unsigned short *,unsigned long *))
AbortSystemShutdownA;code;ADVAPI32.dll;_AbortSystemShutdownA@4
AbortSystemShutdownW;code;ADVAPI32.dll;_AbortSystemShutdownW@4
AccessCheck;code;ADVAPI32.dll;_AccessCheck@32
AccessCheckAndAuditAlarmA;code;ADVAPI32.dll;_AccessCheckAndAuditAlarmA@44
AccessCheckAndAuditAlarmW;code;ADVAPI32.dll;_AccessCheckAndAuditAlarmW@44
AccessCheckByType;code;ADVAPI32.dll;_AccessCheckByType@44
AccessCheckByTypeAndAuditAlarmA;code;ADVAPI32.dll;_AccessCheckByTypeAndAuditAlarmA@64
AccessCheckByTypeAndAuditAlarmW;code;ADVAPI32.dll;_AccessCheckByTypeAndAuditAlarmW@64
AccessCheckByTypeResultList;code;ADVAPI32.dll;_AccessCheckByTypeResultList@44
AccessCheckByTypeResultListAndAuditAlarmA;code;ADVAPI32.dll;_AccessCheckByTypeResultListAndAuditAlarmA@64
AccessCheckByTypeResultListAndAuditAlarmByHandleA;code;ADVAPI32.dll;_AccessCheckByTypeResultListAndAuditAlarmByHandleA@68
AccessCheckByTypeResultListAndAuditAlarmByHandleW;code;ADVAPI32.dll;_AccessCheckByTypeResultListAndAuditAlarmByHandleW@68
AccessCheckByTypeResultListAndAuditAlarmW;code;ADVAPI32.dll;_AccessCheckByTypeResultListAndAuditAlarmW@64
AddAccessAllowedAce;code;ADVAPI32.dll;_AddAccessAllowedAce@16
AddAccessAllowedAceEx;code;ADVAPI32.dll;_AddAccessAllowedAceEx@20
AddAccessAllowedObjectAce;code;ADVAPI32.dll;_AddAccessAllowedObjectAce@28
AddAccessDeniedAce;code;ADVAPI32.dll;_AddAccessDeniedAce@16
AddAccessDeniedAceEx;code;ADVAPI32.dll;_AddAccessDeniedAceEx@20
AddAccessDeniedObjectAce;code;ADVAPI32.dll;_AddAccessDeniedObjectAce@28
AddAce;code;ADVAPI32.dll;_AddAce@20
AddAuditAccessAce;code;ADVAPI32.dll;_AddAuditAccessAce@24
AddAuditAccessAceEx;code;ADVAPI32.dll;_AddAuditAccessAceEx@28
AddAuditAccessObjectAce;code;ADVAPI32.dll;_AddAuditAccessObjectAce@36
AddConditionalAce;code;ADVAPI32.dll;_AddConditionalAce@32
AddMandatoryAce;code;ADVAPI32.dll;_AddMandatoryAce@20
AddUsersToEncryptedFile;code;ADVAPI32.dll;_AddUsersToEncryptedFile@8
AddUsersToEncryptedFileEx;code;ADVAPI32.dll;_AddUsersToEncryptedFileEx@16
AdjustTokenGroups;code;ADVAPI32.dll;_AdjustTokenGroups@24
AdjustTokenPrivileges;code;ADVAPI32.dll;_AdjustTokenPrivileges@24
