Name;Type;DLL;SymbolOrOrdinal
CopyDropFilesFrom16;code;wow32.dll;_CopyDropFilesFrom16@4
CopyDropFilesFrom32;code;wow32.dll;_CopyDropFilesFrom32@4
GetCommHandle;code;wow32.dll;_GetCommHandle@4
GetCommShadowMSR;code;wow32.dll;_GetCommShadowMSR@4
W32Dispatch;code;wow32.dll;_W32Dispatch@0
W32HungAppNotifyThread;code;wow32.dll;_W32HungAppNotifyThread@4
W32Init;code;wow32.dll;_W32Init@4
WOW32DriverCallback;code;wow32.dll;_WOW32DriverCallback@28
WOW32ResolveHandle;code;wow32.dll;_WOW32ResolveHandle@24
WOW32ResolveMemory;code;wow32.dll;_WOW32ResolveMemory@4
WOWCallback16;code;wow32.dll;_WOWCallback16@8
WOWCallback16Ex;code;wow32.dll;_WOWCallback16Ex@20
WOWDirectedYield16;code;wow32.dll;_WOWDirectedYield16@4
WOWFreeMetafile;code;wow32.dll;_WOWFreeMetafile@4
WOWGetLastAppPointer;code;wow32.dll;_WOWGetLastAppPointer@0
WOWGetVDMPointer;code;wow32.dll;_WOWGetVDMPointer@12
WOWGetVDMPointerFix;code;wow32.dll;_WOWGetVDMPointerFix@12
WOWGetVDMPointerUnfix;code;wow32.dll;_WOWGetVDMPointerUnfix@4
WOWGlobalAlloc16;code;wow32.dll;_WOWGlobalAlloc16@8
WOWGlobalAllocLock16;code;wow32.dll;_WOWGlobalAllocLock16@12
WOWGlobalFree16;code;wow32.dll;_WOWGlobalFree16@4
WOWGlobalLock16;code;wow32.dll;_WOWGlobalLock16@4
WOWGlobalLockSize16;code;wow32.dll;_WOWGlobalLockSize16@8
WOWGlobalUnlock16;code;wow32.dll;_WOWGlobalUnlock16@4
WOWGlobalUnlockFree16;code;wow32.dll;_WOWGlobalUnlockFree16@4
WOWHandle16;code;wow32.dll;_WOWHandle16@8
WOWHandle32;code;wow32.dll;_WOWHandle32@8
WOWUseMciavi16;code;wow32.dll;_WOWUseMciavi16@0
WOWYield16;code;wow32.dll;_WOWYield16@0
