Name;Type;DLL;SymbolOrOrdinal
RtlDeleteElementGenericTable2;code;SAMSRV.dll;_RtlDeleteElementGenericTable2@8
RtlInitializeGenericTable2;code;SAMSRV.dll;_RtlInitializeGenericTable2@16
RtlInsertElementGenericTable2;code;SAMSRV.dll;_RtlInsertElementGenericTable2@12
RtlLookupElementGenericTable2;code;SAMSRV.dll;_RtlLookupElementGenericTable2@8
SAM_MIDL_user_allocate;code;SAMSRV.dll;_SAM_MIDL_user_allocate@4
SAM_MIDL_user_free;code;SAMSRV.dll;_SAM_MIDL_user_free@4
SamDsExtAlloc;code;SAMSRV.dll;_SamDsExtAlloc@4
SamDsExtFree;code;SAMSRV.dll;_SamDsExtFree@4
SamIAccountRestrictions;code;SAMSRV.dll;_SamIAccountRestrictions@24
SamIAddDSNameToAlias;code;SAMSRV.dll;_SamIAddDSNameToAlias@12
SamIChangePasswordForeignUser;code;SAMSRV.dll;_SamIChangePasswordForeignUser@24
SamIClaimIsValid;code;SAMSRV.dll;_SamIClaimIsValid@4
SamIConnect;code;SAMSRV.dll;_SamIConnect@16
SamIConvertSecurityAttributesToClaimsBlob;code;SAMSRV.dll;_SamIConvertSecurityAttributesToClaimsBlob@12
SamICopyCurrentDomainAccountSettings;code;SAMSRV.dll;_SamICopyCurrentDomainAccountSettings@4
SamICreateKrbTgt;code;SAMSRV.dll;_SamICreateKrbTgt@12
SamIDecodeClaimsBlob;code;SAMSRV.dll;_SamIDecodeClaimsBlob@12
SamIDecodeClaimsBlobIntoClaimsSet;code;SAMSRV.dll;_SamIDecodeClaimsBlobIntoClaimsSet@16
SamIDecodeClaimsBlobToAuthz;code;SAMSRV.dll;_SamIDecodeClaimsBlobToAuthz@12
SamIDemote;code;SAMSRV.dll;_SamIDemote@12
SamIDemoteUndo;code;SAMSRV.dll;_SamIDemoteUndo@0
SamIDoFSMORoleChange;code;SAMSRV.dll;_SamIDoFSMORoleChange@4
SamIFreeAuthzSecurityAttributesInfo;code;SAMSRV.dll;_SamIFreeAuthzSecurityAttributesInfo@4
SamIFreeClaimsBlob;code;SAMSRV.dll;_SamIFreeClaimsBlob@4
SamIFreeDecodedClaimsSet;code;SAMSRV.dll;_SamIFreeDecodedClaimsSet@8
SamIFreeLookupNamesInfo;code;SAMSRV.dll;_SamIFreeLookupNamesInfo@4
SamIFreeLookupSidsInfo;code;SAMSRV.dll;_SamIFreeLookupSidsInfo@4
SamIFreeOidList;code;SAMSRV.dll;_SamIFreeOidList@4
SamIFreeRealmList;code;SAMSRV.dll;_SamIFreeRealmList@4
SamIFreeSecurityAttributesInfo;code;SAMSRV.dll;_SamIFreeSecurityAttributesInfo@4
SamIFreeSidAndAttributesList;code;SAMSRV.dll;_SamIFreeSidAndAttributesList@4
SamIFreeSidArray;code;SAMSRV.dll;_SamIFreeSidArray@4
SamIFreeVoid;code;SAMSRV.dll;_SamIFreeVoid@4
SamIFree_SAMPR_DISPLAY_INFO_BUFFER;code;SAMSRV.dll;_SamIFree_SAMPR_DISPLAY_INFO_BUFFER@8
SamIFree_SAMPR_DOMAIN_INFO_BUFFER;code;SAMSRV.dll;_SamIFree_SAMPR_DOMAIN_INFO_BUFFER@8
SamIFree_SAMPR_ENUMERATION_BUFFER;code;SAMSRV.dll;_SamIFree_SAMPR_ENUMERATION_BUFFER@4
SamIFree_SAMPR_GET_GROUPS_BUFFER;code;SAMSRV.dll;_SamIFree_SAMPR_GET_GROUPS_BUFFER@4
SamIFree_SAMPR_RETURNED_USTRING_ARRAY;code;SAMSRV.dll;_SamIFree_SAMPR_RETURNED_USTRING_ARRAY@4
SamIFree_SAMPR_ULONG_ARRAY;code;SAMSRV.dll;_SamIFree_SAMPR_ULONG_ARRAY@4
SamIFree_SAMPR_USER_INFO_BUFFER;code;SAMSRV.dll;_SamIFree_SAMPR_USER_INFO_BUFFER@8
SamIFree_UserInternal6Information;code;SAMSRV.dll;_SamIFree_UserInternal6Information@4
SamIGetAliasMembership;code;SAMSRV.dll;_SamIGetAliasMembership@12
SamIGetConfigurationOidList;code;SAMSRV.dll;_SamIGetConfigurationOidList@28
SamIGetDefaultAdministratorName;code;SAMSRV.dll;_SamIGetDefaultAdministratorName@8
SamIGetResourceGroupMembershipsTransitive2;code;SAMSRV.dll;_SamIGetResourceGroupMembershipsTransitive2@20
SamIGetResourceGroupMembershipsTransitive;code;SAMSRV.dll;_SamIGetResourceGroupMembershipsTransitive@16
SamIGetUserLogonInformation2;code;SAMSRV.dll;_SamIGetUserLogonInformation2@36
SamIGetUserLogonInformation3;code;SAMSRV.dll;_SamIGetUserLogonInformation3@48
SamIGetUserLogonInformation;code;SAMSRV.dll;_SamIGetUserLogonInformation@24
SamIGetUserLogonInformationEx;code;SAMSRV.dll;_SamIGetUserLogonInformationEx@28
SamIHandleObjectUpdate;code;SAMSRV.dll;_SamIHandleObjectUpdate@16
SamIImpersonateNullSession;code;SAMSRV.dll;_SamIImpersonateNullSession@0
SamIInitialize;code;SAMSRV.dll;_SamIInitialize@0
SamIIsDownlevelDcUpgrade;code;SAMSRV.dll;_SamIIsDownlevelDcUpgrade@0
SamIIsExtendedSidMode;code;SAMSRV.dll;_SamIIsExtendedSidMode@4
SamIIsRebootAfterPromotion;code;SAMSRV.dll;_SamIIsRebootAfterPromotion@0
SamIIsSetupInProgress;code;SAMSRV.dll;_SamIIsSetupInProgress@4
SamILoadDownlevelDatabase;code;SAMSRV.dll;_SamILoadDownlevelDatabase@4
SamILookupNamesBySid;code;SAMSRV.dll;_SamILookupNamesBySid@16
SamILookupNamesInDomain;code;SAMSRV.dll;_SamILookupNamesInDomain@24
SamILookupSidsByName;code;SAMSRV.dll;_SamILookupSidsByName@20
SamILoopbackConnect;code;SAMSRV.dll;_SamILoopbackConnect@20
SamIMixedDomain2;code;SAMSRV.dll;_SamIMixedDomain2@8
SamIMixedDomain;code;SAMSRV.dll;_SamIMixedDomain@4
SamINT4UpgradeInProgress;code;SAMSRV.dll;_SamINT4UpgradeInProgress@0
SamINetLogonPing;code;SAMSRV.dll;_SamINetLogonPing@16
SamINotifyRoleChange;code;SAMSRV.dll;_SamINotifyRoleChange@8
SamIOpenUserByAlternateId;code;SAMSRV.dll;_SamIOpenUserByAlternateId@16
SamIPromote;code;SAMSRV.dll;_SamIPromote@16
SamIPromoteUndo;code;SAMSRV.dll;_SamIPromoteUndo@0
SamIPurgeSecrets;code;SAMSRV.dll;_SamIPurgeSecrets@4
SamIQueryAccountSecretsCachability;code;SAMSRV.dll;_SamIQueryAccountSecretsCachability@12
SamIQueryCapabilities;code;SAMSRV.dll;_SamIQueryCapabilities@0
SamIQueryRealmList;code;SAMSRV.dll;_SamIQueryRealmList@8
SamIQueryServerRole2;code;SAMSRV.dll;_SamIQueryServerRole2@8
SamIQueryServerRole;code;SAMSRV.dll;_SamIQueryServerRole@8
SamIRandomizeStoredPassword;code;SAMSRV.dll;_SamIRandomizeStoredPassword@4
SamIRandomizeStoredPasswordWithoutExpirationCheck;code;SAMSRV.dll;_SamIRandomizeStoredPasswordWithoutExpirationCheck@4
SamIRemoveDSNameFromAlias;code;SAMSRV.dll;_SamIRemoveDSNameFromAlias@12
SamIReplaceDownlevelDatabase;code;SAMSRV.dll;_SamIReplaceDownlevelDatabase@12
SamIReplicateAccountData;code;SAMSRV.dll;_SamIReplicateAccountData@12
SamIResetBadPwdCountOnPdc;code;SAMSRV.dll;_SamIResetBadPwdCountOnPdc@4
SamIRetrieveMultiplePrimaryCredentials;code;SAMSRV.dll;_SamIRetrieveMultiplePrimaryCredentials@16
SamIRetrieveNGCKeyCredential;code;SAMSRV.dll;_SamIRetrieveNGCKeyCredential@8
SamIRetrievePrimaryCredentials;code;SAMSRV.dll;_SamIRetrievePrimaryCredentials@16
SamIRevertNullSession;code;SAMSRV.dll;_SamIRevertNullSession@0
SamIScorePassword;code;SAMSRV.dll;_SamIScorePassword@8
SamISetAuditingInformation;code;SAMSRV.dll;_SamISetAuditingInformation@4
SamISetMachinePassword;code;SAMSRV.dll;_SamISetMachinePassword@16
SamISetPasswordForeignUser2;code;SAMSRV.dll;_SamISetPasswordForeignUser2@28
SamISetPasswordForeignUser3;code;SAMSRV.dll;_SamISetPasswordForeignUser3@32
SamISetPasswordInfoOnDc;code;SAMSRV.dll;_SamISetPasswordInfoOnDc@20
SamIStorePrimaryCredentials;code;SAMSRV.dll;_SamIStorePrimaryCredentials@8
SamITransformClaims;code;SAMSRV.dll;_SamITransformClaims@24
SamIUPNFromUserHandle;code;SAMSRV.dll;_SamIUPNFromUserHandle@12
SamIUnLoadDownlevelDatabase;code;SAMSRV.dll;_SamIUnLoadDownlevelDatabase@4
SamIUninitialize;code;SAMSRV.dll;_SamIUninitialize@0
SamIUpdateLogonStatistics;code;SAMSRV.dll;_SamIUpdateLogonStatistics@8
SamIValidateAccountName;code;SAMSRV.dll;_SamIValidateAccountName@8
SamIValidateNewAccountName;code;SAMSRV.dll;_SamIValidateNewAccountName@20
SampAccountControlToFlags;code;SAMSRV.dll;_SampAccountControlToFlags@4
SampAcquireReadLock;code;SAMSRV.dll;_SampAcquireReadLock@0
SampAcquireSamLockExclusive;code;SAMSRV.dll;_SampAcquireSamLockExclusive@0
SampAcquireWriteLock;code;SAMSRV.dll;_SampAcquireWriteLock@4
SampAddAccountToGroupMembers;code;SAMSRV.dll;_SampAddAccountToGroupMembers@20
SampAddAccountsAndApplyMemberships;code;SAMSRV.dll;_SampAddAccountsAndApplyMemberships@16
SampAddDeltaTime;code;SAMSRV.dll;_SampAddDeltaTime@16
SampAddNonLocalDomainRelativeMemberships;code;SAMSRV.dll;_SampAddNonLocalDomainRelativeMemberships@16
SampAddSameDomainMemberToGlobalOrUniversalGroup;code;SAMSRV.dll;_SampAddSameDomainMemberToGlobalOrUniversalGroup@24
SampAddUserToGroup;code;SAMSRV.dll;_SampAddUserToGroup@12
SampAlInvalidateAliasInformation;code;SAMSRV.dll;_SampAlInvalidateAliasInformation@4
SampAllocateNextCurrentRidFromIndex;code;SAMSRV.dll;_SampAllocateNextCurrentRidFromIndex@4
SampApplyDomainUpdatesForAllDomains;code;SAMSRV.dll;_SampApplyDomainUpdatesForAllDomains@8
SampAssignPrimaryGroup;code;SAMSRV.dll;_SampAssignPrimaryGroup@8
SampAuditAccountEnableDisableChange;code;SAMSRV.dll;_SampAuditAccountEnableDisableChange@16
SampAuditAccountNameChange;code;SAMSRV.dll;_SampAuditAccountNameChange@12
SampAuditAnyEvent;code;SAMSRV.dll;_SampAuditAnyEvent@56
SampAuditGroupTypeChange;code;SAMSRV.dll;_SampAuditGroupTypeChange@20
SampAuditSidHistory;code;SAMSRV.dll;_SampAuditSidHistory@12
SampBuildDsNameFromSid;code;SAMSRV.dll;_SampBuildDsNameFromSid@8
SampBuildSamProtection;code;SAMSRV.dll;_SampBuildSamProtection@40
SampCalculateLmAndNtOwfPasswords;code;SAMSRV.dll;_SampCalculateLmAndNtOwfPasswords@16
SampChangeAliasAccountName;code;SAMSRV.dll;_SampChangeAliasAccountName@12
SampChangeGroupAccountName;code;SAMSRV.dll;_SampChangeGroupAccountName@12
SampChangeUserAccountName;code;SAMSRV.dll;_SampChangeUserAccountName@16
SampCheckForAccountLockout;code;SAMSRV.dll;_SampCheckForAccountLockout@12
SampCheckGroupTypeBits;code;SAMSRV.dll;_SampCheckGroupTypeBits@8
SampCheckSidType;code;SAMSRV.dll;_SampCheckSidType@44
SampCommitBufferedWrites;code;SAMSRV.dll;_SampCommitBufferedWrites@4
SampCompareDisplayStrings;code;SAMSRV.dll;_SampCompareDisplayStrings@12
SampComputePasswordExpired;code;SAMSRV.dll;_SampComputePasswordExpired@8
SampConnect;code;SAMSRV.dll;_SampConnect@36
SampConvertUiListToApiList;code;SAMSRV.dll;_SampConvertUiListToApiList@12
