Name;Type;DLL;SymbolOrOrdinal
TokenBindingDeleteAllBindings;code;TOKENBINDING.dll;_TokenBindingDeleteAllBindings@0
TokenBindingDeleteBinding;code;TOKENBINDING.dll;_TokenBindingDeleteBinding@4
TokenBindingGenerateBinding;code;TOKENBINDING.dll;_TokenBindingGenerateBinding@40
TokenBindingGenerateID;code;TOKENBINDING.dll;_TokenBindingGenerateID@16
TokenBindingGenerateIDForUri;code;TOKENBINDING.dll;_TokenBindingGenerateIDForUri@12
TokenBindingGenerateMessage;code;TOKENBINDING.dll;_TokenBindingGenerateMessage@20
TokenBindingGetHighestSupportedVersion;code;TOKENBINDING.dll;_TokenBindingGetHighestSupportedVersion@8
TokenBindingGetKeyTypesClient;code;TOKENBINDING.dll;_TokenBindingGetKeyTypesClient@4
TokenBindingGetKeyTypesServer;code;TOKENBINDING.dll;_TokenBindingGetKeyTypesServer@4
TokenBindingVerifyMessage;code;TOKENBINDING.dll;_TokenBindingVerifyMessage@24
