Name;Type;DLL;SymbolOrOrdinal
ImmAssociateContext;code;IMM32.dll;#ImmAssociateContext
ImmAssociateContextEx;code;IMM32.dll;#ImmAssociateContextEx
ImmConfigureIMEA;code;IMM32.dll;#ImmConfigureIMEA
ImmConfigureIMEW;code;IMM32.dll;#ImmConfigureIMEW
ImmCreateContext;code;IMM32.dll;#ImmCreateContext
ImmCreateIMCC;code;IMM32.dll;#ImmCreateIMCC
ImmCreateSoftKeyboard;code;IMM32.dll;#ImmCreateSoftKeyboard
ImmDestroyContext;code;IMM32.dll;#ImmDestroyContext
ImmDestroyIMCC;code;IMM32.dll;#ImmDestroyIMCC
ImmDestroySoftKeyboard;code;IMM32.dll;#ImmDestroySoftKeyboard
ImmDisableIME;code;IMM32.dll;#ImmDisableIME
ImmDisableLegacyIME;code;IMM32.dll;#ImmDisableLegacyIME
ImmDisableTextFrameService;code;IMM32.dll;#ImmDisableTextFrameService
ImmEnumInputContext;code;IMM32.dll;#ImmEnumInputContext
ImmEnumRegisterWordA;code;IMM32.dll;#ImmEnumRegisterWordA
ImmEnumRegisterWordW;code;IMM32.dll;#ImmEnumRegisterWordW
ImmEscapeA;code;IMM32.dll;#ImmEscapeA
ImmEscapeW;code;IMM32.dll;#ImmEscapeW
ImmGenerateMessage;code;IMM32.dll;#ImmGenerateMessage
ImmGetCandidateListA;code;IMM32.dll;#ImmGetCandidateListA
ImmGetCandidateListCountA;code;IMM32.dll;#ImmGetCandidateListCountA
ImmGetCandidateListCountW;code;IMM32.dll;#ImmGetCandidateListCountW
ImmGetCandidateListW;code;IMM32.dll;#ImmGetCandidateListW
ImmGetCandidateWindow;code;IMM32.dll;#ImmGetCandidateWindow
ImmGetCompositionFontA;code;IMM32.dll;#ImmGetCompositionFontA
ImmGetCompositionFontW;code;IMM32.dll;#ImmGetCompositionFontW
ImmGetCompositionStringA;code;IMM32.dll;#ImmGetCompositionStringA
ImmGetCompositionStringW;code;IMM32.dll;#ImmGetCompositionStringW
ImmGetCompositionWindow;code;IMM32.dll;#ImmGetCompositionWindow
ImmGetContext;code;IMM32.dll;#ImmGetContext
ImmGetConversionListA;code;IMM32.dll;#ImmGetConversionListA
ImmGetConversionListW;code;IMM32.dll;#ImmGetConversionListW
ImmGetConversionStatus;code;IMM32.dll;#ImmGetConversionStatus
ImmGetDefaultIMEWnd;code;IMM32.dll;#ImmGetDefaultIMEWnd
ImmGetDescriptionA;code;IMM32.dll;#ImmGetDescriptionA
ImmGetDescriptionW;code;IMM32.dll;#ImmGetDescriptionW
ImmGetGuideLineA;code;IMM32.dll;#ImmGetGuideLineA
ImmGetGuideLineW;code;IMM32.dll;#ImmGetGuideLineW
ImmGetHotKey;code;IMM32.dll;#ImmGetHotKey
ImmGetIMCCLockCount;code;IMM32.dll;#ImmGetIMCCLockCount
ImmGetIMCCSize;code;IMM32.dll;#ImmGetIMCCSize
ImmGetIMCLockCount;code;IMM32.dll;#ImmGetIMCLockCount
ImmGetIMEFileNameA;code;IMM32.dll;#ImmGetIMEFileNameA
ImmGetIMEFileNameW;code;IMM32.dll;#ImmGetIMEFileNameW
ImmGetImeMenuItemsA;code;IMM32.dll;#ImmGetImeMenuItemsA
ImmGetImeMenuItemsW;code;IMM32.dll;#ImmGetImeMenuItemsW
ImmGetOpenStatus;code;IMM32.dll;#ImmGetOpenStatus
ImmGetProperty;code;IMM32.dll;#ImmGetProperty
