Name;Type;DLL;SymbolOrOrdinal
AppendPropVariant;code;MFCORE.dll;#AppendPropVariant
ConvertPropVariant;code;MFCORE.dll;#ConvertPropVariant
CopyPropertyStore;code;MFCORE.dll;#CopyPropertyStore
CreateNamedPropertyStore;code;MFCORE.dll;#CreateNamedPropertyStore
ExtractPropVariant;code;MFCORE.dll;#ExtractPropVariant
MFCreateAggregateSource;code;MFCORE.dll;#MFCreateAggregateSource
MFCreateAppSourceProxy;code;MFCORE.dll;#MFCreateAppSourceProxy
MFCreateAudioRenderer;code;MFCORE.dll;#MFCreateAudioRenderer
MFCreateAudioRendererActivate;code;MFCORE.dll;#MFCreateAudioRendererActivate
MFCreateDeviceSource;code;MFCORE.dll;#MFCreateDeviceSource
MFCreateDeviceSourceActivate;code;MFCORE.dll;#MFCreateDeviceSourceActivate
MFCreateEncryptedMediaExtensionsStoreActivate;code;MFCORE.dll;#MFCreateEncryptedMediaExtensionsStoreActivate
MFCreateExtendedCameraIntrinsicModel;code;MFCORE.dll;#MFCreateExtendedCameraIntrinsicModel
MFCreateExtendedCameraIntrinsics;code;MFCORE.dll;#MFCreateExtendedCameraIntrinsics
MFCreateMediaProcessor;code;MFCORE.dll;#MFCreateMediaProcessor
MFCreateMediaSession;code;MFCORE.dll;#MFCreateMediaSession
MFCreatePMPHost;code;MFCORE.dll;#MFCreatePMPHost
MFCreatePMPMediaSession;code;MFCORE.dll;#MFCreatePMPMediaSession
MFCreatePMPServer;code;MFCORE.dll;#MFCreatePMPServer
MFCreatePresentationClock;code;MFCORE.dll;#MFCreatePresentationClock
MFCreateSampleCopierMFT;code;MFCORE.dll;#MFCreateSampleCopierMFT
MFCreateSampleGrabberSinkActivate;code;MFCORE.dll;#MFCreateSampleGrabberSinkActivate
MFCreateSequencerSegmentOffset;code;MFCORE.dll;#MFCreateSequencerSegmentOffset
MFCreateSequencerSource;code;MFCORE.dll;#MFCreateSequencerSource
MFCreateSequencerSourceRemoteStream;code;MFCORE.dll;#MFCreateSequencerSourceRemoteStream
MFCreateSimpleTypeHandler;code;MFCORE.dll;#MFCreateSimpleTypeHandler
MFCreateStandardQualityManager;code;MFCORE.dll;#MFCreateStandardQualityManager
MFCreateTopoLoader;code;MFCORE.dll;#MFCreateTopoLoader
MFCreateTopology;code;MFCORE.dll;#MFCreateTopology
MFCreateTopologyNode;code;MFCORE.dll;#MFCreateTopologyNode
MFCreateWMAEncoderActivate;code;MFCORE.dll;#MFCreateWMAEncoderActivate
MFCreateWMVEncoderActivate;code;MFCORE.dll;#MFCreateWMVEncoderActivate
MFEnumDeviceSources;code;MFCORE.dll;#MFEnumDeviceSources
MFGetMultipleServiceProviders;code;MFCORE.dll;#MFGetMultipleServiceProviders
MFGetService;code;MFCORE.dll;#MFGetService
MFGetTopoNodeCurrentType;code;MFCORE.dll;#MFGetTopoNodeCurrentType
MFRequireProtectedEnvironment;code;MFCORE.dll;#MFRequireProtectedEnvironment
MFShutdownObject;code;MFCORE.dll;#MFShutdownObject
MergePropertyStore;code;MFCORE.dll;#MergePropertyStore
AppendPropVariant;code;MFCORE.dll;
ConvertPropVariant;code;MFCORE.dll;
CopyPropertyStore;code;MFCORE.dll;
CreateNamedPropertyStore;code;MFCORE.dll;
ExtractPropVariant;code;MFCORE.dll;
MFCreateAggregateSource;code;MFCORE.dll;
MFCreateAppSourceProxy;code;MFCORE.dll;
MFCreateAudioRenderer;code;MFCORE.dll;
MFCreateAudioRendererActivate;code;MFCORE.dll;
MFCreateDeviceSource;code;MFCORE.dll;
MFCreateDeviceSourceActivate;code;MFCORE.dll;
MFCreateEncryptedMediaExtensionsStoreActivate;code;MFCORE.dll;
MFCreateExtendedCameraIntrinsicModel;code;MFCORE.dll;
MFCreateExtendedCameraIntrinsics;code;MFCORE.dll;
MFCreateMediaProcessor;code;MFCORE.dll;
MFCreateMediaSession;code;MFCORE.dll;
MFCreatePMPHost;code;MFCORE.dll;
MFCreatePMPMediaSession;code;MFCORE.dll;
MFCreatePMPServer;code;MFCORE.dll;
MFCreatePresentationClock;code;MFCORE.dll;
MFCreateSampleCopierMFT;code;MFCORE.dll;
MFCreateSampleGrabberSinkActivate;code;MFCORE.dll;
MFCreateSequencerSegmentOffset;code;MFCORE.dll;
MFCreateSequencerSource;code;MFCORE.dll;
MFCreateSequencerSourceRemoteStream;code;MFCORE.dll;
MFCreateSimpleTypeHandler;code;MFCORE.dll;
MFCreateStandardQualityManager;code;MFCORE.dll;
MFCreateTopoLoader;code;MFCORE.dll;
MFCreateTopology;code;MFCORE.dll;
MFCreateTopologyNode;code;MFCORE.dll;
MFCreateWMAEncoderActivate;code;MFCORE.dll;
MFCreateWMVEncoderActivate;code;MFCORE.dll;
MFEnumDeviceSources;code;MFCORE.dll;
MFGetMultipleServiceProviders;code;MFCORE.dll;
MFGetService;code;MFCORE.dll;
MFGetTopoNodeCurrentType;code;MFCORE.dll;
MFRequireProtectedEnvironment;code;MFCORE.dll;
MFShutdownObject;code;MFCORE.dll;
MergePropertyStore;code;MFCORE.dll;
