Name;Type;DLL;SymbolOrOrdinal
#SnmpCancelMsg;code;wsnmp32.dll;222
#SnmpCleanup;code;wsnmp32.dll;201
#SnmpCleanupEx;code;wsnmp32.dll;292
#SnmpClose;code;wsnmp32.dll;203
#SnmpContextToStr;code;wsnmp32.dll;401
SnmpConveyAgentAddress;code;wsnmp32.dll;#SnmpConveyAgentAddress
#SnmpCountVbl;code;wsnmp32.dll;603
#SnmpCreatePdu;code;wsnmp32.dll;500
#SnmpCreateSession;code;wsnmp32.dll;220
#SnmpCreateVbl;code;wsnmp32.dll;600
#SnmpDecodeMsg;code;wsnmp32.dll;902
#SnmpDeleteVb;code;wsnmp32.dll;606
#SnmpDuplicatePdu;code;wsnmp32.dll;503
#SnmpDuplicateVbl;code;wsnmp32.dll;601
#SnmpEncodeMsg;code;wsnmp32.dll;901
#SnmpEntityToStr;code;wsnmp32.dll;301
#SnmpFreeContext;code;wsnmp32.dll;402
#SnmpFreeDescriptor;code;wsnmp32.dll;900
#SnmpFreeEntity;code;wsnmp32.dll;302
#SnmpFreePdu;code;wsnmp32.dll;504
#SnmpFreeVbl;code;wsnmp32.dll;602
#SnmpGetLastError;code;wsnmp32.dll;999
#SnmpGetPduData;code;wsnmp32.dll;501
#SnmpGetRetransmitMode;code;wsnmp32.dll;102
#SnmpGetRetry;code;wsnmp32.dll;106
#SnmpGetTimeout;code;wsnmp32.dll;104
#SnmpGetTranslateMode;code;wsnmp32.dll;100
#SnmpGetVb;code;wsnmp32.dll;604
#SnmpGetVendorInfo;code;wsnmp32.dll;120
#SnmpListen;code;wsnmp32.dll;221
#SnmpListenEx;code;wsnmp32.dll;293
#SnmpOidCompare;code;wsnmp32.dll;906
#SnmpOidCopy;code;wsnmp32.dll;905
#SnmpOidToStr;code;wsnmp32.dll;904
#SnmpOpen;code;wsnmp32.dll;202
#SnmpRecvMsg;code;wsnmp32.dll;205
#SnmpRegister;code;wsnmp32.dll;206
#SnmpSendMsg;code;wsnmp32.dll;204
SnmpSetAgentAddress;code;wsnmp32.dll;#SnmpSetAgentAddress
#SnmpSetPduData;code;wsnmp32.dll;502
#SnmpSetPort;code;wsnmp32.dll;320
#SnmpSetRetransmitMode;code;wsnmp32.dll;103
#SnmpSetRetry;code;wsnmp32.dll;107
#SnmpSetTimeout;code;wsnmp32.dll;105
#SnmpSetTranslateMode;code;wsnmp32.dll;101
#SnmpSetVb;code;wsnmp32.dll;605
#SnmpStartup;code;wsnmp32.dll;200
#SnmpStartupEx;code;wsnmp32.dll;291
#SnmpStrToContext;code;wsnmp32.dll;400
#SnmpStrToEntity;code;wsnmp32.dll;300
#SnmpStrToOid;code;wsnmp32.dll;903
SnmpCancelMsg;code;wsnmp32.dll;222
SnmpCleanup;code;wsnmp32.dll;201
SnmpCleanupEx;code;wsnmp32.dll;292
SnmpClose;code;wsnmp32.dll;203
SnmpContextToStr;code;wsnmp32.dll;401
SnmpConveyAgentAddress;code;wsnmp32.dll;
SnmpCountVbl;code;wsnmp32.dll;603
SnmpCreatePdu;code;wsnmp32.dll;500
SnmpCreateSession;code;wsnmp32.dll;220
SnmpCreateVbl;code;wsnmp32.dll;600
SnmpDecodeMsg;code;wsnmp32.dll;902
SnmpDeleteVb;code;wsnmp32.dll;606
SnmpDuplicatePdu;code;wsnmp32.dll;503
SnmpDuplicateVbl;code;wsnmp32.dll;601
SnmpEncodeMsg;code;wsnmp32.dll;901
SnmpEntityToStr;code;wsnmp32.dll;301
SnmpFreeContext;code;wsnmp32.dll;402
SnmpFreeDescriptor;code;wsnmp32.dll;900
SnmpFreeEntity;code;wsnmp32.dll;302
SnmpFreePdu;code;wsnmp32.dll;504
SnmpFreeVbl;code;wsnmp32.dll;602
SnmpGetLastError;code;wsnmp32.dll;999
SnmpGetPduData;code;wsnmp32.dll;501
SnmpGetRetransmitMode;code;wsnmp32.dll;102
SnmpGetRetry;code;wsnmp32.dll;106
SnmpGetTimeout;code;wsnmp32.dll;104
SnmpGetTranslateMode;code;wsnmp32.dll;100
SnmpGetVb;code;wsnmp32.dll;604
SnmpGetVendorInfo;code;wsnmp32.dll;120
SnmpListen;code;wsnmp32.dll;221
SnmpListenEx;code;wsnmp32.dll;293
SnmpOidCompare;code;wsnmp32.dll;906
SnmpOidCopy;code;wsnmp32.dll;905
SnmpOidToStr;code;wsnmp32.dll;904
SnmpOpen;code;wsnmp32.dll;202
SnmpRecvMsg;code;wsnmp32.dll;205
SnmpRegister;code;wsnmp32.dll;206
SnmpSendMsg;code;wsnmp32.dll;204
SnmpSetAgentAddress;code;wsnmp32.dll;
SnmpSetPduData;code;wsnmp32.dll;502
SnmpSetPort;code;wsnmp32.dll;320
SnmpSetRetransmitMode;code;wsnmp32.dll;103
SnmpSetRetry;code;wsnmp32.dll;107
SnmpSetTimeout;code;wsnmp32.dll;105
SnmpSetTranslateMode;code;wsnmp32.dll;101
SnmpSetVb;code;wsnmp32.dll;605
SnmpStartup;code;wsnmp32.dll;200
SnmpStartupEx;code;wsnmp32.dll;291
SnmpStrToContext;code;wsnmp32.dll;400
SnmpStrToEntity;code;wsnmp32.dll;300
SnmpStrToOid;code;wsnmp32.dll;903
