Name;Type;DLL;SymbolOrOrdinal
WinBioAcquireFocus;code;winbio.dll;#WinBioAcquireFocus
WinBioAsyncEnumBiometricUnits;code;winbio.dll;#WinBioAsyncEnumBiometricUnits
WinBioAsyncEnumDatabases;code;winbio.dll;#WinBioAsyncEnumDatabases
WinBioAsyncEnumServiceProviders;code;winbio.dll;#WinBioAsyncEnumServiceProviders
WinBioAsyncMonitorFrameworkChanges;code;winbio.dll;#WinBioAsyncMonitorFrameworkChanges
WinBioAsyncOpenFramework;code;winbio.dll;#WinBioAsyncOpenFramework
WinBioAsyncOpenSession;code;winbio.dll;#WinBioAsyncOpenSession
WinBioCancel;code;winbio.dll;#WinBioCancel
WinBioCaptureSample;code;winbio.dll;#WinBioCaptureSample
WinBioCaptureSampleWithCallback;code;winbio.dll;#WinBioCaptureSampleWithCallback
WinBioCloseFramework;code;winbio.dll;#WinBioCloseFramework
WinBioCloseSession;code;winbio.dll;#WinBioCloseSession
WinBioControlUnit;code;winbio.dll;#WinBioControlUnit
WinBioControlUnitPrivileged;code;winbio.dll;#WinBioControlUnitPrivileged
WinBioDeleteTemplate;code;winbio.dll;#WinBioDeleteTemplate
WinBioEnrollBegin;code;winbio.dll;#WinBioEnrollBegin
WinBioEnrollCapture;code;winbio.dll;#WinBioEnrollCapture
WinBioEnrollCaptureWithCallback;code;winbio.dll;#WinBioEnrollCaptureWithCallback
WinBioEnrollCommit;code;winbio.dll;#WinBioEnrollCommit
WinBioEnrollDiscard;code;winbio.dll;#WinBioEnrollDiscard
WinBioEnrollSelect;code;winbio.dll;#WinBioEnrollSelect
WinBioEnumBiometricUnits;code;winbio.dll;#WinBioEnumBiometricUnits
WinBioEnumDatabases;code;winbio.dll;#WinBioEnumDatabases
WinBioEnumEnrollments;code;winbio.dll;#WinBioEnumEnrollments
WinBioEnumServiceProviders;code;winbio.dll;#WinBioEnumServiceProviders
WinBioFree;code;winbio.dll;#WinBioFree
WinBioGetCredentialState;code;winbio.dll;#WinBioGetCredentialState
WinBioGetCredentialWithTicket;code;winbio.dll;#WinBioGetCredentialWithTicket
WinBioGetDomainLogonSetting;code;winbio.dll;#WinBioGetDomainLogonSetting
WinBioGetEnabledSetting;code;winbio.dll;#WinBioGetEnabledSetting
WinBioGetEnrolledFactors;code;winbio.dll;#WinBioGetEnrolledFactors
WinBioGetLogonSetting;code;winbio.dll;#WinBioGetLogonSetting
WinBioGetProperty;code;winbio.dll;#WinBioGetProperty
WinBioIdentify;code;winbio.dll;#WinBioIdentify
WinBioIdentifyAndReleaseTicket;code;winbio.dll;#WinBioIdentifyAndReleaseTicket
WinBioIdentifyWithCallback;code;winbio.dll;#WinBioIdentifyWithCallback
WinBioImproveBegin;code;winbio.dll;#WinBioImproveBegin
WinBioImproveEnd;code;winbio.dll;#WinBioImproveEnd
WinBioLocateSensor;code;winbio.dll;#WinBioLocateSensor
WinBioLocateSensorWithCallback;code;winbio.dll;#WinBioLocateSensorWithCallback
WinBioLockUnit;code;winbio.dll;#WinBioLockUnit
WinBioLogonIdentifiedUser;code;winbio.dll;#WinBioLogonIdentifiedUser
WinBioMonitorPresence;code;winbio.dll;#WinBioMonitorPresence
WinBioOpenSession;code;winbio.dll;#WinBioOpenSession
WinBioProtectData;code;winbio.dll;#WinBioProtectData
WinBioRegisterEventMonitor;code;winbio.dll;#WinBioRegisterEventMonitor
WinBioRegisterServiceMonitor;code;winbio.dll;#WinBioRegisterServiceMonitor
WinBioReleaseFocus;code;winbio.dll;#WinBioReleaseFocus
WinBioRemoveAllCredentials;code;winbio.dll;#WinBioRemoveAllCredentials
WinBioRemoveAllDomainCredentials;code;winbio.dll;#WinBioRemoveAllDomainCredentials
WinBioRemoveCredential;code;winbio.dll;#WinBioRemoveCredential
WinBioSetCredential;code;winbio.dll;#WinBioSetCredential
WinBioSetMSACredential;code;winbio.dll;#WinBioSetMSACredential
WinBioSetProperty;code;winbio.dll;#WinBioSetProperty
WinBioUnlockUnit;code;winbio.dll;#WinBioUnlockUnit
WinBioUnprotectData;code;winbio.dll;#WinBioUnprotectData
WinBioUnregisterEventMonitor;code;winbio.dll;#WinBioUnregisterEventMonitor
WinBioUnregisterServiceMonitor;code;winbio.dll;#WinBioUnregisterServiceMonitor
WinBioVerify;code;winbio.dll;#WinBioVerify
WinBioVerifyAndReleaseTicket;code;winbio.dll;#WinBioVerifyAndReleaseTicket
WinBioVerifyWithCallback;code;winbio.dll;#WinBioVerifyWithCallback
WinBioWait;code;winbio.dll;#WinBioWait
WinBioAcquireFocus;code;winbio.dll;
WinBioAsyncEnumBiometricUnits;code;winbio.dll;
WinBioAsyncEnumDatabases;code;winbio.dll;
WinBioAsyncEnumServiceProviders;code;winbio.dll;
WinBioAsyncMonitorFrameworkChanges;code;winbio.dll;
WinBioAsyncOpenFramework;code;winbio.dll;
WinBioAsyncOpenSession;code;winbio.dll;
WinBioCancel;code;winbio.dll;
WinBioCaptureSample;code;winbio.dll;
WinBioCaptureSampleWithCallback;code;winbio.dll;
WinBioCloseFramework;code;winbio.dll;
WinBioCloseSession;code;winbio.dll;
WinBioControlUnit;code;winbio.dll;
WinBioControlUnitPrivileged;code;winbio.dll;
WinBioDeleteTemplate;code;winbio.dll;
WinBioEnrollBegin;code;winbio.dll;
WinBioEnrollCapture;code;winbio.dll;
WinBioEnrollCaptureWithCallback;code;winbio.dll;
WinBioEnrollCommit;code;winbio.dll;
WinBioEnrollDiscard;code;winbio.dll;
WinBioEnrollSelect;code;winbio.dll;
WinBioEnumBiometricUnits;code;winbio.dll;
WinBioEnumDatabases;code;winbio.dll;
WinBioEnumEnrollments;code;winbio.dll;
WinBioEnumServiceProviders;code;winbio.dll;
WinBioFree;code;winbio.dll;
WinBioGetCredentialState;code;winbio.dll;
WinBioGetCredentialWithTicket;code;winbio.dll;
WinBioGetDomainLogonSetting;code;winbio.dll;
WinBioGetEnabledSetting;code;winbio.dll;
WinBioGetEnrolledFactors;code;winbio.dll;
WinBioGetLogonSetting;code;winbio.dll;
WinBioGetProperty;code;winbio.dll;
WinBioIdentify;code;winbio.dll;
