Name;Type;DLL;SymbolOrOrdinal
AddDelBackupEntry;code;ADVPACK.dll;#AddDelBackupEntry
AddDelBackupEntryA;code;ADVPACK.dll;#AddDelBackupEntryA
AddDelBackupEntryW;code;ADVPACK.dll;#AddDelBackupEntryW
AdvInstallFile;code;ADVPACK.dll;#AdvInstallFile
AdvInstallFileA;code;ADVPACK.dll;#AdvInstallFileA
AdvInstallFileW;code;ADVPACK.dll;#AdvInstallFileW
CloseINFEngine;code;ADVPACK.dll;#CloseINFEngine
DelNode;code;ADVPACK.dll;#DelNode
DelNodeA;code;ADVPACK.dll;#DelNodeA
DelNodeRunDLL32W;code;ADVPACK.dll;#DelNodeRunDLL32W
DelNodeW;code;ADVPACK.dll;#DelNodeW
ExecuteCab;code;ADVPACK.dll;#ExecuteCab
ExecuteCabA;code;ADVPACK.dll;#ExecuteCabA
ExecuteCabW;code;ADVPACK.dll;#ExecuteCabW
ExtractFiles;code;ADVPACK.dll;#ExtractFiles
ExtractFilesA;code;ADVPACK.dll;#ExtractFilesA
ExtractFilesW;code;ADVPACK.dll;#ExtractFilesW
FileSaveMarkNotExist;code;ADVPACK.dll;#FileSaveMarkNotExist
FileSaveMarkNotExistA;code;ADVPACK.dll;#FileSaveMarkNotExistA
FileSaveMarkNotExistW;code;ADVPACK.dll;#FileSaveMarkNotExistW
FileSaveRestoreOnINF;code;ADVPACK.dll;#FileSaveRestoreOnINF
FileSaveRestoreOnINFA;code;ADVPACK.dll;#FileSaveRestoreOnINFA
FileSaveRestoreOnINFW;code;ADVPACK.dll;#FileSaveRestoreOnINFW
FileSaveRestoreW;code;ADVPACK.dll;#FileSaveRestoreW
GetVersionFromFile;code;ADVPACK.dll;#GetVersionFromFile
GetVersionFromFileA;code;ADVPACK.dll;#GetVersionFromFileA
GetVersionFromFileEx;code;ADVPACK.dll;#GetVersionFromFileEx
GetVersionFromFileExA;code;ADVPACK.dll;#GetVersionFromFileExA
GetVersionFromFileExW;code;ADVPACK.dll;#GetVersionFromFileExW
GetVersionFromFileW;code;ADVPACK.dll;#GetVersionFromFileW
IsNTAdmin;code;ADVPACK.dll;#IsNTAdmin
LaunchINFSection;code;ADVPACK.dll;#LaunchINFSection
LaunchINFSectionExW;code;ADVPACK.dll;#LaunchINFSectionExW
LaunchINFSectionW;code;ADVPACK.dll;#LaunchINFSectionW
NeedReboot;code;ADVPACK.dll;#NeedReboot
NeedRebootInit;code;ADVPACK.dll;#NeedRebootInit
OpenINFEngine;code;ADVPACK.dll;#OpenINFEngine
OpenINFEngineA;code;ADVPACK.dll;#OpenINFEngineA
OpenINFEngineW;code;ADVPACK.dll;#OpenINFEngineW
RebootCheckOnInstall;code;ADVPACK.dll;#RebootCheckOnInstall
RebootCheckOnInstallA;code;ADVPACK.dll;#RebootCheckOnInstallA
RebootCheckOnInstallW;code;ADVPACK.dll;#RebootCheckOnInstallW
RegInstall;code;ADVPACK.dll;#RegInstall
RegInstallA;code;ADVPACK.dll;#RegInstallA
RegInstallW;code;ADVPACK.dll;#RegInstallW
RegRestoreAll;code;ADVPACK.dll;#RegRestoreAll
RegRestoreAllA;code;ADVPACK.dll;#RegRestoreAllA
RegRestoreAllW;code;ADVPACK.dll;#RegRestoreAllW
RegSaveRestore;code;ADVPACK.dll;#RegSaveRestore
RegSaveRestoreA;code;ADVPACK.dll;#RegSaveRestoreA
RegSaveRestoreOnINF;code;ADVPACK.dll;#RegSaveRestoreOnINF
RegSaveRestoreOnINFA;code;ADVPACK.dll;#RegSaveRestoreOnINFA
RegSaveRestoreOnINFW;code;ADVPACK.dll;#RegSaveRestoreOnINFW
RegSaveRestoreW;code;ADVPACK.dll;#RegSaveRestoreW
RunSetupCommand;code;ADVPACK.dll;#RunSetupCommand
RunSetupCommandA;code;ADVPACK.dll;#RunSetupCommandA
RunSetupCommandW;code;ADVPACK.dll;#RunSetupCommandW
SetPerUserSecValues;code;ADVPACK.dll;#SetPerUserSecValues
SetPerUserSecValuesA;code;ADVPACK.dll;#SetPerUserSecValuesA
SetPerUserSecValuesW;code;ADVPACK.dll;#SetPerUserSecValuesW
TranslateInfString;code;ADVPACK.dll;#TranslateInfString
TranslateInfStringA;code;ADVPACK.dll;#TranslateInfStringA
TranslateInfStringEx;code;ADVPACK.dll;#TranslateInfStringEx
TranslateInfStringExA;code;ADVPACK.dll;#TranslateInfStringExA
TranslateInfStringExW;code;ADVPACK.dll;#TranslateInfStringExW
TranslateInfStringW;code;ADVPACK.dll;#TranslateInfStringW
UserInstStubWrapper;code;ADVPACK.dll;#UserInstStubWrapper
UserInstStubWrapperA;code;ADVPACK.dll;#UserInstStubWrapperA
UserInstStubWrapperW;code;ADVPACK.dll;#UserInstStubWrapperW
UserUnInstStubWrapper;code;ADVPACK.dll;#UserUnInstStubWrapper
UserUnInstStubWrapperA;code;ADVPACK.dll;#UserUnInstStubWrapperA
UserUnInstStubWrapperW;code;ADVPACK.dll;#UserUnInstStubWrapperW
DelNodeRunDLL32;code;ADVPACK.dll;?DelNodeRunDLL32@@$$hYAJPEAUHWND__@@PEAUHINSTANCE__@@PEBDH@Z (long __cdecl DelNodeRunDLL32(struct HWND__ *,struct HINSTANCE__ *,char const *,int))
DelNodeRunDLL32A;code;ADVPACK.dll;?DelNodeRunDLL32A@@$$hYAJPEAUHWND__@@PEAUHINSTANCE__@@PEBDH@Z (long __cdecl DelNodeRunDLL32A(struct HWND__ *,struct HINSTANCE__ *,char const *,int))
DoInfInstall;code;ADVPACK.dll;?DoInfInstall@@$$hYAJPEAU_ADVPACKARGSA@@@Z (long __cdecl DoInfInstall(struct _ADVPACKARGSA *))
DoInfInstallA;code;ADVPACK.dll;?DoInfInstallA@@$$hYAJPEAU_ADVPACKARGSA@@@Z (long __cdecl DoInfInstallA(struct _ADVPACKARGSA *))
