Name;Type;DLL;SymbolOrOrdinal
AmsiCloseSession;code;Amsi.dll;#AmsiCloseSession
AmsiInitialize;code;Amsi.dll;#AmsiInitialize
AmsiNotifyOperation;code;Amsi.dll;#AmsiNotifyOperation
AmsiOpenSession;code;Amsi.dll;#AmsiOpenSession
AmsiScanBuffer;code;Amsi.dll;#AmsiScanBuffer
AmsiScanString;code;Amsi.dll;#AmsiScanString
AmsiUacInitialize;code;Amsi.dll;#AmsiUacInitialize
AmsiUacScan;code;Amsi.dll;#AmsiUacScan
AmsiUacUninitialize;code;Amsi.dll;#AmsiUacUninitialize
AmsiUninitialize;code;Amsi.dll;#AmsiUninitialize
AmsiCloseSession;code;Amsi.dll;
AmsiInitialize;code;Amsi.dll;
AmsiNotifyOperation;code;Amsi.dll;
AmsiOpenSession;code;Amsi.dll;
AmsiScanBuffer;code;Amsi.dll;
AmsiScanString;code;Amsi.dll;
AmsiUacInitialize;code;Amsi.dll;
AmsiUacScan;code;Amsi.dll;
AmsiUacUninitialize;code;Amsi.dll;
AmsiUninitialize;code;Amsi.dll;
