Name;Type;DLL;SymbolOrOrdinal
ComputeInvCMAP;code;ImgUtil.dll;#ComputeInvCMAP
CreateDDrawSurfaceOnDIB;code;ImgUtil.dll;#CreateDDrawSurfaceOnDIB
CreateMIMEMap;code;ImgUtil.dll;#CreateMIMEMap
DecodeImage;code;ImgUtil.dll;#DecodeImage
DecodeImageEx;code;ImgUtil.dll;#DecodeImageEx
DitherTo8;code;ImgUtil.dll;#DitherTo8
GetMaxMIMEIDBytes;code;ImgUtil.dll;#GetMaxMIMEIDBytes
IdentifyMIMEType;code;ImgUtil.dll;#IdentifyMIMEType
SniffStream;code;ImgUtil.dll;#SniffStream
ComputeInvCMAP;code;ImgUtil.dll;
CreateDDrawSurfaceOnDIB;code;ImgUtil.dll;
CreateMIMEMap;code;ImgUtil.dll;
DecodeImage;code;ImgUtil.dll;
DecodeImageEx;code;ImgUtil.dll;
DitherTo8;code;ImgUtil.dll;
GetMaxMIMEIDBytes;code;ImgUtil.dll;
IdentifyMIMEType;code;ImgUtil.dll;
SniffStream;code;ImgUtil.dll;
