Name;Type;DLL;SymbolOrOrdinal
AddStroke;code;inkobjcore.dll;#AddStroke
AddStrokeWithId;code;inkobjcore.dll;#AddStrokeWithId
AddWordsToWordList;code;inkobjcore.dll;#AddWordsToWordList
AdviseInkChange;code;inkobjcore.dll;#AdviseInkChange
CreateContext;code;inkobjcore.dll;#CreateContext
CreateRecognizer;code;inkobjcore.dll;#CreateRecognizer
DestroyContext;code;inkobjcore.dll;#DestroyContext
DestroyRecognizer;code;inkobjcore.dll;#DestroyRecognizer
DestroyWordList;code;inkobjcore.dll;#DestroyWordList
EndInkInput;code;inkobjcore.dll;#EndInkInput
GetAllRecognizers;code;inkobjcore.dll;#GetAllRecognizers
GetBestResultString;code;inkobjcore.dll;#GetBestResultString
GetLatticePtr;code;inkobjcore.dll;#GetLatticePtr
GetLeftSeparator;code;inkobjcore.dll;#GetLeftSeparator
GetRecoAttributes;code;inkobjcore.dll;#GetRecoAttributes
GetResultPropertyList;code;inkobjcore.dll;#GetResultPropertyList
GetRightSeparator;code;inkobjcore.dll;#GetRightSeparator
GetUnicodeRanges;code;inkobjcore.dll;#GetUnicodeRanges
IsStringSupported;code;inkobjcore.dll;#IsStringSupported
LoadCachedAttributes;code;inkobjcore.dll;#LoadCachedAttributes
MakeWordList;code;inkobjcore.dll;#MakeWordList
Process;code;inkobjcore.dll;#Process
SetConstraint;code;inkobjcore.dll;#SetConstraint
SetEnabledUnicodeRanges;code;inkobjcore.dll;#SetEnabledUnicodeRanges
SetFactoid;code;inkobjcore.dll;#SetFactoid
SetFlags;code;inkobjcore.dll;#SetFlags
SetGuide;code;inkobjcore.dll;#SetGuide
SetStrokeGroupId;code;inkobjcore.dll;#SetStrokeGroupId
SetTextContext;code;inkobjcore.dll;#SetTextContext
SetWordList;code;inkobjcore.dll;#SetWordList
AddStroke;code;inkobjcore.dll;
AddStrokeWithId;code;inkobjcore.dll;
AddWordsToWordList;code;inkobjcore.dll;
AdviseInkChange;code;inkobjcore.dll;
CreateContext;code;inkobjcore.dll;
CreateRecognizer;code;inkobjcore.dll;
DestroyContext;code;inkobjcore.dll;
DestroyRecognizer;code;inkobjcore.dll;
DestroyWordList;code;inkobjcore.dll;
EndInkInput;code;inkobjcore.dll;
GetAllRecognizers;code;inkobjcore.dll;
GetBestResultString;code;inkobjcore.dll;
GetLatticePtr;code;inkobjcore.dll;
GetLeftSeparator;code;inkobjcore.dll;
GetRecoAttributes;code;inkobjcore.dll;
GetResultPropertyList;code;inkobjcore.dll;
GetRightSeparator;code;inkobjcore.dll;
GetUnicodeRanges;code;inkobjcore.dll;
IsStringSupported;code;inkobjcore.dll;
LoadCachedAttributes;code;inkobjcore.dll;
MakeWordList;code;inkobjcore.dll;
Process;code;inkobjcore.dll;
SetConstraint;code;inkobjcore.dll;
SetEnabledUnicodeRanges;code;inkobjcore.dll;
SetFactoid;code;inkobjcore.dll;
SetFlags;code;inkobjcore.dll;
SetGuide;code;inkobjcore.dll;
SetStrokeGroupId;code;inkobjcore.dll;
SetTextContext;code;inkobjcore.dll;
SetWordList;code;inkobjcore.dll;
