Name;Type;DLL;SymbolOrOrdinal
JsAddRef;code;JSCRIPT9.dll;JsAddRef
JsBoolToBoolean;code;JSCRIPT9.dll;JsBoolToBoolean
JsBooleanToBool;code;JSCRIPT9.dll;JsBooleanToBool
JsCallFunction;code;JSCRIPT9.dll;JsCallFunction
JsCollectGarbage;code;JSCRIPT9.dll;JsCollectGarbage
JsConstructObject;code;JSCRIPT9.dll;JsConstructObject
JsConvertValueToBoolean;code;JSCRIPT9.dll;JsConvertValueToBoolean
JsConvertValueToNumber;code;JSCRIPT9.dll;JsConvertValueToNumber
JsConvertValueToObject;code;JSCRIPT9.dll;JsConvertValueToObject
JsConvertValueToString;code;JSCRIPT9.dll;JsConvertValueToString
JsCreateArray;code;JSCRIPT9.dll;JsCreateArray
JsCreateContext;code;JSCRIPT9.dll;JsCreateContext
JsCreateError;code;JSCRIPT9.dll;JsCreateError
JsCreateExternalObject;code;JSCRIPT9.dll;JsCreateExternalObject
JsCreateExternalType;code;JSCRIPT9.dll;JsCreateExternalType
JsCreateFunction;code;JSCRIPT9.dll;JsCreateFunction
JsCreateObject;code;JSCRIPT9.dll;JsCreateObject
JsCreateRangeError;code;JSCRIPT9.dll;JsCreateRangeError
JsCreateReferenceError;code;JSCRIPT9.dll;JsCreateReferenceError
JsCreateRuntime;code;JSCRIPT9.dll;JsCreateRuntime
JsCreateSyntaxError;code;JSCRIPT9.dll;JsCreateSyntaxError
JsCreateTypeError;code;JSCRIPT9.dll;JsCreateTypeError
JsCreateTypedExternalObject;code;JSCRIPT9.dll;JsCreateTypedExternalObject
JsCreateURIError;code;JSCRIPT9.dll;JsCreateURIError
JsDefineProperty;code;JSCRIPT9.dll;JsDefineProperty
JsDeleteIndexedProperty;code;JSCRIPT9.dll;JsDeleteIndexedProperty
JsDeleteProperty;code;JSCRIPT9.dll;JsDeleteProperty
JsDisableRuntimeExecution;code;JSCRIPT9.dll;JsDisableRuntimeExecution
JsDisposeRuntime;code;JSCRIPT9.dll;JsDisposeRuntime
JsDoubleToNumber;code;JSCRIPT9.dll;JsDoubleToNumber
JsEnableRuntimeExecution;code;JSCRIPT9.dll;JsEnableRuntimeExecution
JsEnumerateHeap;code;JSCRIPT9.dll;JsEnumerateHeap
JsEquals;code;JSCRIPT9.dll;JsEquals
JsGetAndClearException;code;JSCRIPT9.dll;JsGetAndClearException
JsGetCurrentContext;code;JSCRIPT9.dll;JsGetCurrentContext
JsGetDefaultTypeDescription;code;JSCRIPT9.dll;JsGetDefaultTypeDescription
