Name;Type;DLL;SymbolOrOrdinal
CloseODBCPerfData;code;ODBC32.dll;#CloseODBCPerfData
CollectODBCPerfData;code;ODBC32.dll;#CollectODBCPerfData
CursorLibLockDbc;code;ODBC32.dll;#CursorLibLockDbc
CursorLibLockDesc;code;ODBC32.dll;#CursorLibLockDesc
CursorLibLockStmt;code;ODBC32.dll;#CursorLibLockStmt
CursorLibTransact;code;ODBC32.dll;#CursorLibTransact
DllBidEntryPoint;code;ODBC32.dll;#DllBidEntryPoint
GetODBCSharedData;code;ODBC32.dll;#GetODBCSharedData
LockHandle;code;ODBC32.dll;#LockHandle
#ODBCGetTryWaitValue;code;ODBC32.dll;84
ODBCInternalConnectW;code;ODBC32.dll;#ODBCInternalConnectW
#ODBCQualifyFileDSNW;code;ODBC32.dll;301
#ODBCSetTryWaitValue;code;ODBC32.dll;86
OpenODBCPerfData;code;ODBC32.dll;#OpenODBCPerfData
PostComponentError;code;ODBC32.dll;#PostComponentError
PostODBCComponentError;code;ODBC32.dll;#PostODBCComponentError
PostODBCError;code;ODBC32.dll;#PostODBCError
#SQLAllocConnect;code;ODBC32.dll;1
#SQLAllocEnv;code;ODBC32.dll;2
#SQLAllocHandle;code;ODBC32.dll;24
#SQLAllocHandleStd;code;ODBC32.dll;77
#SQLAllocStmt;code;ODBC32.dll;3
#SQLBindCol;code;ODBC32.dll;4
#SQLBindParam;code;ODBC32.dll;25
#SQLBindParameter;code;ODBC32.dll;72
#SQLBrowseConnect;code;ODBC32.dll;55
#SQLBrowseConnectA;code;ODBC32.dll;255
#SQLBrowseConnectW;code;ODBC32.dll;155
#SQLBulkOperations;code;ODBC32.dll;78
#SQLCancel;code;ODBC32.dll;5
SQLCancelHandle;code;ODBC32.dll;#SQLCancelHandle
#SQLCloseCursor;code;ODBC32.dll;26
#SQLColAttribute;code;ODBC32.dll;27
#SQLColAttributeA;code;ODBC32.dll;227
#SQLColAttributeW;code;ODBC32.dll;127
#SQLColAttributes;code;ODBC32.dll;6
#SQLColAttributesA;code;ODBC32.dll;206
#SQLColAttributesW;code;ODBC32.dll;106
#SQLColumnPrivileges;code;ODBC32.dll;56
#SQLColumnPrivilegesA;code;ODBC32.dll;256
#SQLColumnPrivilegesW;code;ODBC32.dll;156
#SQLColumns;code;ODBC32.dll;40
#SQLColumnsA;code;ODBC32.dll;240
#SQLColumnsW;code;ODBC32.dll;140
SQLCompleteAsync;code;ODBC32.dll;#SQLCompleteAsync
#SQLConnect;code;ODBC32.dll;7
#SQLConnectA;code;ODBC32.dll;207
#SQLConnectW;code;ODBC32.dll;107
#SQLCopyDesc;code;ODBC32.dll;28
#SQLDataSources;code;ODBC32.dll;57
#SQLDataSourcesA;code;ODBC32.dll;257
#SQLDataSourcesW;code;ODBC32.dll;157
#SQLDescribeCol;code;ODBC32.dll;8
#SQLDescribeColA;code;ODBC32.dll;208
#SQLDescribeColW;code;ODBC32.dll;108
#SQLDescribeParam;code;ODBC32.dll;58
#SQLDisconnect;code;ODBC32.dll;9
#SQLDriverConnect;code;ODBC32.dll;41
#SQLDriverConnectA;code;ODBC32.dll;241
#SQLDriverConnectW;code;ODBC32.dll;141
#SQLDrivers;code;ODBC32.dll;71
#SQLDriversA;code;ODBC32.dll;271
#SQLDriversW;code;ODBC32.dll;171
#SQLEndTran;code;ODBC32.dll;29
#SQLError;code;ODBC32.dll;10
#SQLErrorA;code;ODBC32.dll;210
#SQLErrorW;code;ODBC32.dll;110
#SQLExecDirect;code;ODBC32.dll;11
#SQLExecDirectA;code;ODBC32.dll;211
#SQLExecDirectW;code;ODBC32.dll;111
#SQLExecute;code;ODBC32.dll;12
#SQLExtendedFetch;code;ODBC32.dll;59
#SQLFetch;code;ODBC32.dll;13
#SQLFetchScroll;code;ODBC32.dll;30
#SQLForeignKeys;code;ODBC32.dll;60
#SQLForeignKeysA;code;ODBC32.dll;260
#SQLForeignKeysW;code;ODBC32.dll;160
#SQLFreeConnect;code;ODBC32.dll;14
#SQLFreeEnv;code;ODBC32.dll;15
#SQLFreeHandle;code;ODBC32.dll;31
#SQLFreeStmt;code;ODBC32.dll;16
#SQLGetConnectAttr;code;ODBC32.dll;32
#SQLGetConnectAttrA;code;ODBC32.dll;232
#SQLGetConnectAttrW;code;ODBC32.dll;132
#SQLGetConnectOption;code;ODBC32.dll;42
