Name;Type;DLL;SymbolOrOrdinal
ClearPropVariantArray;code;PROPSYS.dll;#ClearPropVariantArray
ClearVariantArray;code;PROPSYS.dll;#ClearVariantArray
#GetProxyDllInfo;code;PROPSYS.dll;3
InitPropVariantFromBooleanVector;code;PROPSYS.dll;#InitPropVariantFromBooleanVector
InitPropVariantFromBuffer;code;PROPSYS.dll;#InitPropVariantFromBuffer
InitPropVariantFromCLSID;code;PROPSYS.dll;#InitPropVariantFromCLSID
InitPropVariantFromDoubleVector;code;PROPSYS.dll;#InitPropVariantFromDoubleVector
InitPropVariantFromFileTime;code;PROPSYS.dll;#InitPropVariantFromFileTime
InitPropVariantFromFileTimeVector;code;PROPSYS.dll;#InitPropVariantFromFileTimeVector
InitPropVariantFromGUIDAsString;code;PROPSYS.dll;#InitPropVariantFromGUIDAsString
InitPropVariantFromInt16Vector;code;PROPSYS.dll;#InitPropVariantFromInt16Vector
InitPropVariantFromInt32Vector;code;PROPSYS.dll;#InitPropVariantFromInt32Vector
InitPropVariantFromInt64Vector;code;PROPSYS.dll;#InitPropVariantFromInt64Vector
InitPropVariantFromPropVariantVectorElem;code;PROPSYS.dll;#InitPropVariantFromPropVariantVectorElem
InitPropVariantFromResource;code;PROPSYS.dll;#InitPropVariantFromResource
InitPropVariantFromStrRet;code;PROPSYS.dll;#InitPropVariantFromStrRet
InitPropVariantFromStringAsVector;code;PROPSYS.dll;#InitPropVariantFromStringAsVector
InitPropVariantFromStringVector;code;PROPSYS.dll;#InitPropVariantFromStringVector
InitPropVariantFromUInt16Vector;code;PROPSYS.dll;#InitPropVariantFromUInt16Vector
InitPropVariantFromUInt32Vector;code;PROPSYS.dll;#InitPropVariantFromUInt32Vector
InitPropVariantFromUInt64Vector;code;PROPSYS.dll;#InitPropVariantFromUInt64Vector
InitPropVariantVectorFromPropVariant;code;PROPSYS.dll;#InitPropVariantVectorFromPropVariant
InitVariantFromBooleanArray;code;PROPSYS.dll;#InitVariantFromBooleanArray
InitVariantFromBuffer;code;PROPSYS.dll;#InitVariantFromBuffer
InitVariantFromDoubleArray;code;PROPSYS.dll;#InitVariantFromDoubleArray
InitVariantFromFileTime;code;PROPSYS.dll;#InitVariantFromFileTime
InitVariantFromFileTimeArray;code;PROPSYS.dll;#InitVariantFromFileTimeArray
InitVariantFromGUIDAsString;code;PROPSYS.dll;#InitVariantFromGUIDAsString
InitVariantFromInt16Array;code;PROPSYS.dll;#InitVariantFromInt16Array
InitVariantFromInt32Array;code;PROPSYS.dll;#InitVariantFromInt32Array
InitVariantFromInt64Array;code;PROPSYS.dll;#InitVariantFromInt64Array
InitVariantFromResource;code;PROPSYS.dll;#InitVariantFromResource
InitVariantFromStrRet;code;PROPSYS.dll;#InitVariantFromStrRet
InitVariantFromStringArray;code;PROPSYS.dll;#InitVariantFromStringArray
InitVariantFromUInt16Array;code;PROPSYS.dll;#InitVariantFromUInt16Array
InitVariantFromUInt32Array;code;PROPSYS.dll;#InitVariantFromUInt32Array
InitVariantFromUInt64Array;code;PROPSYS.dll;#InitVariantFromUInt64Array
InitVariantFromVariantArrayElem;code;PROPSYS.dll;#InitVariantFromVariantArrayElem
PSCoerceToCanonicalValue;code;PROPSYS.dll;#PSCoerceToCanonicalValue
PSCreateAdapterFromPropertyStore;code;PROPSYS.dll;#PSCreateAdapterFromPropertyStore
PSCreateDelayedMultiplexPropertyStore;code;PROPSYS.dll;#PSCreateDelayedMultiplexPropertyStore
PSCreateMemoryPropertyStore;code;PROPSYS.dll;#PSCreateMemoryPropertyStore
PSCreateMultiplexPropertyStore;code;PROPSYS.dll;#PSCreateMultiplexPropertyStore
PSCreatePropertyChangeArray;code;PROPSYS.dll;#PSCreatePropertyChangeArray
PSCreatePropertyStoreFromObject;code;PROPSYS.dll;#PSCreatePropertyStoreFromObject
PSCreatePropertyStoreFromPropertySetStorage;code;PROPSYS.dll;#PSCreatePropertyStoreFromPropertySetStorage
PSCreateSimplePropertyChange;code;PROPSYS.dll;#PSCreateSimplePropertyChange
PSEnumeratePropertyDescriptions;code;PROPSYS.dll;#PSEnumeratePropertyDescriptions
PSFormatForDisplay;code;PROPSYS.dll;#PSFormatForDisplay
PSFormatForDisplayAlloc;code;PROPSYS.dll;#PSFormatForDisplayAlloc
PSFormatPropertyValue;code;PROPSYS.dll;#PSFormatPropertyValue
PSGetImageReferenceForValue;code;PROPSYS.dll;#PSGetImageReferenceForValue
PSGetItemPropertyHandler;code;PROPSYS.dll;#PSGetItemPropertyHandler
PSGetItemPropertyHandlerWithCreateObject;code;PROPSYS.dll;#PSGetItemPropertyHandlerWithCreateObject
PSGetNameFromPropertyKey;code;PROPSYS.dll;#PSGetNameFromPropertyKey
PSGetNamedPropertyFromPropertyStorage;code;PROPSYS.dll;#PSGetNamedPropertyFromPropertyStorage
PSGetPropertyDescription;code;PROPSYS.dll;#PSGetPropertyDescription
PSGetPropertyDescriptionByName;code;PROPSYS.dll;#PSGetPropertyDescriptionByName
PSGetPropertyDescriptionListFromString;code;PROPSYS.dll;#PSGetPropertyDescriptionListFromString
PSGetPropertyFromPropertyStorage;code;PROPSYS.dll;#PSGetPropertyFromPropertyStorage
PSGetPropertyKeyFromName;code;PROPSYS.dll;#PSGetPropertyKeyFromName
PSGetPropertySystem;code;PROPSYS.dll;#PSGetPropertySystem
PSGetPropertyValue;code;PROPSYS.dll;#PSGetPropertyValue
PSLookupPropertyHandlerCLSID;code;PROPSYS.dll;#PSLookupPropertyHandlerCLSID
PSPropertyBag_Delete;code;PROPSYS.dll;#PSPropertyBag_Delete
PSPropertyBag_ReadBOOL;code;PROPSYS.dll;#PSPropertyBag_ReadBOOL
PSPropertyBag_ReadBSTR;code;PROPSYS.dll;#PSPropertyBag_ReadBSTR
PSPropertyBag_ReadDWORD;code;PROPSYS.dll;#PSPropertyBag_ReadDWORD
PSPropertyBag_ReadGUID;code;PROPSYS.dll;#PSPropertyBag_ReadGUID
