Name;Type;DLL;SymbolOrOrdinal
AssocCreateForClasses;code;SHELL32.dll;#AssocCreateForClasses
AssocElemCreateForKey;code;SHELL32.dll;#AssocElemCreateForKey
AssocGetDetailsOfPropKey;code;SHELL32.dll;#AssocGetDetailsOfPropKey
#CDefFolderMenu_Create2;code;SHELL32.dll;701
#CIDLData_CreateFromIDArray;code;SHELL32.dll;83
CallFileCopyHook;code;SHELL32.dll;#CallFileCopyHook
CheckEscapesW;code;SHELL32.dll;#CheckEscapesW
CommandLineToArgvW;code;SHELL32.dll;#CommandLineToArgvW
#DAD_AutoScroll;code;SHELL32.dll;129
#DAD_DragEnterEx;code;SHELL32.dll;131
#DAD_DragEnterEx2;code;SHELL32.dll;22
#DAD_DragLeave;code;SHELL32.dll;132
#DAD_DragMove;code;SHELL32.dll;134
#DAD_SetDragImage;code;SHELL32.dll;136
#DAD_ShowDragImage;code;SHELL32.dll;137
DoEnvironmentSubstA;code;SHELL32.dll;#DoEnvironmentSubstA
DoEnvironmentSubstW;code;SHELL32.dll;#DoEnvironmentSubstW
DragAcceptFiles;code;SHELL32.dll;#DragAcceptFiles
DragFinish;code;SHELL32.dll;#DragFinish
DragQueryFile;code;SHELL32.dll;#DragQueryFile
DragQueryFileA;code;SHELL32.dll;#DragQueryFileA
DragQueryFileAorW;code;SHELL32.dll;#DragQueryFileAorW
DragQueryFileW;code;SHELL32.dll;#DragQueryFileW
DragQueryPoint;code;SHELL32.dll;#DragQueryPoint
#DriveType;code;SHELL32.dll;64
DuplicateIcon;code;SHELL32.dll;#DuplicateIcon
ExtractAssociatedIconA;code;SHELL32.dll;#ExtractAssociatedIconA
ExtractAssociatedIconExA;code;SHELL32.dll;#ExtractAssociatedIconExA
ExtractAssociatedIconExW;code;SHELL32.dll;#ExtractAssociatedIconExW
ExtractAssociatedIconW;code;SHELL32.dll;#ExtractAssociatedIconW
ExtractIconA;code;SHELL32.dll;#ExtractIconA
ExtractIconEx;code;SHELL32.dll;#ExtractIconEx
ExtractIconExA;code;SHELL32.dll;#ExtractIconExA
ExtractIconExW;code;SHELL32.dll;#ExtractIconExW
ExtractIconW;code;SHELL32.dll;#ExtractIconW
FindExecutableA;code;SHELL32.dll;#FindExecutableA
FindExecutableW;code;SHELL32.dll;#FindExecutableW
GetCurrentProcessExplicitAppUserModelID;code;SHELL32.dll;#GetCurrentProcessExplicitAppUserModelID
