Name;Type;DLL;SymbolOrOrdinal
CloseTrace;code;WMI.dll;CloseTrace
ControlTraceA;code;WMI.dll;ControlTraceA
ControlTraceW;code;WMI.dll;ControlTraceW
CreateTraceInstanceId;code;WMI.dll;CreateTraceInstanceId
EnableTrace;code;WMI.dll;EnableTrace
GetTraceEnableFlags;code;WMI.dll;GetTraceEnableFlags
GetTraceEnableLevel;code;WMI.dll;GetTraceEnableLevel
GetTraceLoggerHandle;code;WMI.dll;GetTraceLoggerHandle
OpenTraceA;code;WMI.dll;OpenTraceA
OpenTraceW;code;WMI.dll;OpenTraceW
ProcessTrace;code;WMI.dll;ProcessTrace
QueryAllTracesA;code;WMI.dll;QueryAllTracesA
QueryAllTracesW;code;WMI.dll;QueryAllTracesW
RegisterTraceGuidsA;code;WMI.dll;RegisterTraceGuidsA
RegisterTraceGuidsW;code;WMI.dll;RegisterTraceGuidsW
RemoveTraceCallback;code;WMI.dll;RemoveTraceCallback
SetTraceCallback;code;WMI.dll;SetTraceCallback
StartTraceA;code;WMI.dll;StartTraceA
StartTraceW;code;WMI.dll;StartTraceW
TraceEvent;code;WMI.dll;TraceEvent
TraceEventInstance;code;WMI.dll;TraceEventInstance
UnregisterTraceGuids;code;WMI.dll;UnregisterTraceGuids
WmiCloseBlock;code;WMI.dll;WmiCloseBlock
WmiDevInstToInstanceNameA;code;WMI.dll;WmiDevInstToInstanceNameA
WmiDevInstToInstanceNameW;code;WMI.dll;WmiDevInstToInstanceNameW
WmiEnumerateGuids;code;WMI.dll;WmiEnumerateGuids
WmiExecuteMethodA;code;WMI.dll;WmiExecuteMethodA
WmiExecuteMethodW;code;WMI.dll;WmiExecuteMethodW
WmiFileHandleToInstanceNameA;code;WMI.dll;WmiFileHandleToInstanceNameA
WmiFileHandleToInstanceNameW;code;WMI.dll;WmiFileHandleToInstanceNameW
WmiFreeBuffer;code;WMI.dll;WmiFreeBuffer
WmiMofEnumerateResourcesA;code;WMI.dll;WmiMofEnumerateResourcesA
WmiMofEnumerateResourcesW;code;WMI.dll;WmiMofEnumerateResourcesW
WmiNotificationRegistrationA;code;WMI.dll;WmiNotificationRegistrationA
WmiNotificationRegistrationW;code;WMI.dll;WmiNotificationRegistrationW
WmiOpenBlock;code;WMI.dll;WmiOpenBlock
WmiQueryAllDataA;code;WMI.dll;WmiQueryAllDataA
WmiQueryAllDataW;code;WMI.dll;WmiQueryAllDataW
WmiQueryGuidInformation;code;WMI.dll;WmiQueryGuidInformation
WmiQuerySingleInstanceA;code;WMI.dll;WmiQuerySingleInstanceA
WmiQuerySingleInstanceW;code;WMI.dll;WmiQuerySingleInstanceW
WmiSetSingleInstanceA;code;WMI.dll;WmiSetSingleInstanceA
WmiSetSingleInstanceW;code;WMI.dll;WmiSetSingleInstanceW
WmiSetSingleItemA;code;WMI.dll;WmiSetSingleItemA
WmiSetSingleItemW;code;WMI.dll;WmiSetSingleItemW
CloseTrace;code;WMI.dll;
ControlTraceA;code;WMI.dll;
ControlTraceW;code;WMI.dll;
CreateTraceInstanceId;code;WMI.dll;
EnableTrace;code;WMI.dll;
GetTraceEnableFlags;code;WMI.dll;
GetTraceEnableLevel;code;WMI.dll;
GetTraceLoggerHandle;code;WMI.dll;
OpenTraceA;code;WMI.dll;
OpenTraceW;code;WMI.dll;
ProcessTrace;code;WMI.dll;
QueryAllTracesA;code;WMI.dll;
QueryAllTracesW;code;WMI.dll;
RegisterTraceGuidsA;code;WMI.dll;
RegisterTraceGuidsW;code;WMI.dll;
RemoveTraceCallback;code;WMI.dll;
SetTraceCallback;code;WMI.dll;
StartTraceA;code;WMI.dll;
StartTraceW;code;WMI.dll;
TraceEvent;code;WMI.dll;
TraceEventInstance;code;WMI.dll;
UnregisterTraceGuids;code;WMI.dll;
WmiCloseBlock;code;WMI.dll;
WmiDevInstToInstanceNameA;code;WMI.dll;
WmiDevInstToInstanceNameW;code;WMI.dll;
WmiEnumerateGuids;code;WMI.dll;
WmiExecuteMethodA;code;WMI.dll;
WmiExecuteMethodW;code;WMI.dll;
WmiFileHandleToInstanceNameA;code;WMI.dll;
WmiFileHandleToInstanceNameW;code;WMI.dll;
WmiFreeBuffer;code;WMI.dll;
WmiMofEnumerateResourcesA;code;WMI.dll;
WmiMofEnumerateResourcesW;code;WMI.dll;
WmiNotificationRegistrationA;code;WMI.dll;
WmiNotificationRegistrationW;code;WMI.dll;
WmiOpenBlock;code;WMI.dll;
WmiQueryAllDataA;code;WMI.dll;
WmiQueryAllDataW;code;WMI.dll;
WmiQueryGuidInformation;code;WMI.dll;
WmiQuerySingleInstanceA;code;WMI.dll;
WmiQuerySingleInstanceW;code;WMI.dll;
WmiSetSingleInstanceA;code;WMI.dll;
WmiSetSingleInstanceW;code;WMI.dll;
WmiSetSingleItemA;code;WMI.dll;
WmiSetSingleItemW;code;WMI.dll;
