Name;Type;DLL;SymbolOrOrdinal
??0CAutoEvent@@QEAA@XZ;code;framedyd.dll;
??0CFrameworkQuery@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CFrameworkQuery@@QEAA@XZ;code;framedyd.dll;
??0CFrameworkQueryEx@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CFrameworkQueryEx@@QEAA@XZ;code;framedyd.dll;
??0CHPtrArray@@QEAA@XZ;code;framedyd.dll;
??0CHString@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CHString@@QEAA@GH@Z;code;framedyd.dll;
??0CHString@@QEAA@PEBD@Z;code;framedyd.dll;
??0CHString@@QEAA@PEBE@Z;code;framedyd.dll;
??0CHString@@QEAA@PEBG@Z;code;framedyd.dll;
??0CHString@@QEAA@PEBGH@Z;code;framedyd.dll;
??0CHString@@QEAA@XZ;code;framedyd.dll;
??0CHStringArray@@QEAA@XZ;code;framedyd.dll;
??0CInstance@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CInstance@@QEAA@PEAUIWbemClassObject@@PEAVMethodContext@@@Z;code;framedyd.dll;
??0CObjectPathParser@@QEAA@W4ObjectParserFlags@@@Z;code;framedyd.dll;
??0CRegistry@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CRegistry@@QEAA@XZ;code;framedyd.dll;
??0CRegistrySearch@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CRegistrySearch@@QEAA@XZ;code;framedyd.dll;
??0CThreadBase@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CThreadBase@@QEAA@W4THREAD_SAFETY_MECHANISM@0@@Z;code;framedyd.dll;
??0CWbemGlueFactory@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CWbemGlueFactory@@QEAA@PEAJ@Z;code;framedyd.dll;
??0CWbemGlueFactory@@QEAA@XZ;code;framedyd.dll;
??0CWbemProviderGlue@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CWbemProviderGlue@@QEAA@PEAJ@Z;code;framedyd.dll;
??0CWbemProviderGlue@@QEAA@XZ;code;framedyd.dll;
??0CWinMsgEvent@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0CWinMsgEvent@@QEAA@XZ;code;framedyd.dll;
??0CreateMutexAsProcess@@QEAA@PEBG@Z;code;framedyd.dll;
??0KeyRef@@QEAA@PEBGPEBUtagVARIANT@@@Z;code;framedyd.dll;
??0KeyRef@@QEAA@XZ;code;framedyd.dll;
??0MethodContext@@QEAA@AEBV0@@Z;code;framedyd.dll;
??0MethodContext@@QEAA@PEAUIWbemContext@@PEAVCWbemProviderGlue@@@Z;code;framedyd.dll;
??0ParsedObjectPath@@QEAA@XZ;code;framedyd.dll;
??0Provider@@QEAA@AEBV0@@Z;code;framedyd.dll;
