Name;Type;DLL;SymbolOrOrdinal
AbortDoc;code;GDI32.dll;
AbortPath;code;GDI32.dll;
AddFontMemResourceEx;code;GDI32.dll;
AddFontResourceA;code;GDI32.dll;
AddFontResourceExA;code;GDI32.dll;
AddFontResourceExW;code;GDI32.dll;
AddFontResourceW;code;GDI32.dll;
AngleArc;code;GDI32.dll;
AnimatePalette;code;GDI32.dll;
Arc;code;GDI32.dll;
ArcTo;code;GDI32.dll;
BeginPath;code;GDI32.dll;
BitBlt;code;GDI32.dll;
CancelDC;code;GDI32.dll;
CheckColorsInGamut;code;GDI32.dll;
ChoosePixelFormat;code;GDI32.dll;
Chord;code;GDI32.dll;
CloseEnhMetaFile;code;GDI32.dll;
CloseFigure;code;GDI32.dll;
CloseMetaFile;code;GDI32.dll;
ColorCorrectPalette;code;GDI32.dll;
ColorMatchToTarget;code;GDI32.dll;
CombineRgn;code;GDI32.dll;
CombineTransform;code;GDI32.dll;
CopyEnhMetaFileA;code;GDI32.dll;
CopyEnhMetaFileW;code;GDI32.dll;
CopyMetaFileA;code;GDI32.dll;
CopyMetaFileW;code;GDI32.dll;
CreateBitmap;code;GDI32.dll;
CreateBitmapIndirect;code;GDI32.dll;
CreateBrushIndirect;code;GDI32.dll;
CreateColorSpaceA;code;GDI32.dll;
CreateColorSpaceW;code;GDI32.dll;
CreateCompatibleBitmap;code;GDI32.dll;
CreateCompatibleDC;code;GDI32.dll;
CreateDCA;code;GDI32.dll;
CreateDCW;code;GDI32.dll;
CreateDIBPatternBrush;code;GDI32.dll;
CreateDIBPatternBrushPt;code;GDI32.dll;
CreateDIBSection;code;GDI32.dll;
CreateDIBitmap;code;GDI32.dll;
CreateDiscardableBitmap;code;GDI32.dll;
CreateEllipticRgn;code;GDI32.dll;
CreateEllipticRgnIndirect;code;GDI32.dll;
CreateEnhMetaFileA;code;GDI32.dll;
CreateEnhMetaFileW;code;GDI32.dll;
CreateFontA;code;GDI32.dll;
CreateFontIndirectA;code;GDI32.dll;
CreateFontIndirectExA;code;GDI32.dll;
CreateFontIndirectExW;code;GDI32.dll;
CreateFontIndirectW;code;GDI32.dll;
CreateFontW;code;GDI32.dll;
CreateHalftonePalette;code;GDI32.dll;
CreateHatchBrush;code;GDI32.dll;
CreateICA;code;GDI32.dll;
CreateICW;code;GDI32.dll;
CreateMetaFileA;code;GDI32.dll;
CreateMetaFileW;code;GDI32.dll;
CreatePalette;code;GDI32.dll;
CreatePatternBrush;code;GDI32.dll;
