Name;Type;DLL;SymbolOrOrdinal
UCNV_FROM_U_CALLBACK_ESCAPE;code;icuuc.dll;
UCNV_FROM_U_CALLBACK_SKIP;code;icuuc.dll;
UCNV_FROM_U_CALLBACK_STOP;code;icuuc.dll;
UCNV_FROM_U_CALLBACK_SUBSTITUTE;code;icuuc.dll;
UCNV_TO_U_CALLBACK_ESCAPE;code;icuuc.dll;
UCNV_TO_U_CALLBACK_SKIP;code;icuuc.dll;
UCNV_TO_U_CALLBACK_STOP;code;icuuc.dll;
UCNV_TO_U_CALLBACK_SUBSTITUTE;code;icuuc.dll;
u_UCharsToChars;code;icuuc.dll;
u_austrcpy;code;icuuc.dll;
u_austrncpy;code;icuuc.dll;
u_catclose;code;icuuc.dll;
u_catgets;code;icuuc.dll;
u_catopen;code;icuuc.dll;
u_charAge;code;icuuc.dll;
u_charDigitValue;code;icuuc.dll;
u_charDirection;code;icuuc.dll;
u_charFromName;code;icuuc.dll;
u_charMirror;code;icuuc.dll;
u_charName;code;icuuc.dll;
u_charType;code;icuuc.dll;
u_charsToUChars;code;icuuc.dll;
u_cleanup;code;icuuc.dll;
u_countChar32;code;icuuc.dll;
u_digit;code;icuuc.dll;
u_enumCharNames;code;icuuc.dll;
u_enumCharTypes;code;icuuc.dll;
u_errorName;code;icuuc.dll;
u_foldCase;code;icuuc.dll;
u_forDigit;code;icuuc.dll;
u_getBidiPairedBracket;code;icuuc.dll;
u_getCombiningClass;code;icuuc.dll;
u_getDataVersion;code;icuuc.dll;
u_getFC_NFKC_Closure;code;icuuc.dll;
u_getIntPropertyMaxValue;code;icuuc.dll;
u_getIntPropertyMinValue;code;icuuc.dll;
u_getIntPropertyValue;code;icuuc.dll;
u_getNumericValue;code;icuuc.dll;
u_getPropertyEnum;code;icuuc.dll;
u_getPropertyName;code;icuuc.dll;
u_getPropertyValueEnum;code;icuuc.dll;
u_getPropertyValueName;code;icuuc.dll;
u_getUnicodeVersion;code;icuuc.dll;
u_getVersion;code;icuuc.dll;
u_hasBinaryProperty;code;icuuc.dll;
u_init;code;icuuc.dll;
u_isIDIgnorable;code;icuuc.dll;
u_isIDPart;code;icuuc.dll;
u_isIDStart;code;icuuc.dll;
u_isISOControl;code;icuuc.dll;
u_isJavaIDPart;code;icuuc.dll;
u_isJavaIDStart;code;icuuc.dll;
u_isJavaSpaceChar;code;icuuc.dll;
u_isMirrored;code;icuuc.dll;
u_isUAlphabetic;code;icuuc.dll;
u_isULowercase;code;icuuc.dll;
u_isUUppercase;code;icuuc.dll;
u_isUWhiteSpace;code;icuuc.dll;
u_isWhitespace;code;icuuc.dll;
u_isalnum;code;icuuc.dll;
u_isalpha;code;icuuc.dll;
u_isbase;code;icuuc.dll;
u_isblank;code;icuuc.dll;
u_iscntrl;code;icuuc.dll;
u_isdefined;code;icuuc.dll;
u_isdigit;code;icuuc.dll;
u_isgraph;code;icuuc.dll;
u_islower;code;icuuc.dll;
u_isprint;code;icuuc.dll;
u_ispunct;code;icuuc.dll;
u_isspace;code;icuuc.dll;
u_istitle;code;icuuc.dll;
u_isupper;code;icuuc.dll;
u_isxdigit;code;icuuc.dll;
u_memcasecmp;code;icuuc.dll;
u_memchr;code;icuuc.dll;
u_memchr32;code;icuuc.dll;
u_memcmp;code;icuuc.dll;
u_memcmpCodePointOrder;code;icuuc.dll;
u_memcpy;code;icuuc.dll;
u_memmove;code;icuuc.dll;
u_memrchr;code;icuuc.dll;
u_memrchr32;code;icuuc.dll;
u_memset;code;icuuc.dll;
u_setMemoryFunctions;code;icuuc.dll;
u_shapeArabic;code;icuuc.dll;
u_strCaseCompare;code;icuuc.dll;
u_strCompare;code;icuuc.dll;
u_strCompareIter;code;icuuc.dll;
u_strFindFirst;code;icuuc.dll;
u_strFindLast;code;icuuc.dll;
u_strFoldCase;code;icuuc.dll;
u_strFromJavaModifiedUTF8WithSub;code;icuuc.dll;
u_strFromUTF32;code;icuuc.dll;
u_strFromUTF32WithSub;code;icuuc.dll;
u_strFromUTF8;code;icuuc.dll;
u_strFromUTF8Lenient;code;icuuc.dll;
u_strFromUTF8WithSub;code;icuuc.dll;
u_strFromWCS;code;icuuc.dll;
u_strHasMoreChar32Than;code;icuuc.dll;
u_strToJavaModifiedUTF8;code;icuuc.dll;
u_strToLower;code;icuuc.dll;
u_strToTitle;code;icuuc.dll;
u_strToUTF32;code;icuuc.dll;
u_strToUTF32WithSub;code;icuuc.dll;
u_strToUTF8;code;icuuc.dll;
u_strToUTF8WithSub;code;icuuc.dll;
u_strToUpper;code;icuuc.dll;
u_strToWCS;code;icuuc.dll;
u_strcasecmp;code;icuuc.dll;
u_strcat;code;icuuc.dll;
u_strchr;code;icuuc.dll;
u_strchr32;code;icuuc.dll;
u_strcmp;code;icuuc.dll;
u_strcmpCodePointOrder;code;icuuc.dll;
u_strcpy;code;icuuc.dll;
u_strcspn;code;icuuc.dll;
u_strlen;code;icuuc.dll;
u_strncasecmp;code;icuuc.dll;
u_strncat;code;icuuc.dll;
u_strncmp;code;icuuc.dll;
u_strncmpCodePointOrder;code;icuuc.dll;
u_strncpy;code;icuuc.dll;
u_strpbrk;code;icuuc.dll;
u_strrchr;code;icuuc.dll;
u_strrchr32;code;icuuc.dll;
u_strrstr;code;icuuc.dll;
u_strspn;code;icuuc.dll;
u_strstr;code;icuuc.dll;
u_strtok_r;code;icuuc.dll;
u_tolower;code;icuuc.dll;
u_totitle;code;icuuc.dll;
u_toupper;code;icuuc.dll;
u_uastrcpy;code;icuuc.dll;
u_uastrncpy;code;icuuc.dll;
u_unescape;code;icuuc.dll;
u_unescapeAt;code;icuuc.dll;
u_versionFromString;code;icuuc.dll;
u_versionFromUString;code;icuuc.dll;
u_versionToString;code;icuuc.dll;
ubidi_close;code;icuuc.dll;
ubidi_countParagraphs;code;icuuc.dll;
ubidi_countRuns;code;icuuc.dll;
ubidi_getBaseDirection;code;icuuc.dll;
ubidi_getClassCallback;code;icuuc.dll;
ubidi_getCustomizedClass;code;icuuc.dll;
ubidi_getDirection;code;icuuc.dll;
ubidi_getLength;code;icuuc.dll;
ubidi_getLevelAt;code;icuuc.dll;
ubidi_getLevels;code;icuuc.dll;
ubidi_getLogicalIndex;code;icuuc.dll;
ubidi_getLogicalMap;code;icuuc.dll;
ubidi_getLogicalRun;code;icuuc.dll;
ubidi_getParaLevel;code;icuuc.dll;
ubidi_getParagraph;code;icuuc.dll;
ubidi_getParagraphByIndex;code;icuuc.dll;
ubidi_getProcessedLength;code;icuuc.dll;
ubidi_getReorderingMode;code;icuuc.dll;
ubidi_getReorderingOptions;code;icuuc.dll;
ubidi_getResultLength;code;icuuc.dll;
ubidi_getText;code;icuuc.dll;
ubidi_getVisualIndex;code;icuuc.dll;
ubidi_getVisualMap;code;icuuc.dll;
ubidi_getVisualRun;code;icuuc.dll;
ubidi_invertMap;code;icuuc.dll;
ubidi_isInverse;code;icuuc.dll;
ubidi_isOrderParagraphsLTR;code;icuuc.dll;
ubidi_open;code;icuuc.dll;
ubidi_openSized;code;icuuc.dll;
ubidi_orderParagraphsLTR;code;icuuc.dll;
ubidi_reorderLogical;code;icuuc.dll;
ubidi_reorderVisual;code;icuuc.dll;
ubidi_setClassCallback;code;icuuc.dll;
ubidi_setContext;code;icuuc.dll;
ubidi_setInverse;code;icuuc.dll;
ubidi_setLine;code;icuuc.dll;
ubidi_setPara;code;icuuc.dll;
ubidi_setReorderingMode;code;icuuc.dll;
ubidi_setReorderingOptions;code;icuuc.dll;
ubidi_writeReordered;code;icuuc.dll;
ubidi_writeReverse;code;icuuc.dll;
ubiditransform_close;code;icuuc.dll;
ubiditransform_open;code;icuuc.dll;
ubiditransform_transform;code;icuuc.dll;
ublock_getCode;code;icuuc.dll;
ubrk_close;code;icuuc.dll;
ubrk_countAvailable;code;icuuc.dll;
ubrk_current;code;icuuc.dll;
ubrk_first;code;icuuc.dll;
ubrk_following;code;icuuc.dll;
