Name;Type;DLL;SymbolOrOrdinal
XInputSetState;code;XINPUTUAP.dll;
XInputGetState;code;XINPUTUAP.dll;
XInputGetKeystroke;code;XINPUTUAP.dll;
XInputGetCapabilities;code;XINPUTUAP.dll;
XInputGetBatteryInformation;code;XINPUTUAP.dll;
XInputGetAudioDeviceIds;code;XINPUTUAP.dll;
XInputEnable;code;XINPUTUAP.dll;
XAudio2CreateWithVersionInfo;code;XAudio2_9.dll;9
XAudio2CreateWithSharedContexts;code;XAudio2_9.dll;10
XAudio2CreateV2_9;code;XAudio2_9.dll;8
XAudio2Create;code;XAudio2_9.dll;1
X3DAudioInitialize;code;XAudio2_9.dll;6
X3DAudioCalculate;code;XAudio2_9.dll;5
CreateFX;code;XAudio2_9.dll;4
CreateAudioVolumeMeter;code;XAudio2_9.dll;3
CreateAudioReverbV2_8;code;XAudio2_9.dll;7
CreateAudioReverb;code;XAudio2_9.dll;2
WTSVirtualChannelQuery;code;WTSAPI32.dll;
WTSVirtualChannelOpenEx;code;WTSAPI32.dll;
WTSVirtualChannelOpen;code;WTSAPI32.dll;
WTSVirtualChannelClose;code;WTSAPI32.dll;
WTSUnRegisterSessionNotification;code;WTSAPI32.dll;
WTSRegisterSessionNotification;code;WTSAPI32.dll;
WTSQueryUserToken;code;WTSAPI32.dll;
WTSQuerySessionInformationW;code;WTSAPI32.dll;
WTSQuerySessionInformationA;code;WTSAPI32.dll;
WTSLogoffSession;code;WTSAPI32.dll;
WTSFreeMemoryExW;code;WTSAPI32.dll;
WTSFreeMemory;code;WTSAPI32.dll;
WTSEnumerateSessionsW;code;WTSAPI32.dll;
WTSEnumerateSessionsExW;code;WTSAPI32.dll;
WTSEnumerateSessionsA;code;WTSAPI32.dll;
WTSEnumerateProcessesW;code;WTSAPI32.dll;
WTSEnumerateProcessesExW;code;WTSAPI32.dll;
WTSDisconnectSession;code;WTSAPI32.dll;
WSCWriteProviderOrderEx;code;WS2_32.dll;
WSCWriteProviderOrder32;code;WS2_32.dll;
WSCWriteProviderOrder;code;WS2_32.dll;
WSCWriteNameSpaceOrder32;code;WS2_32.dll;
WSCWriteNameSpaceOrder;code;WS2_32.dll;
WSCUpdateProviderEx;code;WS2_32.dll;
WSCUpdateProvider32;code;WS2_32.dll;
WSCUpdateProvider;code;WS2_32.dll;
WSCUnInstallNameSpaceEx2;code;WS2_32.dll;
WSCUnInstallNameSpace32;code;WS2_32.dll;
WSCUnInstallNameSpace;code;WS2_32.dll;
WSCSetProviderInfo32;code;WS2_32.dll;
WSCSetProviderInfo;code;WS2_32.dll;
WSCSetApplicationCategoryEx;code;WS2_32.dll;
WSCSetApplicationCategory;code;WS2_32.dll;
