Name;Type;DLL;SymbolOrOrdinal
WTSVirtualChannelQuery;code;WTSAPI32.dll;_WTSVirtualChannelQuery@16
WTSVirtualChannelOpenEx;code;WTSAPI32.dll;_WTSVirtualChannelOpenEx@12
WTSVirtualChannelOpen;code;WTSAPI32.dll;_WTSVirtualChannelOpen@12
WTSVirtualChannelClose;code;WTSAPI32.dll;_WTSVirtualChannelClose@4
WTSUnRegisterSessionNotification;code;WTSAPI32.dll;_WTSUnRegisterSessionNotification@4
WTSRegisterSessionNotification;code;WTSAPI32.dll;_WTSRegisterSessionNotification@8
WTSQueryUserToken;code;WTSAPI32.dll;_WTSQueryUserToken@8
WTSQuerySessionInformationW;code;WTSAPI32.dll;_WTSQuerySessionInformationW@20
WTSLogoffSession;code;WTSAPI32.dll;_WTSLogoffSession@12
WTSFreeMemoryExW;code;WTSAPI32.dll;_WTSFreeMemoryExW@12
WTSFreeMemory;code;WTSAPI32.dll;_WTSFreeMemory@4
WTSEnumerateSessionsW;code;WTSAPI32.dll;_WTSEnumerateSessionsW@20
WTSEnumerateSessionsExW;code;WTSAPI32.dll;_WTSEnumerateSessionsExW@20
WTSEnumerateProcessesW;code;WTSAPI32.dll;_WTSEnumerateProcessesW@20
WTSEnumerateProcessesExW;code;WTSAPI32.dll;_WTSEnumerateProcessesExW@20
WTSDisconnectSession;code;WTSAPI32.dll;_WTSDisconnectSession@12
XcvDataW;code;WINSPOOL.DRV;_XcvDataW@32
WritePrinter;code;WINSPOOL.DRV;_WritePrinter@16
StartDocPrinterW;code;WINSPOOL.DRV;_StartDocPrinterW@12
SetPrinterW;code;WINSPOOL.DRV;_SetPrinterW@16
SetPrinterDataW;code;WINSPOOL.DRV;_SetPrinterDataW@20
SetPrinterDataExW;code;WINSPOOL.DRV;_SetPrinterDataExW@24
SetPrinterA;code;WINSPOOL.DRV;_SetPrinterA@16
SetJobW;code;WINSPOOL.DRV;_SetJobW@20
SetDefaultPrinterW;code;WINSPOOL.DRV;_SetDefaultPrinterW@4
ReportJobProcessingProgress;code;WINSPOOL.DRV;_ReportJobProcessingProgress@16
OpenPrinterW;code;WINSPOOL.DRV;_OpenPrinterW@12
OpenPrinterA;code;WINSPOOL.DRV;_OpenPrinterA@12
InstallPrinterDriverFromPackageW;code;WINSPOOL.DRV;_InstallPrinterDriverFromPackageW@20
GetPrintOutputInfo;code;WINSPOOL.DRV;_GetPrintOutputInfo@16
GetPrinterW;code;WINSPOOL.DRV;_GetPrinterW@20
GetPrinterDriverW;code;WINSPOOL.DRV;_GetPrinterDriverW@24
GetPrinterDriverDirectoryW;code;WINSPOOL.DRV;_GetPrinterDriverDirectoryW@24
GetPrinterDataW;code;WINSPOOL.DRV;_GetPrinterDataW@24
GetPrinterDataExW;code;WINSPOOL.DRV;_GetPrinterDataExW@28
GetPrinterA;code;WINSPOOL.DRV;_GetPrinterA@20
GetJobW;code;WINSPOOL.DRV;_GetJobW@24
_GetDefaultPrinterW@8;code;WINSPOOL.DRV;203
FreePrinterNotifyInfo;code;WINSPOOL.DRV;_FreePrinterNotifyInfo@4
EnumPrintersW;code;WINSPOOL.DRV;_EnumPrintersW@28
EnumPrintersA;code;WINSPOOL.DRV;_EnumPrintersA@28
EnumPrinterDriversW;code;WINSPOOL.DRV;_EnumPrinterDriversW@28
EnumPortsW;code;WINSPOOL.DRV;_EnumPortsW@24
EnumJobsW;code;WINSPOOL.DRV;_EnumJobsW@32
EndDocPrinter;code;WINSPOOL.DRV;_EndDocPrinter@4
DocumentPropertiesW;code;WINSPOOL.DRV;_DocumentPropertiesW@24
DocumentPropertiesA;code;WINSPOOL.DRV;_DocumentPropertiesA@24
DeviceCapabilitiesW;code;WINSPOOL.DRV;_DeviceCapabilitiesW@20
DeletePrinterDataW;code;WINSPOOL.DRV;_DeletePrinterDataW@8
DeletePrinterDataExW;code;WINSPOOL.DRV;_DeletePrinterDataExW@12
DeletePrinterConnectionW;code;WINSPOOL.DRV;_DeletePrinterConnectionW@4
DeletePrinter;code;WINSPOOL.DRV;_DeletePrinter@4
ClosePrinter;code;WINSPOOL.DRV;_ClosePrinter@4
AddPrinterW;code;WINSPOOL.DRV;_AddPrinterW@12
AddPrinterConnectionW;code;WINSPOOL.DRV;_AddPrinterConnectionW@4
AddPrinterConnection2W;code;WINSPOOL.DRV;_AddPrinterConnection2W@16
AddPrinterA;code;WINSPOOL.DRV;_AddPrinterA@12
AbortPrinter;code;WINSPOOL.DRV;_AbortPrinter@4
timeGetTime;code;WINMM.dll;_timeGetTime@0
timeGetSystemTime;code;WINMM.dll;_timeGetSystemTime@8
timeGetDevCaps;code;WINMM.dll;_timeGetDevCaps@8
timeEndPeriod;code;WINMM.dll;_timeEndPeriod@4
timeBeginPeriod;code;WINMM.dll;_timeBeginPeriod@4
VerQueryValueW;code;VERSION.dll;_VerQueryValueW@16
VerQueryValueA;code;VERSION.dll;_VerQueryValueA@16
VerFindFileW;code;VERSION.dll;_VerFindFileW@32
VerFindFileA;code;VERSION.dll;_VerFindFileA@32
GetFileVersionInfoW;code;VERSION.dll;_GetFileVersionInfoW@16
GetFileVersionInfoSizeW;code;VERSION.dll;_GetFileVersionInfoSizeW@8
GetFileVersionInfoSizeExW;code;VERSION.dll;_GetFileVersionInfoSizeExW@12
GetFileVersionInfoSizeA;code;VERSION.dll;_GetFileVersionInfoSizeA@8
GetFileVersionInfoExW;code;VERSION.dll;_GetFileVersionInfoExW@20
GetFileVersionInfoA;code;VERSION.dll;_GetFileVersionInfoA@16
SetWindowThemeAttribute;code;UXTHEME.dll;_SetWindowThemeAttribute@16
SetWindowTheme;code;UXTHEME.dll;_SetWindowTheme@12
_RefreshImmersiveColorPolicyState@0;code;UXTHEME.dll;104
OpenThemeDataEx;code;UXTHEME.dll;_OpenThemeDataEx@12
OpenThemeData;code;UXTHEME.dll;_OpenThemeData@8
IsThemePartDefined;code;UXTHEME.dll;_IsThemePartDefined@12
IsThemeActive;code;UXTHEME.dll;_IsThemeActive@0
IsCompositionActive;code;UXTHEME.dll;_IsCompositionActive@0
IsAppThemed;code;UXTHEME.dll;_IsAppThemed@0
GetWindowTheme;code;UXTHEME.dll;_GetWindowTheme@4
GetUserColorPreference;code;UXTHEME.dll;_GetUserColorPreference@8
GetThemeTimingFunction;code;UXTHEME.dll;_GetThemeTimingFunction@20
GetThemeStream;code;UXTHEME.dll;_GetThemeStream@28
GetThemeRect;code;UXTHEME.dll;_GetThemeRect@20
GetThemePosition;code;UXTHEME.dll;_GetThemePosition@20
GetThemePartSize;code;UXTHEME.dll;_GetThemePartSize@28
GetThemeMetric;code;UXTHEME.dll;_GetThemeMetric@24
GetThemeMargins;code;UXTHEME.dll;_GetThemeMargins@28
GetThemeInt;code;UXTHEME.dll;_GetThemeInt@20
GetThemeFont;code;UXTHEME.dll;_GetThemeFont@24
GetThemeEnumValue;code;UXTHEME.dll;_GetThemeEnumValue@20
GetThemeColor;code;UXTHEME.dll;_GetThemeColor@20
GetThemeBitmap;code;UXTHEME.dll;_GetThemeBitmap@24
GetThemeBackgroundExtent;code;UXTHEME.dll;_GetThemeBackgroundExtent@24
GetThemeBackgroundContentRect;code;UXTHEME.dll;_GetThemeBackgroundContentRect@24
GetThemeAppProperties;code;UXTHEME.dll;_GetThemeAppProperties@0
GetThemeAnimationTransform;code;UXTHEME.dll;_GetThemeAnimationTransform@28
GetThemeAnimationProperty;code;UXTHEME.dll;_GetThemeAnimationProperty@28
_GetIsImmersiveColorUsingHighContrast@4;code;UXTHEME.dll;106
GetImmersiveUserColorSetPreference;code;UXTHEME.dll;_GetImmersiveUserColorSetPreference@8
_GetImmersiveColorXamlInfoByIndex@4;code;UXTHEME.dll;124
_GetImmersiveColorTypeFromName@4;code;UXTHEME.dll;96
_GetImmersiveColorNamedTypeByIndex@4;code;UXTHEME.dll;100
GetImmersiveColorFromColorSetEx;code;UXTHEME.dll;_GetImmersiveColorFromColorSetEx@16
GetCurrentThemeName;code;UXTHEME.dll;_GetCurrentThemeName@24
GetColorFromPreference;code;UXTHEME.dll;_GetColorFromPreference@16
GetBufferedPaintBits;code;UXTHEME.dll;_GetBufferedPaintBits@12
EndBufferedPaint;code;UXTHEME.dll;_EndBufferedPaint@8
DrawThemeTextEx;code;UXTHEME.dll;_DrawThemeTextEx@36
DrawThemeParentBackground;code;UXTHEME.dll;_DrawThemeParentBackground@12
DrawThemeBackgroundEx;code;UXTHEME.dll;_DrawThemeBackgroundEx@24
DrawThemeBackground;code;UXTHEME.dll;_DrawThemeBackground@24
CloseThemeData;code;UXTHEME.dll;_CloseThemeData@4
BufferedPaintUnInit;code;UXTHEME.dll;_BufferedPaintUnInit@0
BufferedPaintStopAllAnimations;code;UXTHEME.dll;_BufferedPaintStopAllAnimations@4
BufferedPaintInit;code;UXTHEME.dll;_BufferedPaintInit@0
BufferedPaintClear;code;UXTHEME.dll;_BufferedPaintClear@8
BeginBufferedPaint;code;UXTHEME.dll;_BeginBufferedPaint@20
wvsprintfW;code;USER32.dll;_wvsprintfW@12
wvsprintfA;code;USER32.dll;_wvsprintfA@12
wsprintfW;code;USER32.dll;_wsprintfW
wsprintfA;code;USER32.dll;_wsprintfA
WinHelpW;code;USER32.dll;_WinHelpW@16
WinHelpA;code;USER32.dll;_WinHelpA@16
WindowFromPoint;code;USER32.dll;_WindowFromPoint@8
WindowFromPhysicalPoint;code;USER32.dll;_WindowFromPhysicalPoint@8
WindowFromDC;code;USER32.dll;_WindowFromDC@4
WaitMessage;code;USER32.dll;_WaitMessage@0
WaitForInputIdle;code;USER32.dll;_WaitForInputIdle@8
VkKeyScanW;code;USER32.dll;_VkKeyScanW@4
VkKeyScanExW;code;USER32.dll;_VkKeyScanExW@8
VkKeyScanA;code;USER32.dll;_VkKeyScanA@4
ValidateRgn;code;USER32.dll;_ValidateRgn@8
ValidateRect;code;USER32.dll;_ValidateRect@8
_UpdateWindowTrackingInfo@12;code;USER32.dll;2585
UpdateWindowInputSinkHints;code;USER32.dll;_UpdateWindowInputSinkHints@8
UpdateWindow;code;USER32.dll;_UpdateWindow@4
UpdatePerUserSystemParameters;code;USER32.dll;_UpdatePerUserSystemParameters@4
UpdateLayeredWindow;code;USER32.dll;_UpdateLayeredWindow@36
UnregisterPowerSettingNotification;code;USER32.dll;_UnregisterPowerSettingNotification@4
UnregisterHotKey;code;USER32.dll;_UnregisterHotKey@8
UnregisterDeviceNotification;code;USER32.dll;_UnregisterDeviceNotification@4
UnregisterClassW;code;USER32.dll;_UnregisterClassW@8
UnregisterClassA;code;USER32.dll;_UnregisterClassA@8
UnpackDDElParam;code;USER32.dll;_UnpackDDElParam@16
UnloadKeyboardLayout;code;USER32.dll;_UnloadKeyboardLayout@4
UnionRect;code;USER32.dll;_UnionRect@12
UnhookWinEvent;code;USER32.dll;_UnhookWinEvent@4
UnhookWindowsHookEx;code;USER32.dll;_UnhookWindowsHookEx@4
TranslateMessage;code;USER32.dll;_TranslateMessage@4
TranslateMDISysAccel;code;USER32.dll;_TranslateMDISysAccel@8
TranslateAcceleratorW;code;USER32.dll;_TranslateAcceleratorW@12
TranslateAcceleratorA;code;USER32.dll;_TranslateAcceleratorA@12
TrackPopupMenuEx;code;USER32.dll;_TrackPopupMenuEx@24
TrackPopupMenu;code;USER32.dll;_TrackPopupMenu@28
TrackMouseEvent;code;USER32.dll;_TrackMouseEvent@4
ToUnicodeEx;code;USER32.dll;_ToUnicodeEx@28
ToUnicode;code;USER32.dll;_ToUnicode@24
ToAsciiEx;code;USER32.dll;_ToAsciiEx@24
ToAscii;code;USER32.dll;_ToAscii@20
TabbedTextOutW;code;USER32.dll;_TabbedTextOutW@32
TabbedTextOutA;code;USER32.dll;_TabbedTextOutA@32
SystemParametersInfoW;code;USER32.dll;_SystemParametersInfoW@16
SystemParametersInfoA;code;USER32.dll;_SystemParametersInfoA@16
SwitchToThisWindow;code;USER32.dll;_SwitchToThisWindow@8
SwitchDesktop;code;USER32.dll;_SwitchDesktop@4
SubtractRect;code;USER32.dll;_SubtractRect@12
SoundSentry;code;USER32.dll;_SoundSentry@0
ShutdownBlockReasonDestroy;code;USER32.dll;_ShutdownBlockReasonDestroy@4
ShutdownBlockReasonCreate;code;USER32.dll;_ShutdownBlockReasonCreate@8
ShowWindowAsync;code;USER32.dll;_ShowWindowAsync@8
ShowWindow;code;USER32.dll;_ShowWindow@8
ShowScrollBar;code;USER32.dll;_ShowScrollBar@12
ShowOwnedPopups;code;USER32.dll;_ShowOwnedPopups@8
ShowCursor;code;USER32.dll;_ShowCursor@4
ShowCaret;code;USER32.dll;_ShowCaret@4
SetWinEventHook;code;USER32.dll;_SetWinEventHook@28
SetWindowTextW;code;USER32.dll;_SetWindowTextW@8
SetWindowTextA;code;USER32.dll;_SetWindowTextA@8
SetWindowsHookExW;code;USER32.dll;_SetWindowsHookExW@16
SetWindowsHookExA;code;USER32.dll;_SetWindowsHookExA@16
SetWindowRgn;code;USER32.dll;_SetWindowRgn@12
SetWindowPos;code;USER32.dll;_SetWindowPos@28
SetWindowPlacement;code;USER32.dll;_SetWindowPlacement@8
SetWindowLongW;code;USER32.dll;_SetWindowLongW@12
SetWindowLongA;code;USER32.dll;_SetWindowLongA@12
SetWindowDisplayAffinity;code;USER32.dll;_SetWindowDisplayAffinity@8
SetWindowContextHelpId;code;USER32.dll;_SetWindowContextHelpId@8
_SetWindowArrangement@16;code;USER32.dll;2566
SetUserObjectSecurity;code;USER32.dll;_SetUserObjectSecurity@12
SetTimer;code;USER32.dll;_SetTimer@16
SetThreadDesktop;code;USER32.dll;_SetThreadDesktop@4
SetSysColors;code;USER32.dll;_SetSysColors@12
SetScrollRange;code;USER32.dll;_SetScrollRange@20
SetScrollPos;code;USER32.dll;_SetScrollPos@16
SetScrollInfo;code;USER32.dll;_SetScrollInfo@16
SetRectEmpty;code;USER32.dll;_SetRectEmpty@4
SetRect;code;USER32.dll;_SetRect@20
SetPropW;code;USER32.dll;_SetPropW@12
SetPropA;code;USER32.dll;_SetPropA@12
SetProcessWindowStation;code;USER32.dll;_SetProcessWindowStation@4
SetProcessRestrictionExemption;code;USER32.dll;_SetProcessRestrictionExemption@4
SetProcessDpiAwarenessInternal;code;USER32.dll;_SetProcessDpiAwarenessInternal@4
SetProcessDPIAware;code;USER32.dll;_SetProcessDPIAware@0
SetProcessDefaultLayout;code;USER32.dll;_SetProcessDefaultLayout@4
