Name;Type;DLL;SymbolOrOrdinal
??0CCollection@@QAE@XZ;code;hhsetup.dll;
??0CFIFOString@@QAE@XZ;code;hhsetup.dll;
??0CFolder@@QAE@XZ;code;hhsetup.dll;
??0CLocation@@QAE@XZ;code;hhsetup.dll;
??0CPointerList@@QAE@XZ;code;hhsetup.dll;
??0CTitle@@QAE@XZ;code;hhsetup.dll;
??1CCollection@@QAE@XZ;code;hhsetup.dll;
??1CFIFOString@@QAE@XZ;code;hhsetup.dll;
??1CFolder@@QAE@XZ;code;hhsetup.dll;
??1CLocation@@QAE@XZ;code;hhsetup.dll;
??1CPointerList@@QAE@XZ;code;hhsetup.dll;
??1CTitle@@QAE@XZ;code;hhsetup.dll;
??4CCollection@@QAEAAV0@ABV0@@Z;code;hhsetup.dll;
??4CFIFOString@@QAEAAV0@ABV0@@Z;code;hhsetup.dll;
??4CFolder@@QAEAAV0@ABV0@@Z;code;hhsetup.dll;
??4CLocation@@QAEAAV0@ABV0@@Z;code;hhsetup.dll;
??4CPointerList@@QAEAAV0@ABV0@@Z;code;hhsetup.dll;
??4CTitle@@QAEAAV0@ABV0@@Z;code;hhsetup.dll;
?Add@CPointerList@@QAEPAUListItem@@PAX@Z;code;hhsetup.dll;
?AddChildFolder@CFolder@@QAEKPAV1@@Z;code;hhsetup.dll;
?AddChildFolder@CFolder@@QAEPAV1@PBDKPAKG@Z;code;hhsetup.dll;
?AddChildFolder@CFolder@@QAEPAV1@PBGKPAKG@Z;code;hhsetup.dll;
?AddCollection@CCollection@@QAEPAVCColList@@XZ;code;hhsetup.dll;
?AddFolder@CCollection@@QAEPAVCFolder@@PBDKPAKG@Z;code;hhsetup.dll;
?AddFolder@CCollection@@QAEPAVCFolder@@PBGKPAKG@Z;code;hhsetup.dll;
?AddLocation@CCollection@@QAEPAVCLocation@@PBD000PAK@Z;code;hhsetup.dll;
?AddLocation@CCollection@@QAEPAVCLocation@@PBG000PAK@Z;code;hhsetup.dll;
?AddLocationHistory@CTitle@@QAEKKPBD00PBVCLocation@@00H@Z;code;hhsetup.dll;
?AddLocationHistory@CTitle@@QAEKKPBG00PBVCLocation@@00H@Z;code;hhsetup.dll;
?AddRef@CCollection@@QAEXXZ;code;hhsetup.dll;
?AddRefedTitle@CCollection@@AAEKPAVCFolder@@@Z;code;hhsetup.dll;
?AddTail@CFIFOString@@QAEKPAD@Z;code;hhsetup.dll;
?AddTitle@CCollection@@QAEPAVCTitle@@PBD0000GIPAVCLocation@@PAKH0@Z;code;hhsetup.dll;
?AddTitle@CCollection@@QAEPAVCTitle@@PBG0000GIPAVCLocation@@PAKH0@Z;code;hhsetup.dll;
?AllocCopyValue@CCollection@@AAEKPAVCParseXML@@PADPAPAD@Z;code;hhsetup.dll;
?AllocSetValue@@YGKPBDPAPAD@Z;code;hhsetup.dll;
?CheckTitleRef@CCollection@@AAEKPBDG@Z;code;hhsetup.dll;
?CheckTitleRef@CCollection@@AAEKPBGG@Z;code;hhsetup.dll;
?Close@CCollection@@QAEKXZ;code;hhsetup.dll;
?ConfirmTitles@CCollection@@QAEXXZ;code;hhsetup.dll;
?DecrementRefTitleCount@CCollection@@QAEXXZ;code;hhsetup.dll;
?DeleteChildren@CCollection@@AAEXPAPAVCFolder@@@Z;code;hhsetup.dll;
?DeleteFolder@CCollection@@QAEKPAVCFolder@@@Z;code;hhsetup.dll;
?DeleteFolders@CCollection@@AAEXPAPAVCFolder@@@Z;code;hhsetup.dll;
?DeleteLocalFiles@CCollection@@AAEXPAULocationHistory@@PAVCTitle@@@Z;code;hhsetup.dll;
?DeleteLocation@CCollection@@AAEKPAVCLocation@@@Z;code;hhsetup.dll;
?DeleteTitle@CCollection@@AAEKPAVCTitle@@@Z;code;hhsetup.dll;
?Dirty@CCollection@@QAEXXZ;code;hhsetup.dll;
?FindCollection@CCollection@@QAEPAVCColList@@PBD@Z;code;hhsetup.dll;
?FindLocation@CCollection@@QAEPAVCLocation@@PBDPAI@Z;code;hhsetup.dll;
?FindLocation@CCollection@@QAEPAVCLocation@@PBGPAI@Z;code;hhsetup.dll;
?FindTitle@CCollection@@QAEPAVCTitle@@PBDG@Z;code;hhsetup.dll;
?FindTitle@CCollection@@QAEPAVCTitle@@PBGG@Z;code;hhsetup.dll;
?First@CPointerList@@QAEPAUListItem@@XZ;code;hhsetup.dll;
?FirstLocation@CCollection@@QAEPAVCLocation@@XZ;code;hhsetup.dll;
?GetColNo@CCollection@@QAEKXZ;code;hhsetup.dll;
?GetCollectionFileName@CCollection@@QAEPBDXZ;code;hhsetup.dll;
?GetCollectionFileNameW@CCollection@@QAEPBGXZ;code;hhsetup.dll;
?GetFindMergedCHMS@CCollection@@QAEHXZ;code;hhsetup.dll;
?GetFirstChildFolder@CFolder@@QAEPAV1@XZ;code;hhsetup.dll;
?GetFirstTitle@CCollection@@QAEPAVCTitle@@XZ;code;hhsetup.dll;
?GetId@CLocation@@QBEPADXZ;code;hhsetup.dll;
?GetId@CTitle@@QAEPADXZ;code;hhsetup.dll;
?GetIdW@CLocation@@QAEPBGXZ;code;hhsetup.dll;
?GetIdW@CTitle@@QAEPBGXZ;code;hhsetup.dll;
?GetLangId@CCollection@@QAEGPBD@Z;code;hhsetup.dll;
?GetLangId@CCollection@@QAEGPBG@Z;code;hhsetup.dll;
?GetLanguage@CFolder@@QAEGXZ;code;hhsetup.dll;
?GetLanguage@CTitle@@QAEGXZ;code;hhsetup.dll;
?GetLocation@CTitle@@QAEPAULocationHistory@@K@Z;code;hhsetup.dll;
?GetMasterCHM@CCollection@@QAEHPAPADPAG@Z;code;hhsetup.dll;
?GetMasterCHM@CCollection@@QAEHPAPAGPAG@Z;code;hhsetup.dll;
?GetNextFolder@CFolder@@QAEPAV1@XZ;code;hhsetup.dll;
?GetNextLocation@CLocation@@QAEPAV1@XZ;code;hhsetup.dll;
?GetNextTitle@CTitle@@QAEPAV1@XZ;code;hhsetup.dll;
?GetOrder@CFolder@@QAEKXZ;code;hhsetup.dll;
?GetParent@CFolder@@QAEPAV1@XZ;code;hhsetup.dll;
?GetPath@CLocation@@QAEPADXZ;code;hhsetup.dll;
?GetPathW@CLocation@@QAEPBGXZ;code;hhsetup.dll;
?GetRefTitleCount@CCollection@@QAEKXZ;code;hhsetup.dll;
?GetRootFolder@CCollection@@QAEPAVCFolder@@XZ;code;hhsetup.dll;
?GetSampleLocation@CCollection@@QAEPADXZ;code;hhsetup.dll;
?GetSampleLocationW@CCollection@@QAEPBGXZ;code;hhsetup.dll;
?GetTail@CFIFOString@@QAEKPAPAD@Z;code;hhsetup.dll;
?GetTitle@CFolder@@QAEPADXZ;code;hhsetup.dll;
?GetTitle@CLocation@@QAEPADXZ;code;hhsetup.dll;
?GetTitleW@CFolder@@QAEPBGXZ;code;hhsetup.dll;
?GetTitleW@CLocation@@QAEPBGXZ;code;hhsetup.dll;
?GetVersion@CCollection@@QAEKXZ;code;hhsetup.dll;
?GetVisableRootFolder@CCollection@@QAEPAVCFolder@@XZ;code;hhsetup.dll;
?GetVolume@CLocation@@QAEPADXZ;code;hhsetup.dll;
