Name;Type;DLL;SymbolOrOrdinal
AdamFetchDemotionInfo;code;NTDSETUP.dll;_AdamFetchDemotionInfo@20
AdamGetCrossRefs;code;NTDSETUP.dll;_AdamGetCrossRefs@16
FreeDemotionInfo;code;NTDSETUP.dll;_FreeDemotionInfo@4
NtdsAdamValidateInst;code;NTDSETUP.dll;_NtdsAdamValidateInst@20
NtdsAdamValidateServiceAccount;code;NTDSETUP.dll;_NtdsAdamValidateServiceAccount@8
NtdsAdamVerifyBind;code;NTDSETUP.dll;_NtdsAdamVerifyBind@24
NtdsCheckMachineAccountFlags;code;NTDSETUP.dll;_NtdsCheckMachineAccountFlags@24
NtdsDemote;code;NTDSETUP.dll;_NtdsDemote@8
NtdsFreeDnsRRInfo;code;NTDSETUP.dll;_NtdsFreeDnsRRInfo@4
NtdsGetDefaultDnsName;code;NTDSETUP.dll;_NtdsGetDefaultDnsName@8
NtdsInstall;code;NTDSETUP.dll;_NtdsInstall@16
NtdsInstallCancel;code;NTDSETUP.dll;_NtdsInstallCancel@0
NtdsInstallReplicateFull;code;NTDSETUP.dll;_NtdsInstallReplicateFull@12
NtdsInstallShutdown;code;NTDSETUP.dll;_NtdsInstallShutdown@0
NtdsInstallUndo;code;NTDSETUP.dll;_NtdsInstallUndo@0
NtdsPrepareForDemotion;code;NTDSETUP.dll;_NtdsPrepareForDemotion@8
NtdsPrepareForDemotionUndo;code;NTDSETUP.dll;_NtdsPrepareForDemotionUndo@4
NtdsPrepareForDsUpgrade;code;NTDSETUP.dll;_NtdsPrepareForDsUpgrade@8
NtdsSetReplicaMachineAccount;code;NTDSETUP.dll;_NtdsSetReplicaMachineAccount@24
NtdspConfigRegistry;code;NTDSETUP.dll;_NtdspConfigRegistry@8
NtdspDNStoRFC1779Name;code;NTDSETUP.dll;_NtdspDNStoRFC1779Name@12
NtdspFindSite;code;NTDSETUP.dll;_NtdspFindSite@8
NtdspValidateInstallParameters;code;NTDSETUP.dll;_NtdspValidateInstallParameters@4
NtdspVerifyDsEnvironment;code;NTDSETUP.dll;_NtdspVerifyDsEnvironment@8
