Name;Type;DLL;SymbolOrOrdinal
TAPICLIENT_ClientInitialize;code;TSEC.dll;_TAPICLIENT_ClientInitialize@16
TAPICLIENT_ClientShutdown;code;TSEC.dll;_TAPICLIENT_ClientShutdown@4
TAPICLIENT_Free;code;TSEC.dll;_TAPICLIENT_Free@0
TAPICLIENT_GetDeviceAccess;code;TSEC.dll;_TAPICLIENT_GetDeviceAccess@24
TAPICLIENT_LineAddToConference;code;TSEC.dll;_TAPICLIENT_LineAddToConference@12
TAPICLIENT_LineBlindTransfer;code;TSEC.dll;_TAPICLIENT_LineBlindTransfer@20
TAPICLIENT_LineConfigDialog;code;TSEC.dll;_TAPICLIENT_LineConfigDialog@12
TAPICLIENT_LineDial;code;TSEC.dll;_TAPICLIENT_LineDial@24
TAPICLIENT_LineForward;code;TSEC.dll;_TAPICLIENT_LineForward@24
TAPICLIENT_LineGenerateDigits;code;TSEC.dll;_TAPICLIENT_LineGenerateDigits@16
TAPICLIENT_LineMakeCall;code;TSEC.dll;_TAPICLIENT_LineMakeCall@32
TAPICLIENT_LineOpen;code;TSEC.dll;_TAPICLIENT_LineOpen@32
TAPICLIENT_LineRedirect;code;TSEC.dll;_TAPICLIENT_LineRedirect@20
TAPICLIENT_LineSetCallData;code;TSEC.dll;_TAPICLIENT_LineSetCallData@16
TAPICLIENT_LineSetCallParams;code;TSEC.dll;_TAPICLIENT_LineSetCallParams@24
TAPICLIENT_LineSetCallPrivilege;code;TSEC.dll;_TAPICLIENT_LineSetCallPrivilege@12
TAPICLIENT_LineSetCallTreatment;code;TSEC.dll;_TAPICLIENT_LineSetCallTreatment@12
TAPICLIENT_LineSetCurrentLocation;code;TSEC.dll;_TAPICLIENT_LineSetCurrentLocation@12
TAPICLIENT_LineSetDevConfig;code;TSEC.dll;_TAPICLIENT_LineSetDevConfig@20
TAPICLIENT_LineSetLineDevStatus;code;TSEC.dll;_TAPICLIENT_LineSetLineDevStatus@16
TAPICLIENT_LineSetMediaControl;code;TSEC.dll;_TAPICLIENT_LineSetMediaControl@40
TAPICLIENT_LineSetMediaMode;code;TSEC.dll;_TAPICLIENT_LineSetMediaMode@12
TAPICLIENT_LineSetTerminal;code;TSEC.dll;_TAPICLIENT_LineSetTerminal@20
TAPICLIENT_LineSetTollList;code;TSEC.dll;_TAPICLIENT_LineSetTollList@16
TAPICLIENT_Load;code;TSEC.dll;_TAPICLIENT_Load@16
TAPICLIENT_PhoneConfigDialog;code;TSEC.dll;_TAPICLIENT_PhoneConfigDialog@12
TAPICLIENT_PhoneOpen;code;TSEC.dll;_TAPICLIENT_PhoneOpen@20
