Name;Type;DLL;SymbolOrOrdinal
CryptGetObjectUrl;code;CRYPTNET.dll;#CryptGetObjectUrl
CryptInstallCancelRetrieval;code;CRYPTNET.dll;#CryptInstallCancelRetrieval
CryptRetrieveObjectByUrlA;code;CRYPTNET.dll;#CryptRetrieveObjectByUrlA
CryptRetrieveObjectByUrlW;code;CRYPTNET.dll;#CryptRetrieveObjectByUrlW
CryptUninstallCancelRetrieval;code;CRYPTNET.dll;#CryptUninstallCancelRetrieval
CryptGetObjectUrl;code;CRYPTNET.dll;
CryptInstallCancelRetrieval;code;CRYPTNET.dll;
CryptRetrieveObjectByUrlA;code;CRYPTNET.dll;
CryptRetrieveObjectByUrlW;code;CRYPTNET.dll;
CryptUninstallCancelRetrieval;code;CRYPTNET.dll;
