Name;Type;DLL;SymbolOrOrdinal
#CheckDsPolicy;code;dsuiext.dll;575
#DsBrowseForContainerA;code;dsuiext.dll;9
#DsBrowseForContainerW;code;dsuiext.dll;10
#DsGetFriendlyClassName;code;dsuiext.dll;259
#DsGetIcon;code;dsuiext.dll;257
#FormatDirectoryName;code;dsuiext.dll;578
#FormatMsgBox;code;dsuiext.dll;571
#FormatMsgResource;code;dsuiext.dll;570
#GetArrayContents;code;dsuiext.dll;576
#GetDisplayNameFromADsPath;code;dsuiext.dll;574
#GetStringElementA;code;dsuiext.dll;562
#GetStringElementW;code;dsuiext.dll;563
#LocalAllocStringA;code;dsuiext.dll;520
#LocalAllocStringA2W;code;dsuiext.dll;544
#LocalAllocStringLenA;code;dsuiext.dll;521
#LocalAllocStringLenW;code;dsuiext.dll;541
#LocalAllocStringW;code;dsuiext.dll;540
#LocalAllocStringW2A;code;dsuiext.dll;524
#LocalFreeStringA;code;dsuiext.dll;522
#LocalFreeStringW;code;dsuiext.dll;542
#LocalQueryStringA;code;dsuiext.dll;523
#LocalQueryStringW;code;dsuiext.dll;543
#ObjectClassFromSearchColumn;code;dsuiext.dll;573
#PutStringElementA;code;dsuiext.dll;560
#PutStringElementW;code;dsuiext.dll;561
#ShowDirectoryUI;code;dsuiext.dll;577
#StringDPA_AppendStringA;code;dsuiext.dll;514
#StringDPA_AppendStringW;code;dsuiext.dll;515
#StringDPA_DeleteString;code;dsuiext.dll;516
#StringDPA_Destroy;code;dsuiext.dll;517
#StringDPA_InsertStringA;code;dsuiext.dll;512
#StringDPA_InsertStringW;code;dsuiext.dll;513
#StringFromSearchColumn;code;dsuiext.dll;572
CheckDsPolicy;code;dsuiext.dll;575
DsBrowseForContainerA;code;dsuiext.dll;9
DsBrowseForContainerW;code;dsuiext.dll;10
DsGetFriendlyClassName;code;dsuiext.dll;259
DsGetIcon;code;dsuiext.dll;257
FormatDirectoryName;code;dsuiext.dll;578
FormatMsgBox;code;dsuiext.dll;571
FormatMsgResource;code;dsuiext.dll;570
GetArrayContents;code;dsuiext.dll;576
GetDisplayNameFromADsPath;code;dsuiext.dll;574
GetStringElementA;code;dsuiext.dll;562
GetStringElementW;code;dsuiext.dll;563
LocalAllocStringA;code;dsuiext.dll;520
LocalAllocStringA2W;code;dsuiext.dll;544
LocalAllocStringLenA;code;dsuiext.dll;521
LocalAllocStringLenW;code;dsuiext.dll;541
LocalAllocStringW;code;dsuiext.dll;540
LocalAllocStringW2A;code;dsuiext.dll;524
LocalFreeStringA;code;dsuiext.dll;522
LocalFreeStringW;code;dsuiext.dll;542
LocalQueryStringA;code;dsuiext.dll;523
LocalQueryStringW;code;dsuiext.dll;543
ObjectClassFromSearchColumn;code;dsuiext.dll;573
PutStringElementA;code;dsuiext.dll;560
PutStringElementW;code;dsuiext.dll;561
ShowDirectoryUI;code;dsuiext.dll;577
StringDPA_AppendStringA;code;dsuiext.dll;514
StringDPA_AppendStringW;code;dsuiext.dll;515
StringDPA_DeleteString;code;dsuiext.dll;516
StringDPA_Destroy;code;dsuiext.dll;517
StringDPA_InsertStringA;code;dsuiext.dll;512
StringDPA_InsertStringW;code;dsuiext.dll;513
StringFromSearchColumn;code;dsuiext.dll;572
