Name;Type;DLL;SymbolOrOrdinal
AppendPropVariant;code;MF.dll;#AppendPropVariant
ConvertPropVariant;code;MF.dll;#ConvertPropVariant
CopyPropertyStore;code;MF.dll;#CopyPropertyStore
CreateNamedPropertyStore;code;MF.dll;#CreateNamedPropertyStore
ExtractPropVariant;code;MF.dll;#ExtractPropVariant
MFCreate3GPMediaSink;code;MF.dll;#MFCreate3GPMediaSink
MFCreateAC3MediaSink;code;MF.dll;#MFCreateAC3MediaSink
MFCreateADTSMediaSink;code;MF.dll;#MFCreateADTSMediaSink
MFCreateASFContentInfo;code;MF.dll;#MFCreateASFContentInfo
MFCreateASFIndexer;code;MF.dll;#MFCreateASFIndexer
MFCreateASFIndexerByteStream;code;MF.dll;#MFCreateASFIndexerByteStream
MFCreateASFMediaSink;code;MF.dll;#MFCreateASFMediaSink
MFCreateASFMediaSinkActivate;code;MF.dll;#MFCreateASFMediaSinkActivate
MFCreateASFMultiplexer;code;MF.dll;#MFCreateASFMultiplexer
MFCreateASFProfile;code;MF.dll;#MFCreateASFProfile
MFCreateASFProfileFromPresentationDescriptor;code;MF.dll;#MFCreateASFProfileFromPresentationDescriptor
MFCreateASFSplitter;code;MF.dll;#MFCreateASFSplitter
MFCreateASFStreamSelector;code;MF.dll;#MFCreateASFStreamSelector
MFCreateASFStreamingMediaSink;code;MF.dll;#MFCreateASFStreamingMediaSink
MFCreateASFStreamingMediaSinkActivate;code;MF.dll;#MFCreateASFStreamingMediaSinkActivate
MFCreateAggregateSource;code;MF.dll;#MFCreateAggregateSource
MFCreateAudioRenderer;code;MF.dll;#MFCreateAudioRenderer
MFCreateCredentialCache;code;MF.dll;#MFCreateCredentialCache
MFCreateDeviceSource;code;MF.dll;#MFCreateDeviceSource
MFCreateDeviceSourceActivate;code;MF.dll;#MFCreateDeviceSourceActivate
MFCreateDrmNetNDSchemePlugin;code;MF.dll;#MFCreateDrmNetNDSchemePlugin
MFCreateFMPEG4MediaSink;code;MF.dll;#MFCreateFMPEG4MediaSink
MFCreateHttpSchemePlugin;code;MF.dll;#MFCreateHttpSchemePlugin
MFCreateMP3MediaSink;code;MF.dll;#MFCreateMP3MediaSink
MFCreateMPEG4MediaSink;code;MF.dll;#MFCreateMPEG4MediaSink
MFCreateMediaSession;code;MF.dll;#MFCreateMediaSession
MFCreateMuxSink;code;MF.dll;#MFCreateMuxSink
MFCreateNetSchemePlugin;code;MF.dll;#MFCreateNetSchemePlugin
MFCreatePresentationDescriptorFromASFProfile;code;MF.dll;#MFCreatePresentationDescriptorFromASFProfile
MFCreateProtectedEnvironmentAccess;code;MF.dll;#MFCreateProtectedEnvironmentAccess
MFCreateProxyLocator;code;MF.dll;#MFCreateProxyLocator
MFCreateRemoteDesktopPlugin;code;MF.dll;#MFCreateRemoteDesktopPlugin
MFCreateSampleCopierMFT;code;MF.dll;#MFCreateSampleCopierMFT
MFCreateSampleGrabberSinkActivate;code;MF.dll;#MFCreateSampleGrabberSinkActivate
MFCreateSecureHttpSchemePlugin;code;MF.dll;#MFCreateSecureHttpSchemePlugin
MFCreateSequencerSegmentOffset;code;MF.dll;#MFCreateSequencerSegmentOffset
MFCreateSequencerSource;code;MF.dll;#MFCreateSequencerSource
MFCreateSequencerSourceRemoteStream;code;MF.dll;#MFCreateSequencerSourceRemoteStream
MFCreateSimpleTypeHandler;code;MF.dll;#MFCreateSimpleTypeHandler
MFCreateStandardQualityManager;code;MF.dll;#MFCreateStandardQualityManager
MFCreateUrlmonSchemePlugin;code;MF.dll;#MFCreateUrlmonSchemePlugin
MFCreateVideoRenderer;code;MF.dll;#MFCreateVideoRenderer
MFCreateVideoRendererActivate;code;MF.dll;#MFCreateVideoRendererActivate
MFEnumDeviceSources;code;MF.dll;#MFEnumDeviceSources
MFGetLocalId;code;MF.dll;#MFGetLocalId
MFGetMultipleServiceProviders;code;MF.dll;#MFGetMultipleServiceProviders
MFGetService;code;MF.dll;#MFGetService
MFGetSystemId;code;MF.dll;#MFGetSystemId
MFLoadSignedLibrary;code;MF.dll;#MFLoadSignedLibrary
MFRequireProtectedEnvironment;code;MF.dll;#MFRequireProtectedEnvironment
MFShutdownObject;code;MF.dll;#MFShutdownObject
MergePropertyStore;code;MF.dll;#MergePropertyStore
MFCreateAppSourceProxy;code;MF.dll;MFCreateAppSourceProxy
MFCreateAudioRendererActivate;code;MF.dll;MFCreateAudioRendererActivate
MFCreateEncryptedMediaExtensionsStoreActivate;code;MF.dll;MFCreateEncryptedMediaExtensionsStoreActivate
MFCreateMediaProcessor;code;MF.dll;MFCreateMediaProcessor
MFCreatePMPHost;code;MF.dll;MFCreatePMPHost
MFCreatePMPMediaSession;code;MF.dll;MFCreatePMPMediaSession
MFCreatePMPServer;code;MF.dll;MFCreatePMPServer
MFCreatePresentationClock;code;MF.dll;MFCreatePresentationClock
MFCreateTopoLoader;code;MF.dll;MFCreateTopoLoader
MFCreateTopology;code;MF.dll;MFCreateTopology
MFCreateTopologyNode;code;MF.dll;MFCreateTopologyNode
MFCreateTranscodeProfile;code;MF.dll;MFCreateTranscodeProfile
MFCreateTranscodeSinkActivate;code;MF.dll;MFCreateTranscodeSinkActivate
MFCreateTranscodeTopology;code;MF.dll;MFCreateTranscodeTopology
MFCreateTranscodeTopologyFromByteStream;code;MF.dll;MFCreateTranscodeTopologyFromByteStream
MFCreateWMAEncoderActivate;code;MF.dll;MFCreateWMAEncoderActivate
MFCreateWMVEncoderActivate;code;MF.dll;MFCreateWMVEncoderActivate
MFGetTopoNodeCurrentType;code;MF.dll;MFGetTopoNodeCurrentType
MFTranscodeGetAudioOutputAvailableTypes;code;MF.dll;MFTranscodeGetAudioOutputAvailableTypes
AppendPropVariant;code;MF.dll;
ConvertPropVariant;code;MF.dll;
CopyPropertyStore;code;MF.dll;
CreateNamedPropertyStore;code;MF.dll;
ExtractPropVariant;code;MF.dll;
MFCreate3GPMediaSink;code;MF.dll;
MFCreateAC3MediaSink;code;MF.dll;
MFCreateADTSMediaSink;code;MF.dll;
MFCreateASFContentInfo;code;MF.dll;
MFCreateASFIndexer;code;MF.dll;
MFCreateASFIndexerByteStream;code;MF.dll;
MFCreateASFMediaSink;code;MF.dll;
MFCreateASFMediaSinkActivate;code;MF.dll;
MFCreateASFMultiplexer;code;MF.dll;
MFCreateASFProfile;code;MF.dll;
MFCreateASFProfileFromPresentationDescriptor;code;MF.dll;
MFCreateASFSplitter;code;MF.dll;
MFCreateASFStreamSelector;code;MF.dll;
MFCreateASFStreamingMediaSink;code;MF.dll;
MFCreateASFStreamingMediaSinkActivate;code;MF.dll;
MFCreateAggregateSource;code;MF.dll;
MFCreateAppSourceProxy;code;MF.dll;
MFCreateAudioRenderer;code;MF.dll;
MFCreateAudioRendererActivate;code;MF.dll;
MFCreateCredentialCache;code;MF.dll;
MFCreateDeviceSource;code;MF.dll;
MFCreateDeviceSourceActivate;code;MF.dll;
MFCreateDrmNetNDSchemePlugin;code;MF.dll;
MFCreateEncryptedMediaExtensionsStoreActivate;code;MF.dll;
MFCreateFMPEG4MediaSink;code;MF.dll;
MFCreateHttpSchemePlugin;code;MF.dll;
MFCreateMP3MediaSink;code;MF.dll;
MFCreateMPEG4MediaSink;code;MF.dll;
MFCreateMediaProcessor;code;MF.dll;
MFCreateMediaSession;code;MF.dll;
MFCreateMuxSink;code;MF.dll;
MFCreateNetSchemePlugin;code;MF.dll;
MFCreatePMPHost;code;MF.dll;
MFCreatePMPMediaSession;code;MF.dll;
MFCreatePMPServer;code;MF.dll;
MFCreatePresentationClock;code;MF.dll;
MFCreatePresentationDescriptorFromASFProfile;code;MF.dll;
MFCreateProtectedEnvironmentAccess;code;MF.dll;
MFCreateProxyLocator;code;MF.dll;
MFCreateRemoteDesktopPlugin;code;MF.dll;
MFCreateSampleCopierMFT;code;MF.dll;
MFCreateSampleGrabberSinkActivate;code;MF.dll;
MFCreateSecureHttpSchemePlugin;code;MF.dll;
MFCreateSequencerSegmentOffset;code;MF.dll;
MFCreateSequencerSource;code;MF.dll;
MFCreateSequencerSourceRemoteStream;code;MF.dll;
MFCreateSimpleTypeHandler;code;MF.dll;
MFCreateStandardQualityManager;code;MF.dll;
MFCreateTopoLoader;code;MF.dll;
MFCreateTopology;code;MF.dll;
MFCreateTopologyNode;code;MF.dll;
MFCreateTranscodeProfile;code;MF.dll;
MFCreateTranscodeSinkActivate;code;MF.dll;
MFCreateTranscodeTopology;code;MF.dll;
MFCreateTranscodeTopologyFromByteStream;code;MF.dll;
MFCreateUrlmonSchemePlugin;code;MF.dll;
MFCreateVideoRenderer;code;MF.dll;
MFCreateVideoRendererActivate;code;MF.dll;
MFCreateWMAEncoderActivate;code;MF.dll;
MFCreateWMVEncoderActivate;code;MF.dll;
MFEnumDeviceSources;code;MF.dll;
MFGetLocalId;code;MF.dll;
MFGetMultipleServiceProviders;code;MF.dll;
MFGetService;code;MF.dll;
MFGetSystemId;code;MF.dll;
MFGetTopoNodeCurrentType;code;MF.dll;
MFLoadSignedLibrary;code;MF.dll;
MFRequireProtectedEnvironment;code;MF.dll;
MFShutdownObject;code;MF.dll;
MFTranscodeGetAudioOutputAvailableTypes;code;MF.dll;
MergePropertyStore;code;MF.dll;
