Name;Type;DLL;SymbolOrOrdinal
MultinetGetConnectionPerformanceA;code;MPR.dll;#MultinetGetConnectionPerformanceA
MultinetGetConnectionPerformanceW;code;MPR.dll;#MultinetGetConnectionPerformanceW
WNetAddConnection2A;code;MPR.dll;#WNetAddConnection2A
WNetAddConnection2W;code;MPR.dll;#WNetAddConnection2W
WNetAddConnection3A;code;MPR.dll;#WNetAddConnection3A
WNetAddConnection3W;code;MPR.dll;#WNetAddConnection3W
WNetAddConnection4A;code;MPR.dll;#WNetAddConnection4A
WNetAddConnection4W;code;MPR.dll;#WNetAddConnection4W
WNetAddConnectionA;code;MPR.dll;#WNetAddConnectionA
WNetAddConnectionW;code;MPR.dll;#WNetAddConnectionW
WNetCancelConnection2A;code;MPR.dll;#WNetCancelConnection2A
WNetCancelConnection2W;code;MPR.dll;#WNetCancelConnection2W
WNetCancelConnectionA;code;MPR.dll;#WNetCancelConnectionA
WNetCancelConnectionW;code;MPR.dll;#WNetCancelConnectionW
WNetCloseEnum;code;MPR.dll;#WNetCloseEnum
WNetConnectionDialog;code;MPR.dll;#WNetConnectionDialog
WNetConnectionDialog1A;code;MPR.dll;#WNetConnectionDialog1A
WNetConnectionDialog1W;code;MPR.dll;#WNetConnectionDialog1W
WNetDisconnectDialog;code;MPR.dll;#WNetDisconnectDialog
WNetDisconnectDialog1A;code;MPR.dll;#WNetDisconnectDialog1A
WNetDisconnectDialog1W;code;MPR.dll;#WNetDisconnectDialog1W
WNetEnumResourceA;code;MPR.dll;#WNetEnumResourceA
WNetEnumResourceW;code;MPR.dll;#WNetEnumResourceW
WNetGetConnectionA;code;MPR.dll;#WNetGetConnectionA
WNetGetConnectionW;code;MPR.dll;#WNetGetConnectionW
WNetGetLastErrorA;code;MPR.dll;#WNetGetLastErrorA
WNetGetLastErrorW;code;MPR.dll;#WNetGetLastErrorW
WNetGetNetworkInformationA;code;MPR.dll;#WNetGetNetworkInformationA
WNetGetNetworkInformationW;code;MPR.dll;#WNetGetNetworkInformationW
WNetGetProviderNameA;code;MPR.dll;#WNetGetProviderNameA
WNetGetProviderNameW;code;MPR.dll;#WNetGetProviderNameW
WNetGetResourceInformationA;code;MPR.dll;#WNetGetResourceInformationA
WNetGetResourceInformationW;code;MPR.dll;#WNetGetResourceInformationW
WNetGetResourceParentA;code;MPR.dll;#WNetGetResourceParentA
WNetGetResourceParentW;code;MPR.dll;#WNetGetResourceParentW
WNetGetUniversalNameA;code;MPR.dll;#WNetGetUniversalNameA
WNetGetUniversalNameW;code;MPR.dll;#WNetGetUniversalNameW
WNetGetUserA;code;MPR.dll;#WNetGetUserA
WNetGetUserW;code;MPR.dll;#WNetGetUserW
WNetOpenEnumA;code;MPR.dll;#WNetOpenEnumA
WNetOpenEnumW;code;MPR.dll;#WNetOpenEnumW
WNetSetLastErrorA;code;MPR.dll;#WNetSetLastErrorA
WNetSetLastErrorW;code;MPR.dll;#WNetSetLastErrorW
WNetUseConnection4A;code;MPR.dll;#WNetUseConnection4A
WNetUseConnection4W;code;MPR.dll;#WNetUseConnection4W
WNetUseConnectionA;code;MPR.dll;#WNetUseConnectionA
WNetUseConnectionW;code;MPR.dll;#WNetUseConnectionW
MultinetGetConnectionPerformanceA;code;MPR.dll;
MultinetGetConnectionPerformanceW;code;MPR.dll;
WNetAddConnection2A;code;MPR.dll;
WNetAddConnection2W;code;MPR.dll;
WNetAddConnection3A;code;MPR.dll;
WNetAddConnection3W;code;MPR.dll;
WNetAddConnection4A;code;MPR.dll;
WNetAddConnection4W;code;MPR.dll;
WNetAddConnectionA;code;MPR.dll;
WNetAddConnectionW;code;MPR.dll;
WNetCancelConnection2A;code;MPR.dll;
WNetCancelConnection2W;code;MPR.dll;
WNetCancelConnectionA;code;MPR.dll;
WNetCancelConnectionW;code;MPR.dll;
WNetCloseEnum;code;MPR.dll;
WNetConnectionDialog;code;MPR.dll;
WNetConnectionDialog1A;code;MPR.dll;
WNetConnectionDialog1W;code;MPR.dll;
WNetDisconnectDialog;code;MPR.dll;
WNetDisconnectDialog1A;code;MPR.dll;
WNetDisconnectDialog1W;code;MPR.dll;
WNetEnumResourceA;code;MPR.dll;
WNetEnumResourceW;code;MPR.dll;
WNetGetConnectionA;code;MPR.dll;
WNetGetConnectionW;code;MPR.dll;
WNetGetLastErrorA;code;MPR.dll;
WNetGetLastErrorW;code;MPR.dll;
WNetGetNetworkInformationA;code;MPR.dll;
WNetGetNetworkInformationW;code;MPR.dll;
WNetGetProviderNameA;code;MPR.dll;
WNetGetProviderNameW;code;MPR.dll;
WNetGetResourceInformationA;code;MPR.dll;
WNetGetResourceInformationW;code;MPR.dll;
WNetGetResourceParentA;code;MPR.dll;
WNetGetResourceParentW;code;MPR.dll;
WNetGetUniversalNameA;code;MPR.dll;
WNetGetUniversalNameW;code;MPR.dll;
WNetGetUserA;code;MPR.dll;
WNetGetUserW;code;MPR.dll;
WNetOpenEnumA;code;MPR.dll;
WNetOpenEnumW;code;MPR.dll;
WNetSetLastErrorA;code;MPR.dll;
WNetSetLastErrorW;code;MPR.dll;
WNetUseConnection4A;code;MPR.dll;
WNetUseConnection4W;code;MPR.dll;
WNetUseConnectionA;code;MPR.dll;
WNetUseConnectionW;code;MPR.dll;
