Name;Type;DLL;SymbolOrOrdinal
CompressPhoneNumber;code;MPRAPI.dll;#CompressPhoneNumber
MprAdminAddRoutingDomain;code;MPRAPI.dll;#MprAdminAddRoutingDomain
MprAdminBufferFree;code;MPRAPI.dll;#MprAdminBufferFree
MprAdminConnectionClearStats;code;MPRAPI.dll;#MprAdminConnectionClearStats
MprAdminConnectionEnum;code;MPRAPI.dll;#MprAdminConnectionEnum
MprAdminConnectionEnumEx;code;MPRAPI.dll;#MprAdminConnectionEnumEx
MprAdminConnectionGetInfo;code;MPRAPI.dll;#MprAdminConnectionGetInfo
MprAdminConnectionGetInfoEx;code;MPRAPI.dll;#MprAdminConnectionGetInfoEx
MprAdminConnectionRemoveQuarantine;code;MPRAPI.dll;#MprAdminConnectionRemoveQuarantine
MprAdminDeleteRoutingDomain;code;MPRAPI.dll;#MprAdminDeleteRoutingDomain
MprAdminDeregisterConnectionNotification;code;MPRAPI.dll;#MprAdminDeregisterConnectionNotification
MprAdminDeviceEnum;code;MPRAPI.dll;#MprAdminDeviceEnum
MprAdminEstablishDomainRasServer;code;MPRAPI.dll;#MprAdminEstablishDomainRasServer
MprAdminFreeRoutingDomainConfigEx;code;MPRAPI.dll;#MprAdminFreeRoutingDomainConfigEx
MprAdminGetErrorString;code;MPRAPI.dll;#MprAdminGetErrorString
MprAdminGetPDCServer;code;MPRAPI.dll;#MprAdminGetPDCServer
MprAdminGetProtocolStatistics;code;MPRAPI.dll;#MprAdminGetProtocolStatistics
MprAdminGetRoutingDomainId;code;MPRAPI.dll;#MprAdminGetRoutingDomainId
MprAdminInterfaceAddIkev2Policy;code;MPRAPI.dll;#MprAdminInterfaceAddIkev2Policy
MprAdminInterfaceClearStatisticsEx;code;MPRAPI.dll;#MprAdminInterfaceClearStatisticsEx
MprAdminInterfaceConnect;code;MPRAPI.dll;#MprAdminInterfaceConnect
MprAdminInterfaceCreate;code;MPRAPI.dll;#MprAdminInterfaceCreate
MprAdminInterfaceCreateEx;code;MPRAPI.dll;#MprAdminInterfaceCreateEx
MprAdminInterfaceDelete;code;MPRAPI.dll;#MprAdminInterfaceDelete
MprAdminInterfaceDeviceGetInfo;code;MPRAPI.dll;#MprAdminInterfaceDeviceGetInfo
MprAdminInterfaceDeviceSetInfo;code;MPRAPI.dll;#MprAdminInterfaceDeviceSetInfo
MprAdminInterfaceDisconnect;code;MPRAPI.dll;#MprAdminInterfaceDisconnect
MprAdminInterfaceEnum;code;MPRAPI.dll;#MprAdminInterfaceEnum
MprAdminInterfaceEnumEx;code;MPRAPI.dll;#MprAdminInterfaceEnumEx
MprAdminInterfaceGetCredentials;code;MPRAPI.dll;#MprAdminInterfaceGetCredentials
MprAdminInterfaceGetCredentialsEx;code;MPRAPI.dll;#MprAdminInterfaceGetCredentialsEx
MprAdminInterfaceGetCustomInfoEx;code;MPRAPI.dll;#MprAdminInterfaceGetCustomInfoEx
MprAdminInterfaceGetHandle;code;MPRAPI.dll;#MprAdminInterfaceGetHandle
MprAdminInterfaceGetInfo;code;MPRAPI.dll;#MprAdminInterfaceGetInfo
