Name;Type;DLL;SymbolOrOrdinal
DsAddCloneDCW;code;NTDSAPI.dll;#DsAddCloneDCW
DsAddSidHistoryA;code;NTDSAPI.dll;#DsAddSidHistoryA
DsAddSidHistoryW;code;NTDSAPI.dll;#DsAddSidHistoryW
DsBindA;code;NTDSAPI.dll;#DsBindA
DsBindByInstanceA;code;NTDSAPI.dll;#DsBindByInstanceA
DsBindByInstanceW;code;NTDSAPI.dll;#DsBindByInstanceW
DsBindToISTGA;code;NTDSAPI.dll;#DsBindToISTGA
DsBindToISTGW;code;NTDSAPI.dll;#DsBindToISTGW
DsBindW;code;NTDSAPI.dll;#DsBindW
DsBindWithCredA;code;NTDSAPI.dll;#DsBindWithCredA
DsBindWithCredW;code;NTDSAPI.dll;#DsBindWithCredW
DsBindWithSpnA;code;NTDSAPI.dll;#DsBindWithSpnA
DsBindWithSpnExA;code;NTDSAPI.dll;#DsBindWithSpnExA
DsBindWithSpnExW;code;NTDSAPI.dll;#DsBindWithSpnExW
DsBindWithSpnW;code;NTDSAPI.dll;#DsBindWithSpnW
DsBindingSetTimeout;code;NTDSAPI.dll;#DsBindingSetTimeout
DsClientMakeSpnForTargetServerA;code;NTDSAPI.dll;#DsClientMakeSpnForTargetServerA
DsClientMakeSpnForTargetServerW;code;NTDSAPI.dll;#DsClientMakeSpnForTargetServerW
DsCrackNamesA;code;NTDSAPI.dll;#DsCrackNamesA
DsCrackNamesW;code;NTDSAPI.dll;#DsCrackNamesW
DsFinishDemotionW;code;NTDSAPI.dll;#DsFinishDemotionW
DsFreeCloneDcResult;code;NTDSAPI.dll;#DsFreeCloneDcResult
DsFreeDomainControllerInfoA;code;NTDSAPI.dll;#DsFreeDomainControllerInfoA
DsFreeDomainControllerInfoW;code;NTDSAPI.dll;#DsFreeDomainControllerInfoW
DsFreeNameResultA;code;NTDSAPI.dll;#DsFreeNameResultA
DsFreeNameResultW;code;NTDSAPI.dll;#DsFreeNameResultW
DsFreeNgcKey;code;NTDSAPI.dll;#DsFreeNgcKey
DsFreePasswordCredentials;code;NTDSAPI.dll;#DsFreePasswordCredentials
DsFreeSchemaGuidMapA;code;NTDSAPI.dll;#DsFreeSchemaGuidMapA
DsFreeSchemaGuidMapW;code;NTDSAPI.dll;#DsFreeSchemaGuidMapW
DsFreeSpnArrayA;code;NTDSAPI.dll;#DsFreeSpnArrayA
DsFreeSpnArrayW;code;NTDSAPI.dll;#DsFreeSpnArrayW
DsGetBindAddrW;code;NTDSAPI.dll;#DsGetBindAddrW
DsGetBindAnnotW;code;NTDSAPI.dll;#DsGetBindAnnotW
DsGetBindInstGuid;code;NTDSAPI.dll;#DsGetBindInstGuid
DsGetDomainControllerInfoA;code;NTDSAPI.dll;#DsGetDomainControllerInfoA
DsGetDomainControllerInfoW;code;NTDSAPI.dll;#DsGetDomainControllerInfoW
DsGetSpnA;code;NTDSAPI.dll;#DsGetSpnA
DsGetSpnW;code;NTDSAPI.dll;#DsGetSpnW
DsInheritSecurityIdentityA;code;NTDSAPI.dll;#DsInheritSecurityIdentityA
DsInheritSecurityIdentityW;code;NTDSAPI.dll;#DsInheritSecurityIdentityW
DsInitDemotionW;code;NTDSAPI.dll;#DsInitDemotionW
DsListDomainsInSiteA;code;NTDSAPI.dll;#DsListDomainsInSiteA
DsListDomainsInSiteW;code;NTDSAPI.dll;#DsListDomainsInSiteW
