Name;Type;DLL;SymbolOrOrdinal
GlmfBeginGlsBlock;code;OPENGL32.dll;#GlmfBeginGlsBlock
GlmfCloseMetaFile;code;OPENGL32.dll;#GlmfCloseMetaFile
GlmfEndGlsBlock;code;OPENGL32.dll;#GlmfEndGlsBlock
GlmfEndPlayback;code;OPENGL32.dll;#GlmfEndPlayback
GlmfInitPlayback;code;OPENGL32.dll;#GlmfInitPlayback
GlmfPlayGlsRecord;code;OPENGL32.dll;#GlmfPlayGlsRecord
glAccum;code;OPENGL32.dll;#glAccum
glAlphaFunc;code;OPENGL32.dll;#glAlphaFunc
glAreTexturesResident;code;OPENGL32.dll;#glAreTexturesResident
glArrayElement;code;OPENGL32.dll;#glArrayElement
glBegin;code;OPENGL32.dll;#glBegin
glBindTexture;code;OPENGL32.dll;#glBindTexture
glBitmap;code;OPENGL32.dll;#glBitmap
glBlendFunc;code;OPENGL32.dll;#glBlendFunc
glCallList;code;OPENGL32.dll;#glCallList
glCallLists;code;OPENGL32.dll;#glCallLists
glClear;code;OPENGL32.dll;#glClear
glClearAccum;code;OPENGL32.dll;#glClearAccum
glClearColor;code;OPENGL32.dll;#glClearColor
glClearDepth;code;OPENGL32.dll;#glClearDepth
glClearIndex;code;OPENGL32.dll;#glClearIndex
glClearStencil;code;OPENGL32.dll;#glClearStencil
glClipPlane;code;OPENGL32.dll;#glClipPlane
glColor3b;code;OPENGL32.dll;#glColor3b
glColor3bv;code;OPENGL32.dll;#glColor3bv
glColor3d;code;OPENGL32.dll;#glColor3d
glColor3dv;code;OPENGL32.dll;#glColor3dv
glColor3f;code;OPENGL32.dll;#glColor3f
glColor3fv;code;OPENGL32.dll;#glColor3fv
glColor3i;code;OPENGL32.dll;#glColor3i
glColor3iv;code;OPENGL32.dll;#glColor3iv
glColor3s;code;OPENGL32.dll;#glColor3s
glColor3sv;code;OPENGL32.dll;#glColor3sv
glColor3ub;code;OPENGL32.dll;#glColor3ub
glColor3ubv;code;OPENGL32.dll;#glColor3ubv
glColor3ui;code;OPENGL32.dll;#glColor3ui
glColor3uiv;code;OPENGL32.dll;#glColor3uiv
glColor3us;code;OPENGL32.dll;#glColor3us
glColor3usv;code;OPENGL32.dll;#glColor3usv
glColor4b;code;OPENGL32.dll;#glColor4b
glColor4bv;code;OPENGL32.dll;#glColor4bv
glColor4d;code;OPENGL32.dll;#glColor4d
glColor4dv;code;OPENGL32.dll;#glColor4dv
glColor4f;code;OPENGL32.dll;#glColor4f
glColor4fv;code;OPENGL32.dll;#glColor4fv
glColor4i;code;OPENGL32.dll;#glColor4i
glColor4iv;code;OPENGL32.dll;#glColor4iv
glColor4s;code;OPENGL32.dll;#glColor4s
glColor4sv;code;OPENGL32.dll;#glColor4sv
glColor4ub;code;OPENGL32.dll;#glColor4ub
glColor4ubv;code;OPENGL32.dll;#glColor4ubv
glColor4ui;code;OPENGL32.dll;#glColor4ui
glColor4uiv;code;OPENGL32.dll;#glColor4uiv
glColor4us;code;OPENGL32.dll;#glColor4us
glColor4usv;code;OPENGL32.dll;#glColor4usv
glColorMask;code;OPENGL32.dll;#glColorMask
glColorMaterial;code;OPENGL32.dll;#glColorMaterial
glColorPointer;code;OPENGL32.dll;#glColorPointer
glCopyPixels;code;OPENGL32.dll;#glCopyPixels
glCopyTexImage1D;code;OPENGL32.dll;#glCopyTexImage1D
glCopyTexImage2D;code;OPENGL32.dll;#glCopyTexImage2D
glCopyTexSubImage1D;code;OPENGL32.dll;#glCopyTexSubImage1D
glCopyTexSubImage2D;code;OPENGL32.dll;#glCopyTexSubImage2D
glCullFace;code;OPENGL32.dll;#glCullFace
glDebugEntry;code;OPENGL32.dll;#glDebugEntry
glDeleteLists;code;OPENGL32.dll;#glDeleteLists
glDeleteTextures;code;OPENGL32.dll;#glDeleteTextures
glDepthFunc;code;OPENGL32.dll;#glDepthFunc
glDepthMask;code;OPENGL32.dll;#glDepthMask
glDepthRange;code;OPENGL32.dll;#glDepthRange
glDisable;code;OPENGL32.dll;#glDisable
glDisableClientState;code;OPENGL32.dll;#glDisableClientState
glDrawArrays;code;OPENGL32.dll;#glDrawArrays
glDrawBuffer;code;OPENGL32.dll;#glDrawBuffer
glDrawElements;code;OPENGL32.dll;#glDrawElements
glDrawPixels;code;OPENGL32.dll;#glDrawPixels
glEdgeFlag;code;OPENGL32.dll;#glEdgeFlag
glEdgeFlagPointer;code;OPENGL32.dll;#glEdgeFlagPointer
glEdgeFlagv;code;OPENGL32.dll;#glEdgeFlagv
glEnable;code;OPENGL32.dll;#glEnable
glEnableClientState;code;OPENGL32.dll;#glEnableClientState
glEnd;code;OPENGL32.dll;#glEnd
glEndList;code;OPENGL32.dll;#glEndList
glEvalCoord1d;code;OPENGL32.dll;#glEvalCoord1d
glEvalCoord1dv;code;OPENGL32.dll;#glEvalCoord1dv
glEvalCoord1f;code;OPENGL32.dll;#glEvalCoord1f
glEvalCoord1fv;code;OPENGL32.dll;#glEvalCoord1fv
glEvalCoord2d;code;OPENGL32.dll;#glEvalCoord2d
glEvalCoord2dv;code;OPENGL32.dll;#glEvalCoord2dv
glEvalCoord2f;code;OPENGL32.dll;#glEvalCoord2f
glEvalCoord2fv;code;OPENGL32.dll;#glEvalCoord2fv
glEvalMesh1;code;OPENGL32.dll;#glEvalMesh1
glEvalMesh2;code;OPENGL32.dll;#glEvalMesh2
glEvalPoint1;code;OPENGL32.dll;#glEvalPoint1
glEvalPoint2;code;OPENGL32.dll;#glEvalPoint2
glFeedbackBuffer;code;OPENGL32.dll;#glFeedbackBuffer
glFinish;code;OPENGL32.dll;#glFinish
glFlush;code;OPENGL32.dll;#glFlush
glFogf;code;OPENGL32.dll;#glFogf
glFogfv;code;OPENGL32.dll;#glFogfv
glFogi;code;OPENGL32.dll;#glFogi
glFogiv;code;OPENGL32.dll;#glFogiv
glFrontFace;code;OPENGL32.dll;#glFrontFace
glFrustum;code;OPENGL32.dll;#glFrustum
glGenLists;code;OPENGL32.dll;#glGenLists
glGenTextures;code;OPENGL32.dll;#glGenTextures
glGetBooleanv;code;OPENGL32.dll;#glGetBooleanv
glGetClipPlane;code;OPENGL32.dll;#glGetClipPlane
glGetDoublev;code;OPENGL32.dll;#glGetDoublev
glGetError;code;OPENGL32.dll;#glGetError
glGetFloatv;code;OPENGL32.dll;#glGetFloatv
