Name;Type;DLL;SymbolOrOrdinal
ClosePackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#ClosePackageInfo
GetApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetApplicationUserModelId
GetCurrentApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetCurrentApplicationUserModelId
GetCurrentPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetCurrentPackageFamilyName
GetCurrentPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetCurrentPackageFullName
GetCurrentPackageId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetCurrentPackageId
GetCurrentPackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetCurrentPackageInfo
GetCurrentPackagePath;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetCurrentPackagePath
GetPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetPackageFamilyName
GetPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetPackageFullName
GetPackageId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetPackageId
GetPackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetPackageInfo
GetPackagePath;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetPackagePath
GetPackagesByPackageFamily;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#GetPackagesByPackageFamily
OpenPackageInfoByFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#OpenPackageInfoByFullName
PackageFamilyNameFromFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#PackageFamilyNameFromFullName
PackageFamilyNameFromId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#PackageFamilyNameFromId
PackageFullNameFromId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#PackageFullNameFromId
PackageIdFromFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#PackageIdFromFullName
PackageNameAndPublisherIdFromFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;#PackageNameAndPublisherIdFromFamilyName
ClosePackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetCurrentPackagePath;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackageInfo;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackagePath;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
GetPackagesByPackageFamily;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
OpenPackageInfoByFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageFamilyNameFromFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageFamilyNameFromId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageFullNameFromId;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageIdFromFullName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
PackageNameAndPublisherIdFromFamilyName;code;api-ms-win-appmodel-runtime-l1-1-0.dll;
FindPackagesByPackageFamily;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#FindPackagesByPackageFamily
FormatApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#FormatApplicationUserModelId
GetApplicationUserModelIdFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#GetApplicationUserModelIdFromToken
GetPackageApplicationIds;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#GetPackageApplicationIds
GetPackageFamilyNameFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#GetPackageFamilyNameFromToken
GetPackageFullNameFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#GetPackageFullNameFromToken
GetPackagePathByFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#GetPackagePathByFullName
GetStagedPackagePathByFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#GetStagedPackagePathByFullName
OpenPackageInfoByFullNameForUser;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#OpenPackageInfoByFullNameForUser
ParseApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#ParseApplicationUserModelId
VerifyApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#VerifyApplicationUserModelId
VerifyPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#VerifyPackageFamilyName
VerifyPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#VerifyPackageFullName
VerifyPackageId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#VerifyPackageId
VerifyPackageRelativeApplicationId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;#VerifyPackageRelativeApplicationId
FindPackagesByPackageFamily;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
FormatApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetApplicationUserModelIdFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackageApplicationIds;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackageFamilyNameFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackageFullNameFromToken;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetPackagePathByFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
GetStagedPackagePathByFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
OpenPackageInfoByFullNameForUser;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
ParseApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
VerifyApplicationUserModelId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
VerifyPackageFamilyName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
VerifyPackageFullName;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
VerifyPackageId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
VerifyPackageRelativeApplicationId;code;api-ms-win-appmodel-runtime-l1-1-1.dll;
AppPolicyGetClrCompat;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetClrCompat
AppPolicyGetCreateFileAccess;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetCreateFileAccess
AppPolicyGetLifecycleManagement;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetLifecycleManagement
AppPolicyGetMediaFoundationCodecLoading;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetMediaFoundationCodecLoading
AppPolicyGetProcessTerminationMethod;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetProcessTerminationMethod
AppPolicyGetShowDeveloperDiagnostic;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetShowDeveloperDiagnostic
AppPolicyGetThreadInitializationType;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetThreadInitializationType
AppPolicyGetWindowingModel;code;api-ms-win-appmodel-runtime-l1-1-2.dll;#AppPolicyGetWindowingModel
AppPolicyGetClrCompat;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
AppPolicyGetCreateFileAccess;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
AppPolicyGetLifecycleManagement;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
AppPolicyGetMediaFoundationCodecLoading;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
AppPolicyGetProcessTerminationMethod;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
AppPolicyGetShowDeveloperDiagnostic;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
AppPolicyGetThreadInitializationType;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
AppPolicyGetWindowingModel;code;api-ms-win-appmodel-runtime-l1-1-2.dll;
GetCurrentPackageInfo2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;#GetCurrentPackageInfo2
GetCurrentPackagePath2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;#GetCurrentPackagePath2
GetPackageInfo2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;#GetPackageInfo2
GetPackagePathByFullName2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;#GetPackagePathByFullName2
GetStagedPackagePathByFullName2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;#GetStagedPackagePathByFullName2
GetCurrentPackageInfo2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;
GetCurrentPackagePath2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;
GetPackageInfo2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;
GetPackagePathByFullName2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;
GetStagedPackagePathByFullName2;code;api-ms-win-appmodel-runtime-l1-1-3.dll;
AddAtomA;code;api-ms-win-core-atoms-l1-1-0.dll;#AddAtomA
AddAtomW;code;api-ms-win-core-atoms-l1-1-0.dll;#AddAtomW
DeleteAtom;code;api-ms-win-core-atoms-l1-1-0.dll;#DeleteAtom
FindAtomA;code;api-ms-win-core-atoms-l1-1-0.dll;#FindAtomA
FindAtomW;code;api-ms-win-core-atoms-l1-1-0.dll;#FindAtomW
GetAtomNameA;code;api-ms-win-core-atoms-l1-1-0.dll;#GetAtomNameA
GetAtomNameW;code;api-ms-win-core-atoms-l1-1-0.dll;#GetAtomNameW
AddAtomA;code;api-ms-win-core-atoms-l1-1-0.dll;
AddAtomW;code;api-ms-win-core-atoms-l1-1-0.dll;
DeleteAtom;code;api-ms-win-core-atoms-l1-1-0.dll;
FindAtomA;code;api-ms-win-core-atoms-l1-1-0.dll;
FindAtomW;code;api-ms-win-core-atoms-l1-1-0.dll;
GetAtomNameA;code;api-ms-win-core-atoms-l1-1-0.dll;
GetAtomNameW;code;api-ms-win-core-atoms-l1-1-0.dll;
CLSIDFromProgID;code;api-ms-win-core-com-l1-1-0.dll;#CLSIDFromProgID
CLSIDFromString;code;api-ms-win-core-com-l1-1-0.dll;#CLSIDFromString
CoAddRefServerProcess;code;api-ms-win-core-com-l1-1-0.dll;#CoAddRefServerProcess
CoCreateFreeThreadedMarshaler;code;api-ms-win-core-com-l1-1-0.dll;#CoCreateFreeThreadedMarshaler
CoCreateGuid;code;api-ms-win-core-com-l1-1-0.dll;#CoCreateGuid
CoCreateInstance;code;api-ms-win-core-com-l1-1-0.dll;#CoCreateInstance
CoCreateInstanceEx;code;api-ms-win-core-com-l1-1-0.dll;#CoCreateInstanceEx
CoCreateInstanceFromApp;code;api-ms-win-core-com-l1-1-0.dll;#CoCreateInstanceFromApp
CoDecrementMTAUsage;code;api-ms-win-core-com-l1-1-0.dll;#CoDecrementMTAUsage
CoDisconnectObject;code;api-ms-win-core-com-l1-1-0.dll;#CoDisconnectObject
CoFreeUnusedLibraries;code;api-ms-win-core-com-l1-1-0.dll;#CoFreeUnusedLibraries
CoFreeUnusedLibrariesEx;code;api-ms-win-core-com-l1-1-0.dll;#CoFreeUnusedLibrariesEx
CoGetApartmentType;code;api-ms-win-core-com-l1-1-0.dll;#CoGetApartmentType
CoGetClassObject;code;api-ms-win-core-com-l1-1-0.dll;#CoGetClassObject
CoGetContextToken;code;api-ms-win-core-com-l1-1-0.dll;#CoGetContextToken
CoGetCurrentLogicalThreadId;code;api-ms-win-core-com-l1-1-0.dll;#CoGetCurrentLogicalThreadId
CoGetInterfaceAndReleaseStream;code;api-ms-win-core-com-l1-1-0.dll;#CoGetInterfaceAndReleaseStream
CoGetMalloc;code;api-ms-win-core-com-l1-1-0.dll;#CoGetMalloc
CoGetMarshalSizeMax;code;api-ms-win-core-com-l1-1-0.dll;#CoGetMarshalSizeMax
CoGetObjectContext;code;api-ms-win-core-com-l1-1-0.dll;#CoGetObjectContext
CoGetStandardMarshal;code;api-ms-win-core-com-l1-1-0.dll;#CoGetStandardMarshal
CoIncrementMTAUsage;code;api-ms-win-core-com-l1-1-0.dll;#CoIncrementMTAUsage
CoInitializeEx;code;api-ms-win-core-com-l1-1-0.dll;#CoInitializeEx
CoInitializeSecurity;code;api-ms-win-core-com-l1-1-0.dll;#CoInitializeSecurity
CoLockObjectExternal;code;api-ms-win-core-com-l1-1-0.dll;#CoLockObjectExternal
CoMarshalInterface;code;api-ms-win-core-com-l1-1-0.dll;#CoMarshalInterface
CoMarshalInterThreadInterfaceInStream;code;api-ms-win-core-com-l1-1-0.dll;#CoMarshalInterThreadInterfaceInStream
CoRegisterClassObject;code;api-ms-win-core-com-l1-1-0.dll;#CoRegisterClassObject
CoRegisterPSClsid;code;api-ms-win-core-com-l1-1-0.dll;#CoRegisterPSClsid
CoReleaseMarshalData;code;api-ms-win-core-com-l1-1-0.dll;#CoReleaseMarshalData
CoReleaseServerProcess;code;api-ms-win-core-com-l1-1-0.dll;#CoReleaseServerProcess
CoResumeClassObjects;code;api-ms-win-core-com-l1-1-0.dll;#CoResumeClassObjects
CoRevokeClassObject;code;api-ms-win-core-com-l1-1-0.dll;#CoRevokeClassObject
CoSetProxyBlanket;code;api-ms-win-core-com-l1-1-0.dll;#CoSetProxyBlanket
CoSuspendClassObjects;code;api-ms-win-core-com-l1-1-0.dll;#CoSuspendClassObjects
CoSwitchCallContext;code;api-ms-win-core-com-l1-1-0.dll;#CoSwitchCallContext
CoTaskMemAlloc;code;api-ms-win-core-com-l1-1-0.dll;#CoTaskMemAlloc
CoTaskMemFree;code;api-ms-win-core-com-l1-1-0.dll;#CoTaskMemFree
CoTaskMemRealloc;code;api-ms-win-core-com-l1-1-0.dll;#CoTaskMemRealloc
CoUninitialize;code;api-ms-win-core-com-l1-1-0.dll;#CoUninitialize
CoUnmarshalInterface;code;api-ms-win-core-com-l1-1-0.dll;#CoUnmarshalInterface
CoWaitForMultipleHandles;code;api-ms-win-core-com-l1-1-0.dll;#CoWaitForMultipleHandles
CoWaitForMultipleObjects;code;api-ms-win-core-com-l1-1-0.dll;#CoWaitForMultipleObjects
CreateStreamOnHGlobal;code;api-ms-win-core-com-l1-1-0.dll;#CreateStreamOnHGlobal
FreePropVariantArray;code;api-ms-win-core-com-l1-1-0.dll;#FreePropVariantArray
GetHGlobalFromStream;code;api-ms-win-core-com-l1-1-0.dll;#GetHGlobalFromStream
IIDFromString;code;api-ms-win-core-com-l1-1-0.dll;#IIDFromString
ProgIDFromCLSID;code;api-ms-win-core-com-l1-1-0.dll;#ProgIDFromCLSID
PropVariantClear;code;api-ms-win-core-com-l1-1-0.dll;#PropVariantClear
PropVariantCopy;code;api-ms-win-core-com-l1-1-0.dll;#PropVariantCopy
StringFromCLSID;code;api-ms-win-core-com-l1-1-0.dll;#StringFromCLSID
StringFromGUID2;code;api-ms-win-core-com-l1-1-0.dll;#StringFromGUID2
StringFromIID;code;api-ms-win-core-com-l1-1-0.dll;#StringFromIID
CLSIDFromProgID;code;api-ms-win-core-com-l1-1-0.dll;
CLSIDFromString;code;api-ms-win-core-com-l1-1-0.dll;
CoAddRefServerProcess;code;api-ms-win-core-com-l1-1-0.dll;
CoCreateFreeThreadedMarshaler;code;api-ms-win-core-com-l1-1-0.dll;
CoCreateGuid;code;api-ms-win-core-com-l1-1-0.dll;
CoCreateInstance;code;api-ms-win-core-com-l1-1-0.dll;
CoCreateInstanceEx;code;api-ms-win-core-com-l1-1-0.dll;
CoCreateInstanceFromApp;code;api-ms-win-core-com-l1-1-0.dll;
CoDecrementMTAUsage;code;api-ms-win-core-com-l1-1-0.dll;
CoDisconnectObject;code;api-ms-win-core-com-l1-1-0.dll;
CoFreeUnusedLibraries;code;api-ms-win-core-com-l1-1-0.dll;
CoFreeUnusedLibrariesEx;code;api-ms-win-core-com-l1-1-0.dll;
CoGetApartmentType;code;api-ms-win-core-com-l1-1-0.dll;
CoGetClassObject;code;api-ms-win-core-com-l1-1-0.dll;
CoGetContextToken;code;api-ms-win-core-com-l1-1-0.dll;
CoGetCurrentLogicalThreadId;code;api-ms-win-core-com-l1-1-0.dll;
CoGetInterfaceAndReleaseStream;code;api-ms-win-core-com-l1-1-0.dll;
CoGetMalloc;code;api-ms-win-core-com-l1-1-0.dll;
CoGetMarshalSizeMax;code;api-ms-win-core-com-l1-1-0.dll;
CoGetObjectContext;code;api-ms-win-core-com-l1-1-0.dll;
CoGetStandardMarshal;code;api-ms-win-core-com-l1-1-0.dll;
CoIncrementMTAUsage;code;api-ms-win-core-com-l1-1-0.dll;
CoInitializeEx;code;api-ms-win-core-com-l1-1-0.dll;
CoInitializeSecurity;code;api-ms-win-core-com-l1-1-0.dll;
CoLockObjectExternal;code;api-ms-win-core-com-l1-1-0.dll;
CoMarshalInterface;code;api-ms-win-core-com-l1-1-0.dll;
CoMarshalInterThreadInterfaceInStream;code;api-ms-win-core-com-l1-1-0.dll;
CoRegisterClassObject;code;api-ms-win-core-com-l1-1-0.dll;
CoRegisterPSClsid;code;api-ms-win-core-com-l1-1-0.dll;
CoReleaseMarshalData;code;api-ms-win-core-com-l1-1-0.dll;
CoReleaseServerProcess;code;api-ms-win-core-com-l1-1-0.dll;
CoResumeClassObjects;code;api-ms-win-core-com-l1-1-0.dll;
CoRevokeClassObject;code;api-ms-win-core-com-l1-1-0.dll;
CoSetProxyBlanket;code;api-ms-win-core-com-l1-1-0.dll;
CoSuspendClassObjects;code;api-ms-win-core-com-l1-1-0.dll;
CoSwitchCallContext;code;api-ms-win-core-com-l1-1-0.dll;
CoTaskMemAlloc;code;api-ms-win-core-com-l1-1-0.dll;
CoTaskMemFree;code;api-ms-win-core-com-l1-1-0.dll;
CoTaskMemRealloc;code;api-ms-win-core-com-l1-1-0.dll;
CoUninitialize;code;api-ms-win-core-com-l1-1-0.dll;
CoUnmarshalInterface;code;api-ms-win-core-com-l1-1-0.dll;
CoWaitForMultipleHandles;code;api-ms-win-core-com-l1-1-0.dll;
CoWaitForMultipleObjects;code;api-ms-win-core-com-l1-1-0.dll;
CreateStreamOnHGlobal;code;api-ms-win-core-com-l1-1-0.dll;
FreePropVariantArray;code;api-ms-win-core-com-l1-1-0.dll;
GetHGlobalFromStream;code;api-ms-win-core-com-l1-1-0.dll;
IIDFromString;code;api-ms-win-core-com-l1-1-0.dll;
ProgIDFromCLSID;code;api-ms-win-core-com-l1-1-0.dll;
PropVariantClear;code;api-ms-win-core-com-l1-1-0.dll;
PropVariantCopy;code;api-ms-win-core-com-l1-1-0.dll;
StringFromCLSID;code;api-ms-win-core-com-l1-1-0.dll;
StringFromGUID2;code;api-ms-win-core-com-l1-1-0.dll;
