Name;Type;DLL;SymbolOrOrdinal
HcsAddResourceToOperation;code;computecore.dll;#HcsAddResourceToOperation
HcsCancelOperation;code;computecore.dll;#HcsCancelOperation
HcsCloseComputeSystem;code;computecore.dll;#HcsCloseComputeSystem
HcsCloseOperation;code;computecore.dll;#HcsCloseOperation
HcsCloseProcess;code;computecore.dll;#HcsCloseProcess
HcsCrashComputeSystem;code;computecore.dll;#HcsCrashComputeSystem
HcsCreateComputeSystem;code;computecore.dll;#HcsCreateComputeSystem
HcsCreateComputeSystemInNamespace;code;computecore.dll;#HcsCreateComputeSystemInNamespace
HcsCreateEmptyGuestStateFile;code;computecore.dll;#HcsCreateEmptyGuestStateFile
HcsCreateEmptyRuntimeStateFile;code;computecore.dll;#HcsCreateEmptyRuntimeStateFile
HcsCreateOperation;code;computecore.dll;#HcsCreateOperation
HcsCreateOperationWithNotifications;code;computecore.dll;#HcsCreateOperationWithNotifications
HcsCreateProcess;code;computecore.dll;#HcsCreateProcess
HcsEnumerateComputeSystems;code;computecore.dll;#HcsEnumerateComputeSystems
HcsEnumerateComputeSystemsInNamespace;code;computecore.dll;#HcsEnumerateComputeSystemsInNamespace
HcsGetComputeSystemFromOperation;code;computecore.dll;#HcsGetComputeSystemFromOperation
HcsGetComputeSystemProperties;code;computecore.dll;#HcsGetComputeSystemProperties
HcsGetOperationContext;code;computecore.dll;#HcsGetOperationContext
HcsGetOperationId;code;computecore.dll;#HcsGetOperationId
HcsGetOperationResult;code;computecore.dll;#HcsGetOperationResult
HcsGetOperationResultAndProcessInfo;code;computecore.dll;#HcsGetOperationResultAndProcessInfo
HcsGetOperationType;code;computecore.dll;#HcsGetOperationType
HcsGetProcessFromOperation;code;computecore.dll;#HcsGetProcessFromOperation
HcsGetProcessInfo;code;computecore.dll;#HcsGetProcessInfo
HcsGetProcessProperties;code;computecore.dll;#HcsGetProcessProperties
HcsGetProcessorCompatibilityFromSavedState;code;computecore.dll;#HcsGetProcessorCompatibilityFromSavedState
HcsGetServiceProperties;code;computecore.dll;#HcsGetServiceProperties
HcsGrantVmAccess;code;computecore.dll;#HcsGrantVmAccess
HcsGrantVmGroupAccess;code;computecore.dll;#HcsGrantVmGroupAccess
HcsModifyComputeSystem;code;computecore.dll;#HcsModifyComputeSystem
HcsModifyProcess;code;computecore.dll;#HcsModifyProcess
HcsModifyServiceSettings;code;computecore.dll;#HcsModifyServiceSettings
HcsOpenComputeSystem;code;computecore.dll;#HcsOpenComputeSystem
HcsOpenComputeSystemInNamespace;code;computecore.dll;#HcsOpenComputeSystemInNamespace
