Name;Type;DLL;SymbolOrOrdinal
CreateDirect3D11DeviceFromDXGIDevice;code;d3d11.dll;#CreateDirect3D11DeviceFromDXGIDevice
CreateDirect3D11SurfaceFromDXGISurface;code;d3d11.dll;#CreateDirect3D11SurfaceFromDXGISurface
D3D11CoreCreateDevice;code;d3d11.dll;#D3D11CoreCreateDevice
D3D11CoreCreateLayeredDevice;code;d3d11.dll;#D3D11CoreCreateLayeredDevice
D3D11CoreGetLayeredDeviceSize;code;d3d11.dll;#D3D11CoreGetLayeredDeviceSize
D3D11CoreRegisterLayers;code;d3d11.dll;#D3D11CoreRegisterLayers
D3D11CreateDevice;code;d3d11.dll;#D3D11CreateDevice
D3D11CreateDeviceAndSwapChain;code;d3d11.dll;#D3D11CreateDeviceAndSwapChain
D3D11On12CreateDevice;code;d3d11.dll;#D3D11On12CreateDevice
CreateDirect3D11DeviceFromDXGIDevice;code;d3d11.dll;
CreateDirect3D11SurfaceFromDXGISurface;code;d3d11.dll;
D3D11CoreCreateDevice;code;d3d11.dll;
D3D11CoreCreateLayeredDevice;code;d3d11.dll;
D3D11CoreGetLayeredDeviceSize;code;d3d11.dll;
D3D11CoreRegisterLayers;code;d3d11.dll;
D3D11CreateDevice;code;d3d11.dll;
D3D11CreateDeviceAndSwapChain;code;d3d11.dll;
D3D11On12CreateDevice;code;d3d11.dll;
