Name;Type;DLL;SymbolOrOrdinal
DpxCheckJobExists;code;dpx.dll;#DpxCheckJobExists
DpxCheckJobExistsEx;code;dpx.dll;#DpxCheckJobExistsEx
DpxDeleteJob;code;dpx.dll;#DpxDeleteJob
DpxDeleteJobEx;code;dpx.dll;#DpxDeleteJobEx
DpxFreeMemory;code;dpx.dll;#DpxFreeMemory
DpxNewJob;code;dpx.dll;#DpxNewJob
DpxNewJobEx;code;dpx.dll;#DpxNewJobEx
DpxRestoreJob;code;dpx.dll;#DpxRestoreJob
DpxRestoreJobEx;code;dpx.dll;#DpxRestoreJobEx
DpxRestoreOrNewJob;code;dpx.dll;#DpxRestoreOrNewJob
DpxRestoreOrNewJobEx;code;dpx.dll;#DpxRestoreOrNewJobEx
DpxCheckJobExists;code;dpx.dll;
DpxCheckJobExistsEx;code;dpx.dll;
DpxDeleteJob;code;dpx.dll;
DpxDeleteJobEx;code;dpx.dll;
DpxFreeMemory;code;dpx.dll;
DpxNewJob;code;dpx.dll;
DpxNewJobEx;code;dpx.dll;
DpxRestoreJob;code;dpx.dll;
DpxRestoreJobEx;code;dpx.dll;
DpxRestoreOrNewJob;code;dpx.dll;
DpxRestoreOrNewJobEx;code;dpx.dll;
