Name;Type;DLL;SymbolOrOrdinal
DrtClose;code;drt.dll;#DrtClose
DrtContinueSearch;code;drt.dll;#DrtContinueSearch
DrtEndSearch;code;drt.dll;#DrtEndSearch
DrtGetEventData;code;drt.dll;#DrtGetEventData
DrtGetEventDataSize;code;drt.dll;#DrtGetEventDataSize
DrtGetInstanceName;code;drt.dll;#DrtGetInstanceName
DrtGetInstanceNameSize;code;drt.dll;#DrtGetInstanceNameSize
DrtGetSearchPath;code;drt.dll;#DrtGetSearchPath
DrtGetSearchPathSize;code;drt.dll;#DrtGetSearchPathSize
DrtGetSearchResult;code;drt.dll;#DrtGetSearchResult
DrtGetSearchResultSize;code;drt.dll;#DrtGetSearchResultSize
DrtOpen;code;drt.dll;#DrtOpen
DrtRegisterKey;code;drt.dll;#DrtRegisterKey
DrtStartSearch;code;drt.dll;#DrtStartSearch
DrtUnregisterKey;code;drt.dll;#DrtUnregisterKey
DrtUpdateKey;code;drt.dll;#DrtUpdateKey
DrtFlushCache;code;drt.dll;?DrtFlushCache@@$$hYAJPEAX@Z (long __cdecl DrtFlushCache(void *))
DrtGetCacheStatsEx;code;drt.dll;?DrtGetCacheStatsEx@@$$hYAJPEAXPEAU_drtCacheStatsExTag@@@Z (long __cdecl DrtGetCacheStatsEx(void *,struct _drtCacheStatsExTag *))
DrtHandlePowerEvent;code;drt.dll;?DrtHandlePowerEvent@@$$hYAJPEAXH@Z (long __cdecl DrtHandlePowerEvent(void *,int))
DrtPingPeer;code;drt.dll;?DrtPingPeer@@$$hYAJPEAXPEAUsockaddr_in6@@HKPEAJ1PEAK3PEAUdrt_data_tag@@@Z (long __cdecl DrtPingPeer(void *,struct sockaddr_in6 *,int,unsigned long,long *,struct sockaddr_in6 *,unsigned long *,unsigned long *,struct drt_data_tag *))
DrtStartPartitionDetection;code;drt.dll;?DrtStartPartitionDetection@@$$hYAJPEAX@Z (long __cdecl DrtStartPartitionDetection(void *))
DrtFlushCache;code;drt.dll;?DrtFlushCache@@YAJPEAX@Z (long __cdecl DrtFlushCache(void *))
DrtGetCacheStatsEx;code;drt.dll;?DrtGetCacheStatsEx@@YAJPEAXPEAU_drtCacheStatsExTag@@@Z (long __cdecl DrtGetCacheStatsEx(void *,struct _drtCacheStatsExTag *))
DrtHandlePowerEvent;code;drt.dll;?DrtHandlePowerEvent@@YAJPEAXH@Z (long __cdecl DrtHandlePowerEvent(void *,int))
DrtPingPeer;code;drt.dll;?DrtPingPeer@@YAJPEAXPEAUsockaddr_in6@@HKPEAJ1PEAK3PEAUdrt_data_tag@@@Z (long __cdecl DrtPingPeer(void *,struct sockaddr_in6 *,int,unsigned long,long *,struct sockaddr_in6 *,unsigned long *,unsigned long *,struct drt_data_tag *))
DrtStartPartitionDetection;code;drt.dll;?DrtStartPartitionDetection@@YAJPEAX@Z (long __cdecl DrtStartPartitionDetection(void *))
DrtClose;code;drt.dll;
DrtContinueSearch;code;drt.dll;
DrtEndSearch;code;drt.dll;
DrtGetEventData;code;drt.dll;
DrtGetEventDataSize;code;drt.dll;
DrtGetInstanceName;code;drt.dll;
DrtGetInstanceNameSize;code;drt.dll;
DrtGetSearchPath;code;drt.dll;
DrtGetSearchPathSize;code;drt.dll;
DrtGetSearchResult;code;drt.dll;
DrtGetSearchResultSize;code;drt.dll;
DrtOpen;code;drt.dll;
DrtRegisterKey;code;drt.dll;
DrtStartSearch;code;drt.dll;
DrtUnregisterKey;code;drt.dll;
DrtUpdateKey;code;drt.dll;
