Name;Type;DLL;SymbolOrOrdinal
GdipAddPathArc;code;gdiplus.dll;#GdipAddPathArc
GdipAddPathArcI;code;gdiplus.dll;#GdipAddPathArcI
GdipAddPathBezier;code;gdiplus.dll;#GdipAddPathBezier
GdipAddPathBezierI;code;gdiplus.dll;#GdipAddPathBezierI
GdipAddPathBeziers;code;gdiplus.dll;#GdipAddPathBeziers
GdipAddPathBeziersI;code;gdiplus.dll;#GdipAddPathBeziersI
GdipAddPathClosedCurve;code;gdiplus.dll;#GdipAddPathClosedCurve
GdipAddPathClosedCurve2;code;gdiplus.dll;#GdipAddPathClosedCurve2
GdipAddPathClosedCurve2I;code;gdiplus.dll;#GdipAddPathClosedCurve2I
GdipAddPathClosedCurveI;code;gdiplus.dll;#GdipAddPathClosedCurveI
GdipAddPathCurve;code;gdiplus.dll;#GdipAddPathCurve
GdipAddPathCurve2;code;gdiplus.dll;#GdipAddPathCurve2
GdipAddPathCurve2I;code;gdiplus.dll;#GdipAddPathCurve2I
GdipAddPathCurve3;code;gdiplus.dll;#GdipAddPathCurve3
GdipAddPathCurve3I;code;gdiplus.dll;#GdipAddPathCurve3I
GdipAddPathCurveI;code;gdiplus.dll;#GdipAddPathCurveI
GdipAddPathEllipse;code;gdiplus.dll;#GdipAddPathEllipse
GdipAddPathEllipseI;code;gdiplus.dll;#GdipAddPathEllipseI
GdipAddPathLine;code;gdiplus.dll;#GdipAddPathLine
GdipAddPathLine2;code;gdiplus.dll;#GdipAddPathLine2
GdipAddPathLine2I;code;gdiplus.dll;#GdipAddPathLine2I
GdipAddPathLineI;code;gdiplus.dll;#GdipAddPathLineI
GdipAddPathPath;code;gdiplus.dll;#GdipAddPathPath
GdipAddPathPie;code;gdiplus.dll;#GdipAddPathPie
GdipAddPathPieI;code;gdiplus.dll;#GdipAddPathPieI
GdipAddPathPolygon;code;gdiplus.dll;#GdipAddPathPolygon
GdipAddPathPolygonI;code;gdiplus.dll;#GdipAddPathPolygonI
GdipAddPathRectangle;code;gdiplus.dll;#GdipAddPathRectangle
GdipAddPathRectangleI;code;gdiplus.dll;#GdipAddPathRectangleI
GdipAddPathRectangles;code;gdiplus.dll;#GdipAddPathRectangles
GdipAddPathRectanglesI;code;gdiplus.dll;#GdipAddPathRectanglesI
GdipAddPathString;code;gdiplus.dll;#GdipAddPathString
GdipAddPathStringI;code;gdiplus.dll;#GdipAddPathStringI
GdipAlloc;code;gdiplus.dll;#GdipAlloc
GdipBeginContainer;code;gdiplus.dll;#GdipBeginContainer
GdipBeginContainer2;code;gdiplus.dll;#GdipBeginContainer2
GdipBeginContainerI;code;gdiplus.dll;#GdipBeginContainerI
GdipBitmapApplyEffect;code;gdiplus.dll;#GdipBitmapApplyEffect
GdipBitmapConvertFormat;code;gdiplus.dll;#GdipBitmapConvertFormat
GdipBitmapCreateApplyEffect;code;gdiplus.dll;#GdipBitmapCreateApplyEffect
GdipBitmapGetHistogram;code;gdiplus.dll;#GdipBitmapGetHistogram
GdipBitmapGetHistogramSize;code;gdiplus.dll;#GdipBitmapGetHistogramSize
GdipBitmapGetPixel;code;gdiplus.dll;#GdipBitmapGetPixel
GdipBitmapLockBits;code;gdiplus.dll;#GdipBitmapLockBits
GdipBitmapSetPixel;code;gdiplus.dll;#GdipBitmapSetPixel
GdipBitmapSetResolution;code;gdiplus.dll;#GdipBitmapSetResolution
GdipBitmapUnlockBits;code;gdiplus.dll;#GdipBitmapUnlockBits
GdipClearPathMarkers;code;gdiplus.dll;#GdipClearPathMarkers
GdipCloneBitmapArea;code;gdiplus.dll;#GdipCloneBitmapArea
GdipCloneBitmapAreaI;code;gdiplus.dll;#GdipCloneBitmapAreaI
GdipCloneBrush;code;gdiplus.dll;#GdipCloneBrush
GdipCloneCustomLineCap;code;gdiplus.dll;#GdipCloneCustomLineCap
GdipCloneFont;code;gdiplus.dll;#GdipCloneFont
GdipCloneFontFamily;code;gdiplus.dll;#GdipCloneFontFamily
GdipCloneImage;code;gdiplus.dll;#GdipCloneImage
GdipCloneImageAttributes;code;gdiplus.dll;#GdipCloneImageAttributes
GdipCloneMatrix;code;gdiplus.dll;#GdipCloneMatrix
GdipClonePath;code;gdiplus.dll;#GdipClonePath
GdipClonePen;code;gdiplus.dll;#GdipClonePen
GdipCloneRegion;code;gdiplus.dll;#GdipCloneRegion
GdipCloneStringFormat;code;gdiplus.dll;#GdipCloneStringFormat
GdipClosePathFigure;code;gdiplus.dll;#GdipClosePathFigure
GdipClosePathFigures;code;gdiplus.dll;#GdipClosePathFigures
GdipCombineRegionPath;code;gdiplus.dll;#GdipCombineRegionPath
GdipCombineRegionRect;code;gdiplus.dll;#GdipCombineRegionRect
GdipCombineRegionRectI;code;gdiplus.dll;#GdipCombineRegionRectI
GdipCombineRegionRegion;code;gdiplus.dll;#GdipCombineRegionRegion
