Name;Type;DLL;SymbolOrOrdinal
??0CCollection@@QEAA@XZ;code;hhsetup.dll;??0CCollection@@$$hQEAA@XZ (public: __cdecl CCollection::CCollection(void))
??0CFIFOString@@QEAA@XZ;code;hhsetup.dll;??0CFIFOString@@$$hQEAA@XZ (public: __cdecl CFIFOString::CFIFOString(void))
??0CFolder@@QEAA@XZ;code;hhsetup.dll;??0CFolder@@$$hQEAA@XZ (public: __cdecl CFolder::CFolder(void))
??0CLocation@@QEAA@XZ;code;hhsetup.dll;??0CLocation@@$$hQEAA@XZ (public: __cdecl CLocation::CLocation(void))
??0CPointerList@@QEAA@XZ;code;hhsetup.dll;??0CPointerList@@$$hQEAA@XZ (public: __cdecl CPointerList::CPointerList(void))
??0CTitle@@QEAA@XZ;code;hhsetup.dll;??0CTitle@@$$hQEAA@XZ (public: __cdecl CTitle::CTitle(void))
??1CCollection@@QEAA@XZ;code;hhsetup.dll;??1CCollection@@$$hQEAA@XZ (public: __cdecl CCollection::~CCollection(void))
??1CFIFOString@@QEAA@XZ;code;hhsetup.dll;??1CFIFOString@@$$hQEAA@XZ (public: __cdecl CFIFOString::~CFIFOString(void))
??1CFolder@@QEAA@XZ;code;hhsetup.dll;??1CFolder@@$$hQEAA@XZ (public: __cdecl CFolder::~CFolder(void))
??1CLocation@@QEAA@XZ;code;hhsetup.dll;??1CLocation@@$$hQEAA@XZ (public: __cdecl CLocation::~CLocation(void))
??1CPointerList@@QEAA@XZ;code;hhsetup.dll;??1CPointerList@@$$hQEAA@XZ (public: __cdecl CPointerList::~CPointerList(void))
??1CTitle@@QEAA@XZ;code;hhsetup.dll;??1CTitle@@$$hQEAA@XZ (public: __cdecl CTitle::~CTitle(void))
??4CCollection@@QEAAAEAV0@AEBV0@@Z;code;hhsetup.dll;??4CCollection@@$$hQEAAAEAV0@AEBV0@@Z (public: class CCollection & __cdecl CCollection::operator=(class CCollection const &))
??4CFIFOString@@QEAAAEAV0@AEBV0@@Z;code;hhsetup.dll;??4CFIFOString@@$$hQEAAAEAV0@AEBV0@@Z (public: class CFIFOString & __cdecl CFIFOString::operator=(class CFIFOString const &))
??4CFolder@@QEAAAEAV0@AEBV0@@Z;code;hhsetup.dll;??4CFolder@@$$hQEAAAEAV0@AEBV0@@Z (public: class CFolder & __cdecl CFolder::operator=(class CFolder const &))
