Name;Type;DLL;SymbolOrOrdinal
QDLHPathDiagnostics;code;qwave.dll;#QDLHPathDiagnostics
QDLHStartDiagnosingPath;code;qwave.dll;#QDLHStartDiagnosingPath
QOSAddSocketToFlow;code;qwave.dll;#QOSAddSocketToFlow
QOSCancel;code;qwave.dll;#QOSCancel
QOSCloseHandle;code;qwave.dll;#QOSCloseHandle
QOSCreateHandle;code;qwave.dll;#QOSCreateHandle
QOSEnumerateFlows;code;qwave.dll;#QOSEnumerateFlows
QOSNotifyFlow;code;qwave.dll;#QOSNotifyFlow
QOSQueryFlow;code;qwave.dll;#QOSQueryFlow
QOSRemoveSocketFromFlow;code;qwave.dll;#QOSRemoveSocketFromFlow
QOSSetFlow;code;qwave.dll;#QOSSetFlow
QOSStartTrackingClient;code;qwave.dll;#QOSStartTrackingClient
QOSStopTrackingClient;code;qwave.dll;#QOSStopTrackingClient
ServiceMain;code;qwave.dll;#ServiceMain
QDLHPathDiagnostics;code;qwave.dll;
QDLHStartDiagnosingPath;code;qwave.dll;
QOSAddSocketToFlow;code;qwave.dll;
QOSCancel;code;qwave.dll;
QOSCloseHandle;code;qwave.dll;
QOSCreateHandle;code;qwave.dll;
QOSEnumerateFlows;code;qwave.dll;
QOSNotifyFlow;code;qwave.dll;
QOSQueryFlow;code;qwave.dll;
QOSRemoveSocketFromFlow;code;qwave.dll;
QOSSetFlow;code;qwave.dll;
QOSStartTrackingClient;code;qwave.dll;
QOSStopTrackingClient;code;qwave.dll;
ServiceMain;code;qwave.dll;
