Name;Type;DLL;SymbolOrOrdinal
RoActivateInstance;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetActivationFactory;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetApartmentIdentifier;code;api-ms-win-core-winrt-l1-1-0.dll;
RoInitialize;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRegisterActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRegisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRevokeActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;
RoUninitialize;code;api-ms-win-core-winrt-l1-1-0.dll;
RoUnregisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;
RoActivateInstance;code;api-ms-win-core-winrt-l1-1-0.dll;#RoActivateInstance
RoGetActivationFactory;code;api-ms-win-core-winrt-l1-1-0.dll;#RoGetActivationFactory
RoGetApartmentIdentifier;code;api-ms-win-core-winrt-l1-1-0.dll;#RoGetApartmentIdentifier
RoInitialize;code;api-ms-win-core-winrt-l1-1-0.dll;#RoInitialize
RoRegisterActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;#RoRegisterActivationFactories
RoRegisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;#RoRegisterForApartmentShutdown
RoRevokeActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;#RoRevokeActivationFactories
RoUninitialize;code;api-ms-win-core-winrt-l1-1-0.dll;#RoUninitialize
RoUnregisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;#RoUnregisterForApartmentShutdown
GetRestrictedErrorInfo;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoCaptureErrorContext;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoFailFastWithErrorContext;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoGetErrorReportingFlags;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoOriginateError;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoOriginateErrorW;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoResolveRestrictedErrorInfoReference;code;api-ms-win-core-winrt-error-l1-1-0.dll;
