Name;Type;DLL;SymbolOrOrdinal
SLConsumeWindowsRight;code;SLC.dll;#SLConsumeWindowsRight
SLGetWindowsInformation;code;SLC.dll;#SLGetWindowsInformation
SLGetWindowsInformationDWORD;code;SLC.dll;#SLGetWindowsInformationDWORD
SLIsWindowsGenuineLocal;code;SLC.dll;#SLIsWindowsGenuineLocal
SLReArmWindows;code;SLC.dll;#SLReArmWindows
SLRegisterWindowsEvent;code;SLC.dll;#SLRegisterWindowsEvent
SLUnregisterWindowsEvent;code;SLC.dll;#SLUnregisterWindowsEvent
SLpCheckProductKey;code;SLC.dll;?SLpCheckProductKey@@$$hYAJPEAUDIGITALPID4@@PEAH@Z (long __cdecl SLpCheckProductKey(struct DIGITALPID4 *,int *))
SLpGetGenuineLocal;code;SLC.dll;?SLpGetGenuineLocal@@YAJPEAXPEBU_GUID@@PEAW4_SL_GENUINE_STATE@@@Z (long __cdecl SLpGetGenuineLocal(void *,struct _GUID const *,enum _SL_GENUINE_STATE *))
SLpUpdateComponentTokens;code;SLC.dll;?SLpUpdateComponentTokens@@$$hYAJPEAXPEAH@Z (long __cdecl SLpUpdateComponentTokens(void *,int *))
SLClose;code;SLC.dll;SLClose
SLConsumeRight;code;SLC.dll;SLConsumeRight
SLDepositOfflineConfirmationId;code;SLC.dll;SLDepositOfflineConfirmationId
SLDepositOfflineConfirmationIdEx;code;SLC.dll;SLDepositOfflineConfirmationIdEx
SLFireEvent;code;SLC.dll;SLFireEvent
SLGenerateOfflineInstallationId;code;SLC.dll;SLGenerateOfflineInstallationId
SLGenerateOfflineInstallationIdEx;code;SLC.dll;SLGenerateOfflineInstallationIdEx
SLGetApplicationInformation;code;SLC.dll;SLGetApplicationInformation
SLGetGenuineInformation;code;SLC.dll;SLGetGenuineInformation
SLGetInstalledProductKeyIds;code;SLC.dll;SLGetInstalledProductKeyIds
SLGetLicense;code;SLC.dll;SLGetLicense
SLGetLicenseFileId;code;SLC.dll;SLGetLicenseFileId
SLGetLicenseInformation;code;SLC.dll;SLGetLicenseInformation
SLGetLicensingStatusInformation;code;SLC.dll;SLGetLicensingStatusInformation
SLGetPKeyId;code;SLC.dll;SLGetPKeyId
SLGetPKeyInformation;code;SLC.dll;SLGetPKeyInformation
SLGetPolicyInformation;code;SLC.dll;SLGetPolicyInformation
SLGetPolicyInformationDWORD;code;SLC.dll;SLGetPolicyInformationDWORD
SLGetProductSkuInformation;code;SLC.dll;SLGetProductSkuInformation
SLGetSLIDList;code;SLC.dll;SLGetSLIDList
SLGetServiceInformation;code;SLC.dll;SLGetServiceInformation
SLInstallLicense;code;SLC.dll;SLInstallLicense
SLInstallProofOfPurchase;code;SLC.dll;SLInstallProofOfPurchase
SLOpen;code;SLC.dll;SLOpen
SLRegisterEvent;code;SLC.dll;SLRegisterEvent
SLSetCurrentProductKey;code;SLC.dll;SLSetCurrentProductKey
SLSetGenuineInformation;code;SLC.dll;SLSetGenuineInformation
SLUninstallLicense;code;SLC.dll;SLUninstallLicense
SLUninstallProofOfPurchase;code;SLC.dll;SLUninstallProofOfPurchase
SLUnregisterEvent;code;SLC.dll;SLUnregisterEvent
SLpCheckProductKey;code;SLC.dll;?SLpCheckProductKey@@YAJPEAUDIGITALPID4@@PEAH@Z (long __cdecl SLpCheckProductKey(struct DIGITALPID4 *,int *))
SLpGetGenuineLocal;code;SLC.dll;?SLpGetGenuineLocal@@YAJPEAXPEBU_GUID@@PEAW4_SL_GENUINE_STATE@@@Z (long __cdecl SLpGetGenuineLocal(void *,struct _GUID const *,enum _SL_GENUINE_STATE *))
SLpUpdateComponentTokens;code;SLC.dll;?SLpUpdateComponentTokens@@YAJPEAXPEAH@Z (long __cdecl SLpUpdateComponentTokens(void *,int *))
SLClose;code;SLC.dll;
SLConsumeRight;code;SLC.dll;
SLConsumeWindowsRight;code;SLC.dll;
SLDepositOfflineConfirmationId;code;SLC.dll;
SLDepositOfflineConfirmationIdEx;code;SLC.dll;
SLFireEvent;code;SLC.dll;
SLGenerateOfflineInstallationId;code;SLC.dll;
SLGenerateOfflineInstallationIdEx;code;SLC.dll;
SLGetApplicationInformation;code;SLC.dll;
SLGetGenuineInformation;code;SLC.dll;
SLGetInstalledProductKeyIds;code;SLC.dll;
SLGetLicense;code;SLC.dll;
SLGetLicenseFileId;code;SLC.dll;
SLGetLicenseInformation;code;SLC.dll;
SLGetLicensingStatusInformation;code;SLC.dll;
SLGetPKeyId;code;SLC.dll;
SLGetPKeyInformation;code;SLC.dll;
SLGetPolicyInformation;code;SLC.dll;
SLGetPolicyInformationDWORD;code;SLC.dll;
SLGetProductSkuInformation;code;SLC.dll;
SLGetSLIDList;code;SLC.dll;
SLGetServiceInformation;code;SLC.dll;
SLGetWindowsInformation;code;SLC.dll;
SLGetWindowsInformationDWORD;code;SLC.dll;
SLInstallLicense;code;SLC.dll;
SLInstallProofOfPurchase;code;SLC.dll;
SLIsWindowsGenuineLocal;code;SLC.dll;
SLOpen;code;SLC.dll;
SLReArmWindows;code;SLC.dll;
SLRegisterEvent;code;SLC.dll;
SLRegisterWindowsEvent;code;SLC.dll;
SLSetCurrentProductKey;code;SLC.dll;
SLSetGenuineInformation;code;SLC.dll;
SLUninstallLicense;code;SLC.dll;
SLUninstallProofOfPurchase;code;SLC.dll;
SLUnregisterEvent;code;SLC.dll;
SLUnregisterWindowsEvent;code;SLC.dll;
