Name;Type;DLL;SymbolOrOrdinal
SLAcquireGenuineTicket;code;slcext.dll;SLAcquireGenuineTicket
SLActivateProduct;code;slcext.dll;SLActivateProduct
SLGetPackageProductKey;code;slcext.dll;SLGetPackageProductKey
SLGetPackageProperties;code;slcext.dll;SLGetPackageProperties
SLGetPackageToken;code;slcext.dll;SLGetPackageToken
SLGetReferralInformation;code;slcext.dll;SLGetReferralInformation
SLGetServerStatus;code;slcext.dll;SLGetServerStatus
SLInstallPackage;code;slcext.dll;SLInstallPackage
SLUninstallPackage;code;slcext.dll;SLUninstallPackage
SLAcquireGenuineTicket;code;slcext.dll;
SLActivateProduct;code;slcext.dll;
SLGetPackageProductKey;code;slcext.dll;
SLGetPackageProperties;code;slcext.dll;
SLGetPackageToken;code;slcext.dll;
SLGetReferralInformation;code;slcext.dll;
SLGetServerStatus;code;slcext.dll;
SLInstallPackage;code;slcext.dll;
SLUninstallPackage;code;slcext.dll;
