Name;Type;DLL;SymbolOrOrdinal
CreateVssBackupComponentsInternal;code;VSSAPI.DLL;#CreateVssBackupComponentsInternal
CreateVssExamineWriterMetadataInternal;code;VSSAPI.DLL;#CreateVssExamineWriterMetadataInternal
CreateVssExpressWriterInternal;code;VSSAPI.DLL;#CreateVssExpressWriterInternal
CreateVssSnapshotSetDescription;code;VSSAPI.DLL;#CreateVssSnapshotSetDescription
CreateWriter;code;VSSAPI.DLL;#CreateWriter
CreateWriterEx;code;VSSAPI.DLL;#CreateWriterEx
GetProviderMgmtInterfaceInternal;code;VSSAPI.DLL;#GetProviderMgmtInterfaceInternal
IsVolumeSnapshottedInternal;code;VSSAPI.DLL;#IsVolumeSnapshottedInternal
LoadVssSnapshotSetDescription;code;VSSAPI.DLL;#LoadVssSnapshotSetDescription
ShouldBlockRevertInternal;code;VSSAPI.DLL;#ShouldBlockRevertInternal
VssFreeSnapshotPropertiesInternal;code;VSSAPI.DLL;#VssFreeSnapshotPropertiesInternal
??0CVssJetWriter@@QEAA@XZ;code;VSSAPI.DLL;??0CVssJetWriter@@$$hQEAA@XZ (public: __cdecl CVssJetWriter::CVssJetWriter(void))
??1CVssJetWriter@@UEAA@XZ;code;VSSAPI.DLL;??1CVssJetWriter@@$$hUEAA@XZ (public: virtual __cdecl CVssJetWriter::~CVssJetWriter(void))
?AreComponentsSelected@CVssJetWriter@@IEBA_NXZ;code;VSSAPI.DLL;?AreComponentsSelected@CVssJetWriter@@$$hIEBA_NXZ (protected: bool __cdecl CVssJetWriter::AreComponentsSelected(void)const )
?GetBackupType@CVssJetWriter@@IEBA?AW4_VSS_BACKUP_TYPE@@XZ;code;VSSAPI.DLL;?GetBackupType@CVssJetWriter@@$$hIEBA?AW4_VSS_BACKUP_TYPE@@XZ (protected: enum _VSS_BACKUP_TYPE __cdecl CVssJetWriter::GetBackupType(void)const )
?GetContext@CVssJetWriter@@IEBAJXZ;code;VSSAPI.DLL;?GetContext@CVssJetWriter@@$$hIEBAJXZ (protected: long __cdecl CVssJetWriter::GetContext(void)const )
?GetCurrentLevel@CVssJetWriter@@IEBA?AW4_VSS_APPLICATION_LEVEL@@XZ;code;VSSAPI.DLL;?GetCurrentLevel@CVssJetWriter@@$$hIEBA?AW4_VSS_APPLICATION_LEVEL@@XZ (protected: enum _VSS_APPLICATION_LEVEL __cdecl CVssJetWriter::GetCurrentLevel(void)const )
?GetCurrentSnapshotSetId@CVssJetWriter@@IEBA?AU_GUID@@XZ;code;VSSAPI.DLL;?GetCurrentSnapshotSetId@CVssJetWriter@@$$hIEBA?AU_GUID@@XZ (protected: struct _GUID __cdecl CVssJetWriter::GetCurrentSnapshotSetId(void)const )
?GetCurrentVolumeArray@CVssJetWriter@@IEBAPEAPEBGXZ;code;VSSAPI.DLL;?GetCurrentVolumeArray@CVssJetWriter@@$$hIEBAPEAPEBGXZ (protected: unsigned short const * * __cdecl CVssJetWriter::GetCurrentVolumeArray(void)const )
?GetCurrentVolumeCount@CVssJetWriter@@IEBAIXZ;code;VSSAPI.DLL;?GetCurrentVolumeCount@CVssJetWriter@@$$hIEBAIXZ (protected: unsigned int __cdecl CVssJetWriter::GetCurrentVolumeCount(void)const )
?GetRestoreType@CVssJetWriter@@IEBA?AW4_VSS_RESTORE_TYPE@@XZ;code;VSSAPI.DLL;?GetRestoreType@CVssJetWriter@@$$hIEBA?AW4_VSS_RESTORE_TYPE@@XZ (protected: enum _VSS_RESTORE_TYPE __cdecl CVssJetWriter::GetRestoreType(void)const )
?GetSnapshotDeviceName@CVssJetWriter@@IEBAJPEBGPEAPEBG@Z;code;VSSAPI.DLL;?GetSnapshotDeviceName@CVssJetWriter@@$$hIEBAJPEBGPEAPEBG@Z (protected: long __cdecl CVssJetWriter::GetSnapshotDeviceName(unsigned short const *,unsigned short const * *)const )
?Initialize@CVssJetWriter@@QEAAJU_GUID@@PEBG_N211K@Z;code;VSSAPI.DLL;?Initialize@CVssJetWriter@@$$hQEAAJU_GUID@@PEBG_N211K@Z (public: long __cdecl CVssJetWriter::Initialize(struct _GUID,unsigned short const *,bool,bool,unsigned short const *,unsigned short const *,unsigned long))
?IsBootableSystemStateBackedUp@CVssJetWriter@@IEBA_NXZ;code;VSSAPI.DLL;?IsBootableSystemStateBackedUp@CVssJetWriter@@$$hIEBA_NXZ (protected: bool __cdecl CVssJetWriter::IsBootableSystemStateBackedUp(void)const )
?IsPartialFileSupportEnabled@CVssJetWriter@@IEBA_NXZ;code;VSSAPI.DLL;?IsPartialFileSupportEnabled@CVssJetWriter@@$$hIEBA_NXZ (protected: bool __cdecl CVssJetWriter::IsPartialFileSupportEnabled(void)const )
?IsPathAffected@CVssJetWriter@@IEBA_NPEBG@Z;code;VSSAPI.DLL;?IsPathAffected@CVssJetWriter@@$$hIEBA_NPEBG@Z (protected: bool __cdecl CVssJetWriter::IsPathAffected(unsigned short const *)const )
?OnAbortBegin@CVssJetWriter@@UEAAXXZ;code;VSSAPI.DLL;?OnAbortBegin@CVssJetWriter@@$$hUEAAXXZ (public: virtual void __cdecl CVssJetWriter::OnAbortBegin(void))
?OnAbortEnd@CVssJetWriter@@UEAAXXZ;code;VSSAPI.DLL;?OnAbortEnd@CVssJetWriter@@$$hUEAAXXZ (public: virtual void __cdecl CVssJetWriter::OnAbortEnd(void))
?OnBackupCompleteBegin@CVssJetWriter@@UEAA_NPEAVIVssWriterComponents@@@Z;code;VSSAPI.DLL;?OnBackupCompleteBegin@CVssJetWriter@@$$hUEAA_NPEAVIVssWriterComponents@@@Z (public: virtual bool __cdecl CVssJetWriter::OnBackupCompleteBegin(class IVssWriterComponents *))
