Name;Type;DLL;SymbolOrOrdinal
WebAuthNAuthenticatorGetAssertion;code;webauthn.dll;#WebAuthNAuthenticatorGetAssertion
WebAuthNAuthenticatorMakeCredential;code;webauthn.dll;#WebAuthNAuthenticatorMakeCredential
WebAuthNCancelCurrentOperation;code;webauthn.dll;#WebAuthNCancelCurrentOperation
WebAuthNDeletePlatformCredential;code;webauthn.dll;#WebAuthNDeletePlatformCredential
WebAuthNFreeAssertion;code;webauthn.dll;#WebAuthNFreeAssertion
WebAuthNFreeCredentialAttestation;code;webauthn.dll;#WebAuthNFreeCredentialAttestation
WebAuthNFreePlatformCredentialList;code;webauthn.dll;#WebAuthNFreePlatformCredentialList
WebAuthNGetApiVersionNumber;code;webauthn.dll;#WebAuthNGetApiVersionNumber
WebAuthNGetCancellationId;code;webauthn.dll;#WebAuthNGetCancellationId
WebAuthNGetErrorName;code;webauthn.dll;#WebAuthNGetErrorName
WebAuthNGetPlatformCredentialList;code;webauthn.dll;#WebAuthNGetPlatformCredentialList
WebAuthNGetW3CExceptionDOMError;code;webauthn.dll;#WebAuthNGetW3CExceptionDOMError
WebAuthNIsUserVerifyingPlatformAuthenticatorAvailable;code;webauthn.dll;#WebAuthNIsUserVerifyingPlatformAuthenticatorAvailable
WebAuthNAuthenticatorGetAssertion;code;webauthn.dll;
WebAuthNAuthenticatorMakeCredential;code;webauthn.dll;
WebAuthNCancelCurrentOperation;code;webauthn.dll;
WebAuthNDeletePlatformCredential;code;webauthn.dll;
WebAuthNFreeAssertion;code;webauthn.dll;
WebAuthNFreeCredentialAttestation;code;webauthn.dll;
WebAuthNFreePlatformCredentialList;code;webauthn.dll;
WebAuthNGetApiVersionNumber;code;webauthn.dll;
WebAuthNGetCancellationId;code;webauthn.dll;
WebAuthNGetErrorName;code;webauthn.dll;
WebAuthNGetPlatformCredentialList;code;webauthn.dll;
WebAuthNGetW3CExceptionDOMError;code;webauthn.dll;
WebAuthNIsUserVerifyingPlatformAuthenticatorAvailable;code;webauthn.dll;
