Name;Type;DLL;SymbolOrOrdinal
wiasCreateChildAppItem;code;wiaservc.dll;#wiasCreateChildAppItem
wiasCreateDrvItem;code;wiaservc.dll;#wiasCreateDrvItem
wiasCreateLogInstance;code;wiaservc.dll;#wiasCreateLogInstance
wiasCreatePropContext;code;wiaservc.dll;#wiasCreatePropContext
wiasDebugError;code;wiaservc.dll;#wiasDebugError
wiasDebugTrace;code;wiaservc.dll;#wiasDebugTrace
wiasDownSampleBuffer;code;wiaservc.dll;#wiasDownSampleBuffer
wiasFormatArgs;code;wiaservc.dll;#wiasFormatArgs
wiasFreePropContext;code;wiaservc.dll;#wiasFreePropContext
wiasGetChangedValueFloat;code;wiaservc.dll;#wiasGetChangedValueFloat
wiasGetChangedValueGuid;code;wiaservc.dll;#wiasGetChangedValueGuid
wiasGetChangedValueLong;code;wiaservc.dll;#wiasGetChangedValueLong
wiasGetChangedValueStr;code;wiaservc.dll;#wiasGetChangedValueStr
wiasGetChildrenContexts;code;wiaservc.dll;#wiasGetChildrenContexts
wiasGetContextFromName;code;wiaservc.dll;#wiasGetContextFromName
wiasGetDrvItem;code;wiaservc.dll;#wiasGetDrvItem
wiasGetImageInformation;code;wiaservc.dll;#wiasGetImageInformation
wiasGetItemType;code;wiaservc.dll;#wiasGetItemType
wiasGetPropertyAttributes;code;wiaservc.dll;#wiasGetPropertyAttributes
wiasGetRootItem;code;wiaservc.dll;#wiasGetRootItem
wiasIsPropChanged;code;wiaservc.dll;#wiasIsPropChanged
wiasParseEndorserString;code;wiaservc.dll;#wiasParseEndorserString
wiasPrintDebugHResult;code;wiaservc.dll;#wiasPrintDebugHResult
wiasQueueEvent;code;wiaservc.dll;#wiasQueueEvent
wiasReadMultiple;code;wiaservc.dll;#wiasReadMultiple
wiasReadPropBin;code;wiaservc.dll;#wiasReadPropBin
wiasReadPropFloat;code;wiaservc.dll;#wiasReadPropFloat
wiasReadPropGuid;code;wiaservc.dll;#wiasReadPropGuid
wiasReadPropLong;code;wiaservc.dll;#wiasReadPropLong
wiasReadPropStr;code;wiaservc.dll;#wiasReadPropStr
wiasSendEndOfPage;code;wiaservc.dll;#wiasSendEndOfPage
wiasSetItemPropAttribs;code;wiaservc.dll;#wiasSetItemPropAttribs
wiasSetItemPropNames;code;wiaservc.dll;#wiasSetItemPropNames
wiasSetPropChanged;code;wiaservc.dll;#wiasSetPropChanged
wiasSetPropertyAttributes;code;wiaservc.dll;#wiasSetPropertyAttributes
wiasSetValidFlag;code;wiaservc.dll;#wiasSetValidFlag
wiasSetValidListFloat;code;wiaservc.dll;#wiasSetValidListFloat
wiasSetValidListGuid;code;wiaservc.dll;#wiasSetValidListGuid
wiasSetValidListLong;code;wiaservc.dll;#wiasSetValidListLong
wiasSetValidListStr;code;wiaservc.dll;#wiasSetValidListStr
wiasSetValidRangeFloat;code;wiaservc.dll;#wiasSetValidRangeFloat
wiasSetValidRangeLong;code;wiaservc.dll;#wiasSetValidRangeLong
wiasUpdateScanRect;code;wiaservc.dll;#wiasUpdateScanRect
wiasUpdateValidFormat;code;wiaservc.dll;#wiasUpdateValidFormat
wiasValidateItemProperties;code;wiaservc.dll;#wiasValidateItemProperties
wiasWriteBufToFile;code;wiaservc.dll;#wiasWriteBufToFile
wiasWriteMultiple;code;wiaservc.dll;#wiasWriteMultiple
wiasWritePageBufToFile;code;wiaservc.dll;#wiasWritePageBufToFile
wiasWritePageBufToStream;code;wiaservc.dll;#wiasWritePageBufToStream
wiasWritePropBin;code;wiaservc.dll;#wiasWritePropBin
wiasWritePropFloat;code;wiaservc.dll;#wiasWritePropFloat
wiasWritePropGuid;code;wiaservc.dll;#wiasWritePropGuid
wiasWritePropLong;code;wiaservc.dll;#wiasWritePropLong
wiasWritePropStr;code;wiaservc.dll;#wiasWritePropStr
ServiceMain;code;wiaservc.dll;?ServiceMain@@$$hYAXIPEAPEAG@Z (void __cdecl ServiceMain(unsigned int,unsigned short * *))
ServiceMain;code;wiaservc.dll;?ServiceMain@@YAXIPEAPEAG@Z (void __cdecl ServiceMain(unsigned int,unsigned short * *))
wiasCreateChildAppItem;code;wiaservc.dll;
wiasCreateDrvItem;code;wiaservc.dll;
wiasCreateLogInstance;code;wiaservc.dll;
wiasCreatePropContext;code;wiaservc.dll;
wiasDebugError;code;wiaservc.dll;
wiasDebugTrace;code;wiaservc.dll;
wiasDownSampleBuffer;code;wiaservc.dll;
wiasFormatArgs;code;wiaservc.dll;
wiasFreePropContext;code;wiaservc.dll;
wiasGetChangedValueFloat;code;wiaservc.dll;
wiasGetChangedValueGuid;code;wiaservc.dll;
wiasGetChangedValueLong;code;wiaservc.dll;
wiasGetChangedValueStr;code;wiaservc.dll;
wiasGetChildrenContexts;code;wiaservc.dll;
wiasGetContextFromName;code;wiaservc.dll;
wiasGetDrvItem;code;wiaservc.dll;
wiasGetImageInformation;code;wiaservc.dll;
wiasGetItemType;code;wiaservc.dll;
wiasGetPropertyAttributes;code;wiaservc.dll;
wiasGetRootItem;code;wiaservc.dll;
wiasIsPropChanged;code;wiaservc.dll;
wiasParseEndorserString;code;wiaservc.dll;
wiasPrintDebugHResult;code;wiaservc.dll;
wiasQueueEvent;code;wiaservc.dll;
wiasReadMultiple;code;wiaservc.dll;
wiasReadPropBin;code;wiaservc.dll;
wiasReadPropFloat;code;wiaservc.dll;
wiasReadPropGuid;code;wiaservc.dll;
wiasReadPropLong;code;wiaservc.dll;
wiasReadPropStr;code;wiaservc.dll;
wiasSendEndOfPage;code;wiaservc.dll;
wiasSetItemPropAttribs;code;wiaservc.dll;
