Name;Type;DLL;SymbolOrOrdinal
SvchostPushServiceGlobals;code;WINHTTP.dll;#SvchostPushServiceGlobals
WinHttpAddRequestHeaders;code;WINHTTP.dll;#WinHttpAddRequestHeaders
WinHttpAddRequestHeadersEx;code;WINHTTP.dll;#WinHttpAddRequestHeadersEx
WinHttpAutoProxySvcMain;code;WINHTTP.dll;#WinHttpAutoProxySvcMain
WinHttpCheckPlatform;code;WINHTTP.dll;#WinHttpCheckPlatform
WinHttpCloseHandle;code;WINHTTP.dll;#WinHttpCloseHandle
WinHttpConnect;code;WINHTTP.dll;#WinHttpConnect
WinHttpConnectionDeletePolicyEntries;code;WINHTTP.dll;#WinHttpConnectionDeletePolicyEntries
WinHttpConnectionDeleteProxyInfo;code;WINHTTP.dll;#WinHttpConnectionDeleteProxyInfo
WinHttpConnectionFreeNameList;code;WINHTTP.dll;#WinHttpConnectionFreeNameList
WinHttpConnectionFreeProxyInfo;code;WINHTTP.dll;#WinHttpConnectionFreeProxyInfo
WinHttpConnectionFreeProxyList;code;WINHTTP.dll;#WinHttpConnectionFreeProxyList
WinHttpConnectionGetNameList;code;WINHTTP.dll;#WinHttpConnectionGetNameList
WinHttpConnectionGetProxyInfo;code;WINHTTP.dll;#WinHttpConnectionGetProxyInfo
WinHttpConnectionGetProxyList;code;WINHTTP.dll;#WinHttpConnectionGetProxyList
WinHttpConnectionOnlyConvert;code;WINHTTP.dll;#WinHttpConnectionOnlyConvert
WinHttpConnectionOnlyReceive;code;WINHTTP.dll;#WinHttpConnectionOnlyReceive
WinHttpConnectionOnlySend;code;WINHTTP.dll;#WinHttpConnectionOnlySend
WinHttpConnectionSetPolicyEntries;code;WINHTTP.dll;#WinHttpConnectionSetPolicyEntries
WinHttpConnectionSetProxyInfo;code;WINHTTP.dll;#WinHttpConnectionSetProxyInfo
WinHttpConnectionUpdateIfIndexTable;code;WINHTTP.dll;#WinHttpConnectionUpdateIfIndexTable
WinHttpCrackUrl;code;WINHTTP.dll;#WinHttpCrackUrl
WinHttpCreateProxyResolver;code;WINHTTP.dll;#WinHttpCreateProxyResolver
WinHttpCreateUrl;code;WINHTTP.dll;#WinHttpCreateUrl
WinHttpDetectAutoProxyConfigUrl;code;WINHTTP.dll;#WinHttpDetectAutoProxyConfigUrl
WinHttpFreeProxyResult;code;WINHTTP.dll;#WinHttpFreeProxyResult
WinHttpFreeProxyResultEx;code;WINHTTP.dll;#WinHttpFreeProxyResultEx
WinHttpFreeProxySettings;code;WINHTTP.dll;#WinHttpFreeProxySettings
WinHttpFreeProxySettingsEx;code;WINHTTP.dll;#WinHttpFreeProxySettingsEx
WinHttpFreeQueryConnectionGroupResult;code;WINHTTP.dll;#WinHttpFreeQueryConnectionGroupResult
WinHttpGetDefaultProxyConfiguration;code;WINHTTP.dll;#WinHttpGetDefaultProxyConfiguration
WinHttpGetIEProxyConfigForCurrentUser;code;WINHTTP.dll;#WinHttpGetIEProxyConfigForCurrentUser
WinHttpGetProxyForUrl;code;WINHTTP.dll;#WinHttpGetProxyForUrl
WinHttpGetProxyForUrlEx;code;WINHTTP.dll;#WinHttpGetProxyForUrlEx
WinHttpGetProxyForUrlEx2;code;WINHTTP.dll;#WinHttpGetProxyForUrlEx2
