Name;Type;DLL;SymbolOrOrdinal
LogonIdFromWinStationNameA;code;WINSTA.dll;#LogonIdFromWinStationNameA
LogonIdFromWinStationNameW;code;WINSTA.dll;#LogonIdFromWinStationNameW
RemoteAssistancePrepareSystemRestore;code;WINSTA.dll;#RemoteAssistancePrepareSystemRestore
ServerGetInternetConnectorStatus;code;WINSTA.dll;#ServerGetInternetConnectorStatus
ServerLicensingClose;code;WINSTA.dll;#ServerLicensingClose
ServerLicensingDeactivateCurrentPolicy;code;WINSTA.dll;#ServerLicensingDeactivateCurrentPolicy
ServerLicensingFreePolicyInformation;code;WINSTA.dll;#ServerLicensingFreePolicyInformation
ServerLicensingGetAadInfo;code;WINSTA.dll;#ServerLicensingGetAadInfo
ServerLicensingGetAvailablePolicyIds;code;WINSTA.dll;#ServerLicensingGetAvailablePolicyIds
ServerLicensingGetPolicy;code;WINSTA.dll;#ServerLicensingGetPolicy
ServerLicensingGetPolicyInformationA;code;WINSTA.dll;#ServerLicensingGetPolicyInformationA
ServerLicensingGetPolicyInformationW;code;WINSTA.dll;#ServerLicensingGetPolicyInformationW
ServerLicensingLoadPolicy;code;WINSTA.dll;#ServerLicensingLoadPolicy
ServerLicensingOpenA;code;WINSTA.dll;#ServerLicensingOpenA
ServerLicensingOpenW;code;WINSTA.dll;#ServerLicensingOpenW
ServerLicensingSetAadInfo;code;WINSTA.dll;#ServerLicensingSetAadInfo
ServerLicensingSetPolicy;code;WINSTA.dll;#ServerLicensingSetPolicy
ServerLicensingUnloadPolicy;code;WINSTA.dll;#ServerLicensingUnloadPolicy
ServerQueryInetConnectorInformationA;code;WINSTA.dll;#ServerQueryInetConnectorInformationA
ServerQueryInetConnectorInformationW;code;WINSTA.dll;#ServerQueryInetConnectorInformationW
ServerSetInternetConnectorStatus;code;WINSTA.dll;#ServerSetInternetConnectorStatus
WTSRegisterSessionNotificationEx;code;WINSTA.dll;#WTSRegisterSessionNotificationEx
WTSUnRegisterSessionNotificationEx;code;WINSTA.dll;#WTSUnRegisterSessionNotificationEx
WinStationActivateLicense;code;WINSTA.dll;#WinStationActivateLicense
WinStationAutoReconnect;code;WINSTA.dll;#WinStationAutoReconnect
WinStationBroadcastSystemMessage;code;WINSTA.dll;#WinStationBroadcastSystemMessage
WinStationCheckAccess;code;WINSTA.dll;#WinStationCheckAccess
WinStationCheckLoopBack;code;WINSTA.dll;#WinStationCheckLoopBack
WinStationCloseServer;code;WINSTA.dll;#WinStationCloseServer
WinStationConnectA;code;WINSTA.dll;#WinStationConnectA
WinStationConnectAndLockDesktop;code;WINSTA.dll;#WinStationConnectAndLockDesktop
WinStationConnectCallback;code;WINSTA.dll;#WinStationConnectCallback
WinStationConnectEx;code;WINSTA.dll;#WinStationConnectEx
WinStationConnectW;code;WINSTA.dll;#WinStationConnectW
WinStationConsumeCacheSession;code;WINSTA.dll;#WinStationConsumeCacheSession
WinStationCreateChildSessionTransport;code;WINSTA.dll;#WinStationCreateChildSessionTransport
WinStationDisconnect;code;WINSTA.dll;#WinStationDisconnect
WinStationEnableChildSessions;code;WINSTA.dll;#WinStationEnableChildSessions
WinStationEnumerateA;code;WINSTA.dll;#WinStationEnumerateA
WinStationEnumerateContainerSessions;code;WINSTA.dll;#WinStationEnumerateContainerSessions
WinStationEnumerateExW;code;WINSTA.dll;#WinStationEnumerateExW
WinStationEnumerateLicenses;code;WINSTA.dll;#WinStationEnumerateLicenses
WinStationEnumerateProcesses;code;WINSTA.dll;#WinStationEnumerateProcesses
WinStationEnumerateW;code;WINSTA.dll;#WinStationEnumerateW
WinStationEnumerate_IndexedA;code;WINSTA.dll;#WinStationEnumerate_IndexedA
WinStationEnumerate_IndexedW;code;WINSTA.dll;#WinStationEnumerate_IndexedW
WinStationFreeConsoleNotification;code;WINSTA.dll;#WinStationFreeConsoleNotification
WinStationFreeEXECENVDATAEX;code;WINSTA.dll;#WinStationFreeEXECENVDATAEX
WinStationFreeGAPMemory;code;WINSTA.dll;#WinStationFreeGAPMemory
WinStationFreeMemory;code;WINSTA.dll;#WinStationFreeMemory
WinStationFreePropertyValue;code;WINSTA.dll;#WinStationFreePropertyValue
WinStationFreeSessionNotification;code;WINSTA.dll;#WinStationFreeSessionNotification
WinStationFreeUserCertificates;code;WINSTA.dll;#WinStationFreeUserCertificates
WinStationFreeUserCredentials;code;WINSTA.dll;#WinStationFreeUserCredentials
WinStationFreeUserSessionInfo;code;WINSTA.dll;#WinStationFreeUserSessionInfo
WinStationGenerateLicense;code;WINSTA.dll;#WinStationGenerateLicense
WinStationGetAllProcesses;code;WINSTA.dll;#WinStationGetAllProcesses
WinStationGetAllSessionsEx;code;WINSTA.dll;#WinStationGetAllSessionsEx
WinStationGetAllSessionsW;code;WINSTA.dll;#WinStationGetAllSessionsW
WinStationGetAllUserSessions;code;WINSTA.dll;#WinStationGetAllUserSessions
WinStationGetChildSessionId;code;WINSTA.dll;#WinStationGetChildSessionId
WinStationGetConnectionProperty;code;WINSTA.dll;#WinStationGetConnectionProperty
WinStationGetCurrentSessionCapabilities;code;WINSTA.dll;#WinStationGetCurrentSessionCapabilities
WinStationGetCurrentSessionConnectionProperty;code;WINSTA.dll;#WinStationGetCurrentSessionConnectionProperty
WinStationGetCurrentSessionTerminalName;code;WINSTA.dll;#WinStationGetCurrentSessionTerminalName
WinStationGetDeviceId;code;WINSTA.dll;#WinStationGetDeviceId
WinStationGetInitialApplication;code;WINSTA.dll;#WinStationGetInitialApplication
WinStationGetLanAdapterNameA;code;WINSTA.dll;#WinStationGetLanAdapterNameA
WinStationGetLanAdapterNameW;code;WINSTA.dll;#WinStationGetLanAdapterNameW
WinStationGetLastWinlogonNotification;code;WINSTA.dll;#WinStationGetLastWinlogonNotification
