Name;Type;DLL;SymbolOrOrdinal
WofEnumEntries;code;WOFUTIL.dll;#WofEnumEntries
WofFileEnumFiles;code;WOFUTIL.dll;#WofFileEnumFiles
WofGetDriverVersion;code;WOFUTIL.dll;#WofGetDriverVersion
WofIsExternalFile;code;WOFUTIL.dll;#WofIsExternalFile
WofSetFileDataLocation;code;WOFUTIL.dll;#WofSetFileDataLocation
WofShouldCompressBinaries;code;WOFUTIL.dll;#WofShouldCompressBinaries
WofWimAddEntry;code;WOFUTIL.dll;#WofWimAddEntry
WofWimEnumFiles;code;WOFUTIL.dll;#WofWimEnumFiles
WofWimRemoveEntry;code;WOFUTIL.dll;#WofWimRemoveEntry
WofWimSuspendEntry;code;WOFUTIL.dll;#WofWimSuspendEntry
WofWimUpdateEntry;code;WOFUTIL.dll;#WofWimUpdateEntry
WofEnumEntries;code;WOFUTIL.dll;
WofFileEnumFiles;code;WOFUTIL.dll;
WofGetDriverVersion;code;WOFUTIL.dll;
WofIsExternalFile;code;WOFUTIL.dll;
WofSetFileDataLocation;code;WOFUTIL.dll;
WofShouldCompressBinaries;code;WOFUTIL.dll;
WofWimAddEntry;code;WOFUTIL.dll;
WofWimEnumFiles;code;WOFUTIL.dll;
WofWimRemoveEntry;code;WOFUTIL.dll;
WofWimSuspendEntry;code;WOFUTIL.dll;
WofWimUpdateEntry;code;WOFUTIL.dll;
