Name;Type;DLL;SymbolOrOrdinal
LogErrorA;code;rtutils.dll;_LogErrorA@16
LogErrorW;code;rtutils.dll;_LogErrorW@16
LogEventA;code;rtutils.dll;_LogEventA@16
LogEventW;code;rtutils.dll;_LogEventW@16
MprSetupProtocolEnum;code;rtutils.dll;_MprSetupProtocolEnum@12
MprSetupProtocolFree;code;rtutils.dll;_MprSetupProtocolFree@4
RouterAssert;code;rtutils.dll;_RouterAssert@16
RouterGetErrorStringA;code;rtutils.dll;_RouterGetErrorStringA@8
RouterGetErrorStringW;code;rtutils.dll;_RouterGetErrorStringW@8
RouterLogDeregisterA;code;rtutils.dll;_RouterLogDeregisterA@4
RouterLogDeregisterW;code;rtutils.dll;_RouterLogDeregisterW@4
RouterLogEventA;code;rtutils.dll;_RouterLogEventA@24
RouterLogEventDataA;code;rtutils.dll;_RouterLogEventDataA@28
RouterLogEventDataW;code;rtutils.dll;_RouterLogEventDataW@28
RouterLogEventExA;code;rtutils.dll;_RouterLogEventExA
RouterLogEventExW;code;rtutils.dll;_RouterLogEventExW
RouterLogEventStringA;code;rtutils.dll;_RouterLogEventStringA@28
RouterLogEventStringW;code;rtutils.dll;_RouterLogEventStringW@28
RouterLogEventValistExA;code;rtutils.dll;_RouterLogEventValistExA@24
RouterLogEventValistExW;code;rtutils.dll;_RouterLogEventValistExW@24
RouterLogEventW;code;rtutils.dll;_RouterLogEventW@24
RouterLogRegisterA;code;rtutils.dll;_RouterLogRegisterA@4
RouterLogRegisterW;code;rtutils.dll;_RouterLogRegisterW@4
TraceDeregisterA;code;rtutils.dll;_TraceDeregisterA@4
TraceDeregisterExA;code;rtutils.dll;_TraceDeregisterExA@8
TraceDeregisterExW;code;rtutils.dll;_TraceDeregisterExW@8
TraceDeregisterW;code;rtutils.dll;_TraceDeregisterW@4
TraceDumpExA;code;rtutils.dll;_TraceDumpExA@28
TraceDumpExW;code;rtutils.dll;_TraceDumpExW@28
TraceGetConsoleA;code;rtutils.dll;_TraceGetConsoleA@8
TraceGetConsoleW;code;rtutils.dll;_TraceGetConsoleW@8
TracePrintfA;code;rtutils.dll;_TracePrintfA
TracePrintfExA;code;rtutils.dll;_TracePrintfExA
TracePrintfExW;code;rtutils.dll;_TracePrintfExW
TracePrintfW;code;rtutils.dll;_TracePrintfW
TracePutsExA;code;rtutils.dll;_TracePutsExA@12
TracePutsExW;code;rtutils.dll;_TracePutsExW@12
TraceRegisterExA;code;rtutils.dll;_TraceRegisterExA@8
TraceRegisterExW;code;rtutils.dll;_TraceRegisterExW@8
TraceVprintfExA;code;rtutils.dll;_TraceVprintfExA@16
TraceVprintfExW;code;rtutils.dll;_TraceVprintfExW@16
