Name;Type;DLL;SymbolOrOrdinal
DsAddSidHistoryA;code;NTDSAPI.dll;
DsAddSidHistoryW;code;NTDSAPI.dll;
DsBindA;code;NTDSAPI.dll;
DsBindByInstanceA;code;NTDSAPI.dll;
DsBindByInstanceW;code;NTDSAPI.dll;
DsBindToISTGA;code;NTDSAPI.dll;
DsBindToISTGW;code;NTDSAPI.dll;
DsBindW;code;NTDSAPI.dll;
DsBindWithCredA;code;NTDSAPI.dll;
DsBindWithCredW;code;NTDSAPI.dll;
DsBindWithSpnA;code;NTDSAPI.dll;
DsBindWithSpnExA;code;NTDSAPI.dll;
DsBindWithSpnExW;code;NTDSAPI.dll;
DsBindWithSpnW;code;NTDSAPI.dll;
DsBindingSetTimeout;code;NTDSAPI.dll;
DsClientMakeSpnForTargetServerA;code;NTDSAPI.dll;
DsClientMakeSpnForTargetServerW;code;NTDSAPI.dll;
DsCrackNamesA;code;NTDSAPI.dll;
DsCrackNamesW;code;NTDSAPI.dll;
DsCrackSpn2A;code;NTDSAPI.dll;
DsCrackSpn2W;code;NTDSAPI.dll;
DsCrackSpn3W;code;NTDSAPI.dll;
DsCrackSpn4W;code;NTDSAPI.dll;
DsCrackSpnA;code;NTDSAPI.dll;
DsCrackSpnW;code;NTDSAPI.dll;
DsCrackUnquotedMangledRdnA;code;NTDSAPI.dll;
DsCrackUnquotedMangledRdnW;code;NTDSAPI.dll;
DsFinishDemotionW;code;NTDSAPI.dll;
DsFreeDomainControllerInfoA;code;NTDSAPI.dll;
DsFreeDomainControllerInfoW;code;NTDSAPI.dll;
DsFreeNameResultA;code;NTDSAPI.dll;
DsFreeNameResultW;code;NTDSAPI.dll;
DsFreePasswordCredentials;code;NTDSAPI.dll;
DsFreeSchemaGuidMapA;code;NTDSAPI.dll;
DsFreeSchemaGuidMapW;code;NTDSAPI.dll;
DsFreeSpnArrayA;code;NTDSAPI.dll;
DsFreeSpnArrayW;code;NTDSAPI.dll;
DsGetBindAddrW;code;NTDSAPI.dll;
DsGetBindAnnotW;code;NTDSAPI.dll;
DsGetBindInstGuid;code;NTDSAPI.dll;
DsGetDomainControllerInfoA;code;NTDSAPI.dll;
DsGetDomainControllerInfoW;code;NTDSAPI.dll;
DsGetRdnW;code;NTDSAPI.dll;
DsGetSpnA;code;NTDSAPI.dll;
DsGetSpnW;code;NTDSAPI.dll;
DsInheritSecurityIdentityA;code;NTDSAPI.dll;
DsInheritSecurityIdentityW;code;NTDSAPI.dll;
DsInitDemotionW;code;NTDSAPI.dll;
DsIsMangledDnA;code;NTDSAPI.dll;
DsIsMangledDnW;code;NTDSAPI.dll;
DsIsMangledRdnValueA;code;NTDSAPI.dll;
DsIsMangledRdnValueW;code;NTDSAPI.dll;
DsListDomainsInSiteA;code;NTDSAPI.dll;
DsListDomainsInSiteW;code;NTDSAPI.dll;
DsListInfoForServerA;code;NTDSAPI.dll;
DsListInfoForServerW;code;NTDSAPI.dll;
DsListRolesA;code;NTDSAPI.dll;
DsListRolesW;code;NTDSAPI.dll;
DsListServersForDomainInSiteA;code;NTDSAPI.dll;
DsListServersForDomainInSiteW;code;NTDSAPI.dll;
DsListServersInSiteA;code;NTDSAPI.dll;
DsListServersInSiteW;code;NTDSAPI.dll;
DsListSitesA;code;NTDSAPI.dll;
DsListSitesW;code;NTDSAPI.dll;
DsLogEntry;code;NTDSAPI.dll;
DsMakePasswordCredentialsA;code;NTDSAPI.dll;
DsMakePasswordCredentialsW;code;NTDSAPI.dll;
DsMakeSpnA;code;NTDSAPI.dll;
DsMakeSpnW;code;NTDSAPI.dll;
DsMapSchemaGuidsA;code;NTDSAPI.dll;
DsMapSchemaGuidsW;code;NTDSAPI.dll;
DsQuerySitesByCostA;code;NTDSAPI.dll;
DsQuerySitesByCostW;code;NTDSAPI.dll;
DsQuerySitesFree;code;NTDSAPI.dll;
DsQuoteRdnValueA;code;NTDSAPI.dll;
DsQuoteRdnValueW;code;NTDSAPI.dll;
DsRemoveDsDomainA;code;NTDSAPI.dll;
DsRemoveDsDomainW;code;NTDSAPI.dll;
DsRemoveDsServerA;code;NTDSAPI.dll;
DsRemoveDsServerW;code;NTDSAPI.dll;
DsReplicaAddA;code;NTDSAPI.dll;
DsReplicaAddW;code;NTDSAPI.dll;
DsReplicaConsistencyCheck;code;NTDSAPI.dll;
DsReplicaDelA;code;NTDSAPI.dll;
DsReplicaDelW;code;NTDSAPI.dll;
DsReplicaDemotionW;code;NTDSAPI.dll;
DsReplicaFreeInfo;code;NTDSAPI.dll;
DsReplicaGetInfo2W;code;NTDSAPI.dll;
DsReplicaGetInfoW;code;NTDSAPI.dll;
DsReplicaModifyA;code;NTDSAPI.dll;
