Name;Type;DLL;SymbolOrOrdinal
BeginPanningFeedback;code;UxTheme.dll;?BeginPanningFeedback@@YAHPEAUHWND__@@@Z (int __cdecl BeginPanningFeedback(struct HWND__ *))
EndPanningFeedback;code;UxTheme.dll;?EndPanningFeedback@@YAHPEAUHWND__@@H@Z (int __cdecl EndPanningFeedback(struct HWND__ *,int))
UpdatePanningFeedback;code;UxTheme.dll;?UpdatePanningFeedback@@YAHPEAUHWND__@@JJH@Z (int __cdecl UpdatePanningFeedback(struct HWND__ *,long,long,int))
BeginBufferedAnimation;code;UxTheme.dll;
BeginBufferedPaint;code;UxTheme.dll;
BufferedPaintClear;code;UxTheme.dll;
BufferedPaintInit;code;UxTheme.dll;
BufferedPaintRenderAnimation;code;UxTheme.dll;
BufferedPaintSetAlpha;code;UxTheme.dll;
BufferedPaintStopAllAnimations;code;UxTheme.dll;
BufferedPaintUnInit;code;UxTheme.dll;
CloseThemeData;code;UxTheme.dll;
DrawThemeBackground;code;UxTheme.dll;
DrawThemeBackgroundEx;code;UxTheme.dll;47
DrawThemeEdge;code;UxTheme.dll;
DrawThemeIcon;code;UxTheme.dll;
DrawThemeParentBackground;code;UxTheme.dll;
DrawThemeParentBackgroundEx;code;UxTheme.dll;
DrawThemeText;code;UxTheme.dll;
DrawThemeTextEx;code;UxTheme.dll;
EnableThemeDialogTexture;code;UxTheme.dll;
EnableTheming;code;UxTheme.dll;
EndBufferedAnimation;code;UxTheme.dll;
EndBufferedPaint;code;UxTheme.dll;
GetBufferedPaintBits;code;UxTheme.dll;
GetBufferedPaintDC;code;UxTheme.dll;
GetBufferedPaintTargetDC;code;UxTheme.dll;
GetBufferedPaintTargetRect;code;UxTheme.dll;
GetCurrentThemeName;code;UxTheme.dll;
GetThemeAppProperties;code;UxTheme.dll;
GetThemeBackgroundContentRect;code;UxTheme.dll;
GetThemeBackgroundExtent;code;UxTheme.dll;
GetThemeBackgroundRegion;code;UxTheme.dll;
GetThemeBitmap;code;UxTheme.dll;
GetThemeBool;code;UxTheme.dll;
GetThemeColor;code;UxTheme.dll;
GetThemeDocumentationProperty;code;UxTheme.dll;
GetThemeEnumValue;code;UxTheme.dll;
GetThemeFilename;code;UxTheme.dll;
GetThemeFont;code;UxTheme.dll;
GetThemeInt;code;UxTheme.dll;
GetThemeIntList;code;UxTheme.dll;
GetThemeMargins;code;UxTheme.dll;
GetThemeMetric;code;UxTheme.dll;
GetThemePartSize;code;UxTheme.dll;
GetThemePosition;code;UxTheme.dll;
GetThemePropertyOrigin;code;UxTheme.dll;
GetThemeRect;code;UxTheme.dll;
GetThemeStream;code;UxTheme.dll;
GetThemeString;code;UxTheme.dll;
GetThemeSysBool;code;UxTheme.dll;
GetThemeSysColor;code;UxTheme.dll;
GetThemeSysColorBrush;code;UxTheme.dll;
GetThemeSysFont;code;UxTheme.dll;
GetThemeSysInt;code;UxTheme.dll;
GetThemeSysSize;code;UxTheme.dll;
GetThemeSysString;code;UxTheme.dll;
GetThemeTextExtent;code;UxTheme.dll;
GetThemeTextMetrics;code;UxTheme.dll;
GetThemeTransitionDuration;code;UxTheme.dll;
GetWindowTheme;code;UxTheme.dll;
HitTestThemeBackground;code;UxTheme.dll;
IsAppThemed;code;UxTheme.dll;
IsCompositionActive;code;UxTheme.dll;
IsThemeActive;code;UxTheme.dll;
IsThemeBackgroundPartiallyTransparent;code;UxTheme.dll;
IsThemeDialogTextureEnabled;code;UxTheme.dll;
IsThemePartDefined;code;UxTheme.dll;
OpenThemeData;code;UxTheme.dll;
OpenThemeDataEx;code;UxTheme.dll;61
SetThemeAppProperties;code;UxTheme.dll;
SetWindowTheme;code;UxTheme.dll;
SetWindowThemeAttribute;code;UxTheme.dll;
ThemeInitApiHook;code;UxTheme.dll;
