Name;Type;DLL;SymbolOrOrdinal
BCryptAddContextFunction;code;ncrypt.dll;
BCryptAddContextFunctionProvider;code;ncrypt.dll;
BCryptCloseAlgorithmProvider;code;ncrypt.dll;
BCryptConfigureContext;code;ncrypt.dll;
BCryptConfigureContextFunction;code;ncrypt.dll;
BCryptCreateContext;code;ncrypt.dll;
BCryptCreateHash;code;ncrypt.dll;
BCryptDecrypt;code;ncrypt.dll;
BCryptDeleteContext;code;ncrypt.dll;
BCryptDeriveKey;code;ncrypt.dll;
BCryptDeriveKeyCapi;code;ncrypt.dll;
BCryptDeriveKeyPBKDF2;code;ncrypt.dll;
BCryptDestroyHash;code;ncrypt.dll;
BCryptDestroyKey;code;ncrypt.dll;
BCryptDestroySecret;code;ncrypt.dll;
BCryptDuplicateHash;code;ncrypt.dll;
BCryptDuplicateKey;code;ncrypt.dll;
BCryptEncrypt;code;ncrypt.dll;
BCryptEnumAlgorithms;code;ncrypt.dll;
BCryptEnumContextFunctionProviders;code;ncrypt.dll;
BCryptEnumContextFunctions;code;ncrypt.dll;
BCryptEnumContexts;code;ncrypt.dll;
BCryptEnumProviders;code;ncrypt.dll;
BCryptEnumRegisteredProviders;code;ncrypt.dll;
BCryptExportKey;code;ncrypt.dll;
BCryptFinalizeKeyPair;code;ncrypt.dll;
BCryptFinishHash;code;ncrypt.dll;
BCryptFreeBuffer;code;ncrypt.dll;
BCryptGenRandom;code;ncrypt.dll;
BCryptGenerateKeyPair;code;ncrypt.dll;
BCryptGenerateSymmetricKey;code;ncrypt.dll;
BCryptGetFipsAlgorithmMode;code;ncrypt.dll;
BCryptGetProperty;code;ncrypt.dll;
BCryptHashData;code;ncrypt.dll;
BCryptImportKey;code;ncrypt.dll;
BCryptImportKeyPair;code;ncrypt.dll;
BCryptOpenAlgorithmProvider;code;ncrypt.dll;
BCryptQueryContextConfiguration;code;ncrypt.dll;
BCryptQueryContextFunctionConfiguration;code;ncrypt.dll;
BCryptQueryContextFunctionProperty;code;ncrypt.dll;
BCryptQueryProviderRegistration;code;ncrypt.dll;
BCryptRegisterConfigChangeNotify;code;ncrypt.dll;
BCryptRegisterProvider;code;ncrypt.dll;
BCryptRemoveContextFunction;code;ncrypt.dll;
BCryptRemoveContextFunctionProvider;code;ncrypt.dll;
BCryptResolveProviders;code;ncrypt.dll;
BCryptSecretAgreement;code;ncrypt.dll;
BCryptSetAuditingInterface;code;ncrypt.dll;
BCryptSetContextFunctionProperty;code;ncrypt.dll;
BCryptSetProperty;code;ncrypt.dll;
BCryptSignHash;code;ncrypt.dll;
BCryptUnregisterConfigChangeNotify;code;ncrypt.dll;
BCryptUnregisterProvider;code;ncrypt.dll;
BCryptVerifySignature;code;ncrypt.dll;
GetIsolationServerInterface;code;ncrypt.dll;
GetKeyStorageInterface;code;ncrypt.dll;
GetSChannelInterface;code;ncrypt.dll;
NCryptCreatePersistedKey;code;ncrypt.dll;
NCryptDecrypt;code;ncrypt.dll;
NCryptDeleteKey;code;ncrypt.dll;
NCryptDeriveKey;code;ncrypt.dll;
NCryptEncrypt;code;ncrypt.dll;
NCryptEnumAlgorithms;code;ncrypt.dll;
NCryptEnumKeys;code;ncrypt.dll;
NCryptEnumStorageProviders;code;ncrypt.dll;
NCryptExportKey;code;ncrypt.dll;
NCryptFinalizeKey;code;ncrypt.dll;
NCryptFreeBuffer;code;ncrypt.dll;
NCryptFreeObject;code;ncrypt.dll;
NCryptGetProperty;code;ncrypt.dll;
NCryptImportKey;code;ncrypt.dll;
NCryptIsAlgSupported;code;ncrypt.dll;
NCryptIsKeyHandle;code;ncrypt.dll;
NCryptNotifyChangeKey;code;ncrypt.dll;
NCryptOpenKey;code;ncrypt.dll;
NCryptOpenStorageProvider;code;ncrypt.dll;
NCryptSecretAgreement;code;ncrypt.dll;
NCryptSetAuditingInterface;code;ncrypt.dll;
NCryptSetProperty;code;ncrypt.dll;
NCryptSignHash;code;ncrypt.dll;
NCryptTranslateHandle;code;ncrypt.dll;
NCryptVerifySignature;code;ncrypt.dll;
SslChangeNotify;code;ncrypt.dll;
SslComputeClientAuthHash;code;ncrypt.dll;
SslComputeEapKeyBlock;code;ncrypt.dll;
SslComputeFinishedHash;code;ncrypt.dll;
SslCreateClientAuthHash;code;ncrypt.dll;
SslCreateEphemeralKey;code;ncrypt.dll;
SslCreateHandshakeHash;code;ncrypt.dll;
SslDecrementProviderReferenceCount;code;ncrypt.dll;
SslDecryptPacket;code;ncrypt.dll;
SslEncryptPacket;code;ncrypt.dll;
SslEnumCipherSuites;code;ncrypt.dll;
SslEnumProtocolProviders;code;ncrypt.dll;
SslExportKey;code;ncrypt.dll;
SslFreeBuffer;code;ncrypt.dll;
SslFreeObject;code;ncrypt.dll;
SslGenerateMasterKey;code;ncrypt.dll;
SslGenerateSessionKeys;code;ncrypt.dll;
SslGetCipherSuitePRFHashAlgorithm;code;ncrypt.dll;
SslGetKeyProperty;code;ncrypt.dll;
SslGetProviderProperty;code;ncrypt.dll;
SslHashHandshake;code;ncrypt.dll;
SslImportKey;code;ncrypt.dll;
SslImportMasterKey;code;ncrypt.dll;
SslIncrementProviderReferenceCount;code;ncrypt.dll;
SslLookupCipherLengths;code;ncrypt.dll;
SslLookupCipherSuiteInfo;code;ncrypt.dll;
SslOpenPrivateKey;code;ncrypt.dll;
SslOpenProvider;code;ncrypt.dll;
SslSignHash;code;ncrypt.dll;
SslVerifySignature;code;ncrypt.dll;
