Name;Type;DLL;SymbolOrOrdinal
AddressToString;code;PARSER.dll;
BERGetHeader;code;PARSER.dll;
BERGetInteger;code;PARSER.dll;
BERGetString;code;PARSER.dll;
BuildINIPath;code;PARSER.dll;
CanonHex;code;PARSER.dll;
FormatByteFlags;code;PARSER.dll;
FormatDwordFlags;code;PARSER.dll;
FormatLabeledByteSet;code;PARSER.dll;
FormatLabeledByteSetAsFlags;code;PARSER.dll;
FormatLabeledDwordSet;code;PARSER.dll;
FormatLabeledDwordSetAsFlags;code;PARSER.dll;
FormatLabeledWordSet;code;PARSER.dll;
FormatLabeledWordSetAsFlags;code;PARSER.dll;
FormatPropertyDataAsHexString;code;PARSER.dll;
FormatPropertyDataAsInt64;code;PARSER.dll;
FormatPropertyDataAsString;code;PARSER.dll;
FormatPropertyDataAsTime;code;PARSER.dll;
FormatPropertyDataAsWord;code;PARSER.dll;
FormatTimeAsString;code;PARSER.dll;
FormatWordFlags;code;PARSER.dll;
GetEtype;code;PARSER.dll;
GetProtocolDescription;code;PARSER.dll;
GetProtocolDescriptionTable;code;PARSER.dll;
GetSaps;code;PARSER.dll;
IsLLCPresent;code;PARSER.dll;
LookupByteSetString;code;PARSER.dll;
LookupDwordSetString;code;PARSER.dll;
LookupWordSetString;code;PARSER.dll;
StringToAddress;code;PARSER.dll;
VarLenSmallIntToDword;code;PARSER.dll;
byte_flag_to_string;code;PARSER.dll;
dword_flag_to_string;code;PARSER.dll;
fm_byte10;code;PARSER.dll;
fm_byte16;code;PARSER.dll;
fm_byte_flags;code;PARSER.dll;
fm_byte_set;code;PARSER.dll;
fm_dword10;code;PARSER.dll;
fm_dword16;code;PARSER.dll;
fm_dword_flags;code;PARSER.dll;
fm_dword_set;code;PARSER.dll;
fm_hex_string;code;PARSER.dll;
fm_largeint16;code;PARSER.dll;
fm_property_name;code;PARSER.dll;
fm_string;code;PARSER.dll;
fm_swap_dword10;code;PARSER.dll;
fm_swap_dword16;code;PARSER.dll;
fm_swap_word10;code;PARSER.dll;
fm_swap_word16;code;PARSER.dll;
fm_time;code;PARSER.dll;
fm_time_ex;code;PARSER.dll;
fm_word10;code;PARSER.dll;
fm_word16;code;PARSER.dll;
fm_word_flags;code;PARSER.dll;
fm_word_set;code;PARSER.dll;
hex_canon;code;PARSER.dll;
hex_canon2;code;PARSER.dll;
itoa1;code;PARSER.dll;
prop_name_equals;code;PARSER.dll;
property_name;code;PARSER.dll;
strcpy1;code;PARSER.dll;
time_string;code;PARSER.dll;
word_flag_to_string;code;PARSER.dll;
