Name;Type;DLL;SymbolOrOrdinal
_AddMRUStringW@8;code;COMCTL32.dll;401
_CreateMRUListW@4;code;COMCTL32.dll;400
_CreateMappedBitmap@20;code;COMCTL32.dll;8
CreatePropertySheetPage;code;COMCTL32.dll;_CreatePropertySheetPage@4
CreatePropertySheetPageA;code;COMCTL32.dll;_CreatePropertySheetPageA@4
CreatePropertySheetPageW;code;COMCTL32.dll;_CreatePropertySheetPageW@4
CreateStatusWindow;code;COMCTL32.dll;_CreateStatusWindow@16
_CreateStatusWindowA@16;code;COMCTL32.dll;6
CreateStatusWindowW;code;COMCTL32.dll;_CreateStatusWindowW@16
_CreateToolbar@32;code;COMCTL32.dll;7
CreateToolbarEx;code;COMCTL32.dll;_CreateToolbarEx@52
_CreateUpDownControl@48;code;COMCTL32.dll;16
_DPA_Clone@8;code;COMCTL32.dll;331
_DPA_Create@4;code;COMCTL32.dll;328
_DPA_CreateEx@8;code;COMCTL32.dll;340
_DPA_DeleteAllPtrs@4;code;COMCTL32.dll;337
_DPA_DeletePtr@8;code;COMCTL32.dll;336
_DPA_Destroy@4;code;COMCTL32.dll;329
_DPA_DestroyCallback@12;code;COMCTL32.dll;386
_DPA_EnumCallback@12;code;COMCTL32.dll;385
_DPA_GetPtr@8;code;COMCTL32.dll;332
_DPA_GetPtrIndex@8;code;COMCTL32.dll;333
_DPA_GetSize@4;code;COMCTL32.dll;347
_DPA_Grow@8;code;COMCTL32.dll;330
_DPA_InsertPtr@12;code;COMCTL32.dll;334
_DPA_LoadStream@16;code;COMCTL32.dll;9
_DPA_Merge@24;code;COMCTL32.dll;11
_DPA_SaveStream@16;code;COMCTL32.dll;10
_DPA_Search@24;code;COMCTL32.dll;339
_DPA_SetPtr@12;code;COMCTL32.dll;335
_DPA_Sort@12;code;COMCTL32.dll;338
_DSA_Clone@4;code;COMCTL32.dll;343
_DSA_Create@8;code;COMCTL32.dll;320
_DSA_DeleteAllItems@4;code;COMCTL32.dll;327
_DSA_DeleteItem@8;code;COMCTL32.dll;326
_DSA_Destroy@4;code;COMCTL32.dll;321
_DSA_DestroyCallback@12;code;COMCTL32.dll;388
_DSA_EnumCallback@12;code;COMCTL32.dll;387
_DSA_GetItem@12;code;COMCTL32.dll;322
_DSA_GetItemPtr@8;code;COMCTL32.dll;323
_DSA_GetSize@4;code;COMCTL32.dll;348
_DSA_InsertItem@12;code;COMCTL32.dll;324
_DSA_SetItem@12;code;COMCTL32.dll;325
_DSA_Sort@12;code;COMCTL32.dll;346
_DefSubclassProc@16;code;COMCTL32.dll;413
DestroyPropertySheetPage;code;COMCTL32.dll;_DestroyPropertySheetPage@4
_DrawInsert@12;code;COMCTL32.dll;15
DrawShadowText;code;COMCTL32.dll;_DrawShadowText@36
DrawStatusText;code;COMCTL32.dll;_DrawStatusText@16
_DrawStatusTextA@16;code;COMCTL32.dll;5
DrawStatusTextW;code;COMCTL32.dll;_DrawStatusTextW@16
_EnumMRUListW@16;code;COMCTL32.dll;403
FlatSB_EnableScrollBar;code;COMCTL32.dll;_FlatSB_EnableScrollBar@12
FlatSB_GetScrollInfo;code;COMCTL32.dll;_FlatSB_GetScrollInfo@12
FlatSB_GetScrollPos;code;COMCTL32.dll;_FlatSB_GetScrollPos@8
FlatSB_GetScrollProp;code;COMCTL32.dll;_FlatSB_GetScrollProp@12
FlatSB_GetScrollRange;code;COMCTL32.dll;_FlatSB_GetScrollRange@16
FlatSB_SetScrollInfo;code;COMCTL32.dll;_FlatSB_SetScrollInfo@16
FlatSB_SetScrollPos;code;COMCTL32.dll;_FlatSB_SetScrollPos@16
FlatSB_SetScrollProp;code;COMCTL32.dll;_FlatSB_SetScrollProp@16
FlatSB_SetScrollRange;code;COMCTL32.dll;_FlatSB_SetScrollRange@20
FlatSB_ShowScrollBar;code;COMCTL32.dll;_FlatSB_ShowScrollBar@12
_FreeMRUList@4;code;COMCTL32.dll;152
_GetEffectiveClientRect@12;code;COMCTL32.dll;4
GetMUILanguage;code;COMCTL32.dll;_GetMUILanguage@0
_GetWindowSubclass@16;code;COMCTL32.dll;411
HIMAGELIST_QueryInterface;code;COMCTL32.dll;_HIMAGELIST_QueryInterface@12
ImageList_Add;code;COMCTL32.dll;_ImageList_Add@12
ImageList_AddIcon;code;COMCTL32.dll;_ImageList_AddIcon@8
ImageList_AddMasked;code;COMCTL32.dll;_ImageList_AddMasked@12
ImageList_BeginDrag;code;COMCTL32.dll;_ImageList_BeginDrag@16
ImageList_CoCreateInstance;code;COMCTL32.dll;_ImageList_CoCreateInstance@16
ImageList_Copy;code;COMCTL32.dll;_ImageList_Copy@20
ImageList_Create;code;COMCTL32.dll;_ImageList_Create@20
ImageList_Destroy;code;COMCTL32.dll;_ImageList_Destroy@4
ImageList_DragEnter;code;COMCTL32.dll;_ImageList_DragEnter@12
ImageList_DragLeave;code;COMCTL32.dll;_ImageList_DragLeave@4
ImageList_DragMove;code;COMCTL32.dll;_ImageList_DragMove@8
ImageList_DragShowNolock;code;COMCTL32.dll;_ImageList_DragShowNolock@4
ImageList_Draw;code;COMCTL32.dll;_ImageList_Draw@24
ImageList_DrawEx;code;COMCTL32.dll;_ImageList_DrawEx@40
ImageList_DrawIndirect;code;COMCTL32.dll;_ImageList_DrawIndirect@4
ImageList_Duplicate;code;COMCTL32.dll;_ImageList_Duplicate@4
ImageList_EndDrag;code;COMCTL32.dll;_ImageList_EndDrag@0
ImageList_GetBkColor;code;COMCTL32.dll;_ImageList_GetBkColor@4
ImageList_GetDragImage;code;COMCTL32.dll;_ImageList_GetDragImage@8
ImageList_GetIcon;code;COMCTL32.dll;_ImageList_GetIcon@12
ImageList_GetIconSize;code;COMCTL32.dll;_ImageList_GetIconSize@12
ImageList_GetImageCount;code;COMCTL32.dll;_ImageList_GetImageCount@4
ImageList_GetImageInfo;code;COMCTL32.dll;_ImageList_GetImageInfo@12
ImageList_GetImageRect;code;COMCTL32.dll;_ImageList_GetImageRect@12
ImageList_LoadImage;code;COMCTL32.dll;_ImageList_LoadImage@28
ImageList_LoadImageA;code;COMCTL32.dll;_ImageList_LoadImageA@28
ImageList_LoadImageW;code;COMCTL32.dll;_ImageList_LoadImageW@28
ImageList_Merge;code;COMCTL32.dll;_ImageList_Merge@24
ImageList_Read;code;COMCTL32.dll;_ImageList_Read@4
ImageList_ReadEx;code;COMCTL32.dll;_ImageList_ReadEx@16
ImageList_Remove;code;COMCTL32.dll;_ImageList_Remove@8
ImageList_Replace;code;COMCTL32.dll;_ImageList_Replace@16
ImageList_ReplaceIcon;code;COMCTL32.dll;_ImageList_ReplaceIcon@12
ImageList_SetBkColor;code;COMCTL32.dll;_ImageList_SetBkColor@8
ImageList_SetDragCursorImage;code;COMCTL32.dll;_ImageList_SetDragCursorImage@16
ImageList_SetFilter;code;COMCTL32.dll;_ImageList_SetFilter@12
ImageList_SetIconSize;code;COMCTL32.dll;_ImageList_SetIconSize@12
ImageList_SetImageCount;code;COMCTL32.dll;_ImageList_SetImageCount@8
ImageList_SetOverlayImage;code;COMCTL32.dll;_ImageList_SetOverlayImage@12
ImageList_Write;code;COMCTL32.dll;_ImageList_Write@8
ImageList_WriteEx;code;COMCTL32.dll;_ImageList_WriteEx@12
_InitCommonControls@0;code;COMCTL32.dll;17
