Name;Type;DLL;SymbolOrOrdinal
ChooseColorA;code;COMDLG32.dll;_ChooseColorA@4
ChooseColorW;code;COMDLG32.dll;_ChooseColorW@4
ChooseFontA;code;COMDLG32.dll;_ChooseFontA@4
ChooseFontW;code;COMDLG32.dll;_ChooseFontW@4
CommDlgExtendedError;code;COMDLG32.dll;_CommDlgExtendedError@0
FindTextA;code;COMDLG32.dll;_FindTextA@4
FindTextW;code;COMDLG32.dll;_FindTextW@4
GetFileTitleA;code;COMDLG32.dll;_GetFileTitleA@12
GetFileTitleW;code;COMDLG32.dll;_GetFileTitleW@12
GetOpenFileNameA;code;COMDLG32.dll;_GetOpenFileNameA@4
GetOpenFileNameW;code;COMDLG32.dll;_GetOpenFileNameW@4
GetSaveFileNameA;code;COMDLG32.dll;_GetSaveFileNameA@4
GetSaveFileNameW;code;COMDLG32.dll;_GetSaveFileNameW@4
PageSetupDlgA;code;COMDLG32.dll;_PageSetupDlgA@4
PageSetupDlgW;code;COMDLG32.dll;_PageSetupDlgW@4
PrintDlgA;code;COMDLG32.dll;_PrintDlgA@4
PrintDlgExA;code;COMDLG32.dll;_PrintDlgExA@4
PrintDlgExW;code;COMDLG32.dll;_PrintDlgExW@4
PrintDlgW;code;COMDLG32.dll;_PrintDlgW@4
ReplaceTextA;code;COMDLG32.dll;_ReplaceTextA@4
ReplaceTextW;code;COMDLG32.dll;_ReplaceTextW@4
