Name;Type;DLL;SymbolOrOrdinal
_CheckDsPolicy@8;code;dsuiext.dll;575
_DsBrowseForContainerA@4;code;dsuiext.dll;9
_DsBrowseForContainerW@4;code;dsuiext.dll;10
_DsGetFriendlyClassName@12;code;dsuiext.dll;259
_DsGetIcon@16;code;dsuiext.dll;257
_FormatDirectoryName@12;code;dsuiext.dll;578
_FormatMsgBox;code;dsuiext.dll;571
_FormatMsgResource;code;dsuiext.dll;570
_GetArrayContents@12;code;dsuiext.dll;576
_GetDisplayNameFromADsPath@20;code;dsuiext.dll;574
_GetStringElementA@16;code;dsuiext.dll;562
_GetStringElementW@16;code;dsuiext.dll;563
_LocalAllocStringA2W@8;code;dsuiext.dll;544
_LocalAllocStringA@8;code;dsuiext.dll;520
_LocalAllocStringLenA@8;code;dsuiext.dll;521
_LocalAllocStringLenW@8;code;dsuiext.dll;541
_LocalAllocStringW2A@8;code;dsuiext.dll;524
_LocalAllocStringW@8;code;dsuiext.dll;540
_LocalFreeStringA@4;code;dsuiext.dll;522
_LocalFreeStringW@4;code;dsuiext.dll;542
_LocalQueryStringA@12;code;dsuiext.dll;523
_LocalQueryStringW@12;code;dsuiext.dll;543
_ObjectClassFromSearchColumn@8;code;dsuiext.dll;573
_PutStringElementA@16;code;dsuiext.dll;560
_PutStringElementW@16;code;dsuiext.dll;561
_ShowDirectoryUI@0;code;dsuiext.dll;577
_StringDPA_AppendStringA@12;code;dsuiext.dll;514
_StringDPA_AppendStringW@12;code;dsuiext.dll;515
_StringDPA_DeleteString@8;code;dsuiext.dll;516
_StringDPA_Destroy@4;code;dsuiext.dll;517
_StringDPA_InsertStringA@12;code;dsuiext.dll;512
_StringDPA_InsertStringW@12;code;dsuiext.dll;513
_StringFromSearchColumn@8;code;dsuiext.dll;572
