Name;Type;DLL;SymbolOrOrdinal
_BSTR_UserFree@8;code;OLEAUT32.dll;286
_BSTR_UserMarshal@12;code;OLEAUT32.dll;284
_BSTR_UserSize@12;code;OLEAUT32.dll;283
_BSTR_UserUnmarshal@12;code;OLEAUT32.dll;285
_BstrFromVector@8;code;OLEAUT32.dll;414
_ClearCustData@4;code;OLEAUT32.dll;171
_CreateDispTypeInfo@12;code;OLEAUT32.dll;31
_CreateErrorInfo@4;code;OLEAUT32.dll;202
_CreateStdDispatch@16;code;OLEAUT32.dll;32
_CreateTypeLib2@12;code;OLEAUT32.dll;180
_CreateTypeLib@12;code;OLEAUT32.dll;160
_DispCallFunc@32;code;OLEAUT32.dll;146
_DispGetIDsOfNames@16;code;OLEAUT32.dll;29
_DispGetParam@20;code;OLEAUT32.dll;28
_DispInvoke@32;code;OLEAUT32.dll;30
_DosDateTimeToVariantTime@12;code;OLEAUT32.dll;14
_GetActiveObject@12;code;OLEAUT32.dll;35
_GetAltMonthNames@8;code;OLEAUT32.dll;332
_GetErrorInfo@8;code;OLEAUT32.dll;200
_GetRecordInfoFromGuids@24;code;OLEAUT32.dll;322
_GetRecordInfoFromTypeInfo@8;code;OLEAUT32.dll;323
_GetVarConversionLocaleSetting@4;code;OLEAUT32.dll;326
_LHashValOfNameSys@12;code;OLEAUT32.dll;165
_LHashValOfNameSysA@12;code;OLEAUT32.dll;166
_LPSAFEARRAY_Marshal@16;code;OLEAUT32.dll;296
_LPSAFEARRAY_Size@16;code;OLEAUT32.dll;295
_LPSAFEARRAY_Unmarshal@16;code;OLEAUT32.dll;297
_LPSAFEARRAY_UserFree@8;code;OLEAUT32.dll;294
_LPSAFEARRAY_UserMarshal@12;code;OLEAUT32.dll;292
_LPSAFEARRAY_UserSize@12;code;OLEAUT32.dll;291
_LPSAFEARRAY_UserUnmarshal@12;code;OLEAUT32.dll;293
_LoadRegTypeLib@20;code;OLEAUT32.dll;162
_LoadTypeLib@8;code;OLEAUT32.dll;161
_LoadTypeLibEx@12;code;OLEAUT32.dll;183
OACreateTypeLib2;code;OLEAUT32.dll;_OACreateTypeLib2@12
_OaBuildVersion@0;code;OLEAUT32.dll;170
_OaEnablePerUserTLibRegistration@0;code;OLEAUT32.dll;444
_OleCreateFontIndirect@12;code;OLEAUT32.dll;420
_OleCreatePictureIndirect@16;code;OLEAUT32.dll;419
_OleCreatePropertyFrame@44;code;OLEAUT32.dll;417
_OleCreatePropertyFrameIndirect@4;code;OLEAUT32.dll;416
_OleIconToCursor@8;code;OLEAUT32.dll;415
_OleLoadPicture@20;code;OLEAUT32.dll;418
_OleLoadPictureEx@32;code;OLEAUT32.dll;401
_OleLoadPictureFile@20;code;OLEAUT32.dll;422
_OleLoadPictureFileEx@32;code;OLEAUT32.dll;402
_OleLoadPicturePath@24;code;OLEAUT32.dll;424
_OleSavePictureFile@8;code;OLEAUT32.dll;423
_OleTranslateColor@12;code;OLEAUT32.dll;421
_QueryPathOfRegTypeLib@20;code;OLEAUT32.dll;164
_RegisterActiveObject@16;code;OLEAUT32.dll;33
_RegisterTypeLib@12;code;OLEAUT32.dll;163
