Name;Type;DLL;SymbolOrOrdinal
WerSysprepCleanup;code;wer.dll;?WerSysprepCleanup@@YGKXZ (unsigned long __stdcall WerSysprepCleanup(void))
WerSysprepGeneralize;code;wer.dll;?WerSysprepGeneralize@@YGKXZ (unsigned long __stdcall WerSysprepGeneralize(void))
WerSysprepSpecialize;code;wer.dll;?WerSysprepSpecialize@@YGKXZ (unsigned long __stdcall WerSysprepSpecialize(void))
WerUnattendedSetup;code;wer.dll;?WerUnattendedSetup@@YGXXZ (void __stdcall WerUnattendedSetup(void))
WerpAddAppCompatData;code;wer.dll;?WerpAddAppCompatData@@YGJPAXPBG1@Z (long __stdcall WerpAddAppCompatData(void *,unsigned short const *,unsigned short const *))
WerpAddFile;code;wer.dll;?WerpAddFile@@YGJPAXPBGW4_WER_FILE_TYPE@@K11@Z (long __stdcall WerpAddFile(void *,unsigned short const *,enum _WER_FILE_TYPE,unsigned long,unsigned short const *,unsigned short const *))
WerpAddMemoryBlock;code;wer.dll;?WerpAddMemoryBlock@@YGJPAX0K@Z (long __stdcall WerpAddMemoryBlock(void *,void *,unsigned long))
WerpAddRegisteredDataToReport;code;wer.dll;?WerpAddRegisteredDataToReport@@YGJPAX0@Z (long __stdcall WerpAddRegisteredDataToReport(void *,void *))
WerpAddSecondaryParameter;code;wer.dll;?WerpAddSecondaryParameter@@YGJPAXPBG1@Z (long __stdcall WerpAddSecondaryParameter(void *,unsigned short const *,unsigned short const *))
WerpAddTextToReport;code;wer.dll;?WerpAddTextToReport@@YGJPAXPBG1@Z (long __stdcall WerpAddTextToReport(void *,unsigned short const *,unsigned short const *))
WerpArchiveReport;code;wer.dll;?WerpArchiveReport@@YGJPAXPBGHPAPAXPAH@Z (long __stdcall WerpArchiveReport(void *,unsigned short const *,int,void * *,int *))
WerpCancelResponseDownload;code;wer.dll;?WerpCancelResponseDownload@@YGJPAX@Z (long __stdcall WerpCancelResponseDownload(void *))
WerpCancelUpload;code;wer.dll;?WerpCancelUpload@@YGJPAX@Z (long __stdcall WerpCancelUpload(void *))
