Name;Type;DLL;SymbolOrOrdinal
BluetoothAuthenticateDevice;code;irprops.cpl;_BluetoothAuthenticateDevice@20
BluetoothAuthenticateMultipleDevices;code;irprops.cpl;_BluetoothAuthenticateMultipleDevices@16
BluetoothAuthenticationAgent;code;irprops.cpl;_BluetoothAuthenticationAgent@16
BluetoothDisconnectDevice;code;irprops.cpl;_BluetoothDisconnectDevice@8
BluetoothDisplayDeviceProperties;code;irprops.cpl;_BluetoothDisplayDeviceProperties@8
BluetoothEnableDiscovery;code;irprops.cpl;_BluetoothEnableDiscovery@8
BluetoothEnableIncomingConnections;code;irprops.cpl;_BluetoothEnableIncomingConnections@8
BluetoothEnumerateInstalledServices;code;irprops.cpl;_BluetoothEnumerateInstalledServices@16
BluetoothFindBrowseGroupClose;code;irprops.cpl;_BluetoothFindBrowseGroupClose@4
BluetoothFindClassIdClose;code;irprops.cpl;_BluetoothFindClassIdClose@4
BluetoothFindDeviceClose;code;irprops.cpl;_BluetoothFindDeviceClose@4
BluetoothFindFirstBrowseGroup;code;irprops.cpl;_BluetoothFindFirstBrowseGroup@8
BluetoothFindFirstClassId;code;irprops.cpl;_BluetoothFindFirstClassId@8
BluetoothFindFirstDevice;code;irprops.cpl;_BluetoothFindFirstDevice@8
BluetoothFindFirstProfileDescriptor;code;irprops.cpl;_BluetoothFindFirstProfileDescriptor@8
BluetoothFindFirstProtocolDescriptorStack;code;irprops.cpl;_BluetoothFindFirstProtocolDescriptorStack@8
BluetoothFindFirstProtocolEntry;code;irprops.cpl;_BluetoothFindFirstProtocolEntry@8
BluetoothFindFirstRadio;code;irprops.cpl;_BluetoothFindFirstRadio@8
BluetoothFindFirstService;code;irprops.cpl;_BluetoothFindFirstService@8
BluetoothFindNextBrowseGroup;code;irprops.cpl;_BluetoothFindNextBrowseGroup@8
BluetoothFindNextClassId;code;irprops.cpl;_BluetoothFindNextClassId@8
BluetoothFindNextDevice;code;irprops.cpl;_BluetoothFindNextDevice@8
BluetoothFindNextProfileDescriptor;code;irprops.cpl;_BluetoothFindNextProfileDescriptor@8
BluetoothFindNextProtocolDescriptorStack;code;irprops.cpl;_BluetoothFindNextProtocolDescriptorStack@8
BluetoothFindNextProtocolEntry;code;irprops.cpl;_BluetoothFindNextProtocolEntry@8
BluetoothFindNextRadio;code;irprops.cpl;_BluetoothFindNextRadio@8
BluetoothFindNextService;code;irprops.cpl;_BluetoothFindNextService@8
BluetoothFindProfileDescriptorClose;code;irprops.cpl;_BluetoothFindProfileDescriptorClose@4
BluetoothFindProtocolDescriptorStackClose;code;irprops.cpl;_BluetoothFindProtocolDescriptorStackClose@4
BluetoothFindProtocolEntryClose;code;irprops.cpl;_BluetoothFindProtocolEntryClose@4
BluetoothFindRadioClose;code;irprops.cpl;_BluetoothFindRadioClose@4
BluetoothFindServiceClose;code;irprops.cpl;_BluetoothFindServiceClose@4
BluetoothGetDeviceInfo;code;irprops.cpl;_BluetoothGetDeviceInfo@8
BluetoothGetRadioInfo;code;irprops.cpl;_BluetoothGetRadioInfo@8
BluetoothIsConnectable;code;irprops.cpl;_BluetoothIsConnectable@4
BluetoothIsDiscoverable;code;irprops.cpl;_BluetoothIsDiscoverable@4
BluetoothMapClassOfDeviceToImageIndex;code;irprops.cpl;_BluetoothMapClassOfDeviceToImageIndex@4
BluetoothMapClassOfDeviceToString;code;irprops.cpl;_BluetoothMapClassOfDeviceToString@4
BluetoothRegisterForAuthentication;code;irprops.cpl;_BluetoothRegisterForAuthentication@16
BluetoothRemoveDevice;code;irprops.cpl;_BluetoothRemoveDevice@4
BluetoothSdpEnumAttributes;code;irprops.cpl;_BluetoothSdpEnumAttributes@16
BluetoothSdpGetAttributeValue;code;irprops.cpl;_BluetoothSdpGetAttributeValue@16
BluetoothSdpGetContainerElementData;code;irprops.cpl;_BluetoothSdpGetContainerElementData@16
BluetoothSdpGetElementData;code;irprops.cpl;_BluetoothSdpGetElementData@12
BluetoothSdpGetString;code;irprops.cpl;_BluetoothSdpGetString@24
BluetoothSelectDevices;code;irprops.cpl;_BluetoothSelectDevices@4
BluetoothSelectDevicesFree;code;irprops.cpl;_BluetoothSelectDevicesFree@4
BluetoothSendAuthenticationResponse;code;irprops.cpl;_BluetoothSendAuthenticationResponse@12
BluetoothSetServiceState;code;irprops.cpl;_BluetoothSetServiceState@16
BluetoothUnregisterAuthentication;code;irprops.cpl;_BluetoothUnregisterAuthentication@4
BluetoothUpdateDeviceRecord;code;irprops.cpl;_BluetoothUpdateDeviceRecord@4
CPlApplet;code;irprops.cpl;_CPlApplet@16
