Name;Type;DLL;SymbolOrOrdinal
WlanAllocateMemory;code;Wlanapi.dll;_WlanAllocateMemory@4
WlanCloseHandle;code;Wlanapi.dll;_WlanCloseHandle@8
WlanConnect;code;Wlanapi.dll;_WlanConnect@16
WlanDeleteProfile;code;Wlanapi.dll;_WlanDeleteProfile@16
WlanDisconnect;code;Wlanapi.dll;_WlanDisconnect@12
WlanEnumInterfaces;code;Wlanapi.dll;_WlanEnumInterfaces@12
WlanExtractPsdIEDataList;code;Wlanapi.dll;_WlanExtractPsdIEDataList@24
WlanFreeMemory;code;Wlanapi.dll;_WlanFreeMemory@4
WlanGetAvailableNetworkList;code;Wlanapi.dll;_WlanGetAvailableNetworkList@20
WlanGetFilterList;code;Wlanapi.dll;_WlanGetFilterList@16
WlanGetInterfaceCapability;code;Wlanapi.dll;_WlanGetInterfaceCapability@16
WlanGetNetworkBssList;code;Wlanapi.dll;_WlanGetNetworkBssList@28
WlanGetProfile;code;Wlanapi.dll;_WlanGetProfile@28
WlanGetProfileCustomUserData;code;Wlanapi.dll;_WlanGetProfileCustomUserData@24
WlanGetProfileList;code;Wlanapi.dll;_WlanGetProfileList@16
WlanGetSecuritySettings;code;Wlanapi.dll;_WlanGetSecuritySettings@20
WlanHostedNetworkForceStart;code;Wlanapi.dll;_WlanHostedNetworkForceStart@12
WlanHostedNetworkForceStop;code;Wlanapi.dll;_WlanHostedNetworkForceStop@12
WlanHostedNetworkInitSettings;code;Wlanapi.dll;_WlanHostedNetworkInitSettings@12
WlanHostedNetworkQueryProperty;code;Wlanapi.dll;_WlanHostedNetworkQueryProperty@24
WlanHostedNetworkQuerySecondaryKey;code;Wlanapi.dll;_WlanHostedNetworkQuerySecondaryKey@28
WlanHostedNetworkQueryStatus;code;Wlanapi.dll;_WlanHostedNetworkQueryStatus@12
WlanHostedNetworkRefreshSecuritySettings;code;Wlanapi.dll;_WlanHostedNetworkRefreshSecuritySettings@12
WlanHostedNetworkSetProperty;code;Wlanapi.dll;_WlanHostedNetworkSetProperty@24
WlanHostedNetworkSetSecondaryKey;code;Wlanapi.dll;_WlanHostedNetworkSetSecondaryKey@28
WlanHostedNetworkStartUsing;code;Wlanapi.dll;_WlanHostedNetworkStartUsing@12
WlanHostedNetworkStopUsing;code;Wlanapi.dll;_WlanHostedNetworkStopUsing@12
WlanIhvControl;code;Wlanapi.dll;_WlanIhvControl@32
WlanOpenHandle;code;Wlanapi.dll;_WlanOpenHandle@16
WlanQueryAutoConfigParameter;code;Wlanapi.dll;_WlanQueryAutoConfigParameter@24
WlanQueryInterface;code;Wlanapi.dll;_WlanQueryInterface@28
WlanReasonCodeToString;code;Wlanapi.dll;_WlanReasonCodeToString@16
WlanRegisterNotification;code;Wlanapi.dll;_WlanRegisterNotification@28
WlanRegisterVirtualStationNotification;code;Wlanapi.dll;_WlanRegisterVirtualStationNotification@12
WlanRenameProfile;code;Wlanapi.dll;_WlanRenameProfile@20
WlanSaveTemporaryProfile;code;Wlanapi.dll;_WlanSaveTemporaryProfile@28
WlanScan;code;Wlanapi.dll;_WlanScan@20
WlanSetAutoConfigParameter;code;Wlanapi.dll;_WlanSetAutoConfigParameter@20
WlanSetFilterList;code;Wlanapi.dll;_WlanSetFilterList@16
WlanSetInterface;code;Wlanapi.dll;_WlanSetInterface@24
WlanSetProfile;code;Wlanapi.dll;_WlanSetProfile@32
WlanSetProfileCustomUserData;code;Wlanapi.dll;_WlanSetProfileCustomUserData@24
WlanSetProfileEapUserData;code;Wlanapi.dll;_WlanSetProfileEapUserData@44
WlanSetProfileEapXmlUserData;code;Wlanapi.dll;_WlanSetProfileEapXmlUserData@24
WlanSetProfileList;code;Wlanapi.dll;_WlanSetProfileList@20
WlanSetProfilePosition;code;Wlanapi.dll;_WlanSetProfilePosition@20
WlanSetPsdIEDataList;code;Wlanapi.dll;_WlanSetPsdIEDataList@16
WlanSetSecuritySettings;code;Wlanapi.dll;_WlanSetSecuritySettings@12
