Name;Type;DLL;SymbolOrOrdinal
IsCharUpperW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IsCharUpperA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IsCharLowerW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IsCharLowerA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IsCharAlphaW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IsCharAlphaNumericW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IsCharAlphaNumericA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IsCharAlphaA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharUpperW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharUpperBuffW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharUpperBuffA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharUpperA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharPrevW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharPrevExA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharPrevA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharNextW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharNextExA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharNextA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharLowerW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharLowerBuffW;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharLowerBuffA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
CharLowerA;code;api-ms-win-downlevel-user32-l1-1-0.dll;
IStream_Copy;code;api-ms-win-downlevel-shlwapi-l2-1-0.dll;
IStream_Read;code;api-ms-win-downlevel-shlwapi-l2-1-0.dll;
IStream_ReadStr;code;api-ms-win-downlevel-shlwapi-l2-1-0.dll;
IStream_Reset;code;api-ms-win-downlevel-shlwapi-l2-1-0.dll;
IStream_Size;code;api-ms-win-downlevel-shlwapi-l2-1-0.dll;
IStream_Write;code;api-ms-win-downlevel-shlwapi-l2-1-0.dll;
IStream_WriteStr;code;api-ms-win-downlevel-shlwapi-l2-1-0.dll;
