Name;Type;DLL;SymbolOrOrdinal
CreatePropertyStore;code;MFPlat.DLL;
MFAddPeriodicCallback;code;MFPlat.DLL;
MFAllocateSerialWorkQueue;code;MFPlat.DLL;
MFAllocateWorkQueue;code;MFPlat.DLL;
MFAllocateWorkQueueEx;code;MFPlat.DLL;
MFAverageTimePerFrameToFrameRate;code;MFPlat.DLL;
MFBeginCreateFile;code;MFPlat.DLL;
MFBeginRegisterWorkQueueWithMMCSS;code;MFPlat.DLL;
MFBeginRegisterWorkQueueWithMMCSSEx;code;MFPlat.DLL;
MFBeginUnregisterWorkQueueWithMMCSS;code;MFPlat.DLL;
MFCalculateBitmapImageSize;code;MFPlat.DLL;
MFCalculateImageSize;code;MFPlat.DLL;
MFCancelCreateFile;code;MFPlat.DLL;
MFCancelWorkItem;code;MFPlat.DLL;
MFCompareFullToPartialMediaType;code;MFPlat.DLL;
MFConvertColorInfoFromDXVA;code;MFPlat.DLL;
MFConvertColorInfoToDXVA;code;MFPlat.DLL;
MFConvertFromFP16Array;code;MFPlat.DLL;
MFConvertToFP16Array;code;MFPlat.DLL;
MFCopyImage;code;MFPlat.DLL;
MFCreate2DMediaBuffer;code;MFPlat.DLL;
MFCreateAMMediaTypeFromMFMediaType;code;MFPlat.DLL;
MFCreateAlignedMemoryBuffer;code;MFPlat.DLL;
MFCreateAsyncResult;code;MFPlat.DLL;
MFCreateAttributes;code;MFPlat.DLL;
MFCreateAudioMediaType;code;MFPlat.DLL;
MFCreateCollection;code;MFPlat.DLL;
MFCreateContentDecryptorContext;code;MFPlat.DLL;
MFCreateContentProtectionDevice;code;MFPlat.DLL;
MFCreateDXGIDeviceManager;code;MFPlat.DLL;
MFCreateDXGISurfaceBuffer;code;MFPlat.DLL;
MFCreateDXSurfaceBuffer;code;MFPlat.DLL;
MFCreateEventQueue;code;MFPlat.DLL;
MFCreateFile;code;MFPlat.DLL;
MFCreateLegacyMediaBufferOnMFMediaBuffer;code;MFPlat.DLL;
MFCreateMFByteStreamOnStream;code;MFPlat.DLL;
MFCreateMFByteStreamOnStreamEx;code;MFPlat.DLL;
MFCreateMFByteStreamWrapper;code;MFPlat.DLL;
MFCreateMFVideoFormatFromMFMediaType;code;MFPlat.DLL;
MFCreateMediaBufferFromMediaType;code;MFPlat.DLL;
MFCreateMediaBufferWrapper;code;MFPlat.DLL;
MFCreateMediaEvent;code;MFPlat.DLL;
MFCreateMediaExtensionActivate;code;MFPlat.DLL;
MFCreateMediaType;code;MFPlat.DLL;
MFCreateMediaTypeFromProperties;code;MFPlat.DLL;
MFCreateMediaTypeFromRepresentation;code;MFPlat.DLL;
MFCreateMemoryBuffer;code;MFPlat.DLL;
MFCreateMuxStreamAttributes;code;MFPlat.DLL;
MFCreateMuxStreamMediaType;code;MFPlat.DLL;
MFCreateMuxStreamSample;code;MFPlat.DLL;
MFCreatePresentationDescriptor;code;MFPlat.DLL;
MFCreatePropertiesFromMediaType;code;MFPlat.DLL;
MFCreateSample;code;MFPlat.DLL;
MFCreateSharedMemoryMediaBufferFromMediaType;code;MFPlat.DLL;
MFCreateSourceResolver;code;MFPlat.DLL;
MFCreateStreamDescriptor;code;MFPlat.DLL;
MFCreateStreamOnMFByteStream;code;MFPlat.DLL;
MFCreateStreamOnMFByteStreamEx;code;MFPlat.DLL;
MFCreateSystemTimeSource;code;MFPlat.DLL;
MFCreateTempFile;code;MFPlat.DLL;
MFCreateTrackedSample;code;MFPlat.DLL;
MFCreateTransformActivate;code;MFPlat.DLL;
MFCreateVideoDecryptorContext;code;MFPlat.DLL;
MFCreateVideoMediaType;code;MFPlat.DLL;
MFCreateVideoMediaTypeFromBitMapInfoHeader;code;MFPlat.DLL;
MFCreateVideoMediaTypeFromBitMapInfoHeaderEx;code;MFPlat.DLL;
MFCreateVideoMediaTypeFromSubtype;code;MFPlat.DLL;
MFCreateVideoMediaTypeFromVideoInfoHeader;code;MFPlat.DLL;
MFCreateVideoMediaTypeFromVideoInfoHeader2;code;MFPlat.DLL;
MFCreateVideoSampleAllocatorEx;code;MFPlat.DLL;
MFCreateWICBitmapBuffer;code;MFPlat.DLL;
MFCreateWaveFormatExFromMFMediaType;code;MFPlat.DLL;
MFDeserializeAttributesFromStream;code;MFPlat.DLL;
MFDeserializePresentationDescriptor;code;MFPlat.DLL;
MFEndCreateFile;code;MFPlat.DLL;
MFEndRegisterWorkQueueWithMMCSS;code;MFPlat.DLL;
MFEndUnregisterWorkQueueWithMMCSS;code;MFPlat.DLL;
MFFrameRateToAverageTimePerFrame;code;MFPlat.DLL;
MFGetAttributesAsBlob;code;MFPlat.DLL;
MFGetAttributesAsBlobSize;code;MFPlat.DLL;
MFGetContentProtectionSystemCLSID;code;MFPlat.DLL;
MFGetMFTMerit;code;MFPlat.DLL;
MFGetPlaneSize;code;MFPlat.DLL;
MFGetPluginControl;code;MFPlat.DLL;
MFGetStrideForBitmapInfoHeader;code;MFPlat.DLL;
