Name;Type;DLL;SymbolOrOrdinal
CompressPhoneNumber;code;MPRAPI.dll;
MprAdminAddRoutingDomain;code;MPRAPI.dll;
MprAdminBufferFree;code;MPRAPI.dll;
MprAdminConnectionClearStats;code;MPRAPI.dll;
MprAdminConnectionEnum;code;MPRAPI.dll;
MprAdminConnectionEnumEx;code;MPRAPI.dll;
MprAdminConnectionGetInfo;code;MPRAPI.dll;
MprAdminConnectionGetInfoEx;code;MPRAPI.dll;
MprAdminConnectionRemoveQuarantine;code;MPRAPI.dll;
MprAdminDeleteRoutingDomain;code;MPRAPI.dll;
MprAdminDeregisterConnectionNotification;code;MPRAPI.dll;
MprAdminDeviceEnum;code;MPRAPI.dll;
MprAdminEstablishDomainRasServer;code;MPRAPI.dll;
MprAdminFreeRoutingDomainConfigEx;code;MPRAPI.dll;
MprAdminGetErrorString;code;MPRAPI.dll;
MprAdminGetPDCServer;code;MPRAPI.dll;
MprAdminGetProtocolStatistics;code;MPRAPI.dll;
MprAdminGetRoutingDomainId;code;MPRAPI.dll;
MprAdminInterfaceAddIkev2Policy;code;MPRAPI.dll;
MprAdminInterfaceClearStatisticsEx;code;MPRAPI.dll;
MprAdminInterfaceConnect;code;MPRAPI.dll;
MprAdminInterfaceCreate;code;MPRAPI.dll;
MprAdminInterfaceCreateEx;code;MPRAPI.dll;
MprAdminInterfaceDelete;code;MPRAPI.dll;
MprAdminInterfaceDeviceGetInfo;code;MPRAPI.dll;
MprAdminInterfaceDeviceSetInfo;code;MPRAPI.dll;
MprAdminInterfaceDisconnect;code;MPRAPI.dll;
MprAdminInterfaceEnum;code;MPRAPI.dll;
MprAdminInterfaceEnumEx;code;MPRAPI.dll;
MprAdminInterfaceGetCredentials;code;MPRAPI.dll;
MprAdminInterfaceGetCredentialsEx;code;MPRAPI.dll;
MprAdminInterfaceGetCustomInfoEx;code;MPRAPI.dll;
MprAdminInterfaceGetHandle;code;MPRAPI.dll;
MprAdminInterfaceGetInfo;code;MPRAPI.dll;
MprAdminInterfaceGetInfoEx;code;MPRAPI.dll;
MprAdminInterfaceGetStatisticsEx;code;MPRAPI.dll;
MprAdminInterfaceQueryUpdateResult;code;MPRAPI.dll;
MprAdminInterfaceSetCredentials;code;MPRAPI.dll;
MprAdminInterfaceSetCredentialsEx;code;MPRAPI.dll;
MprAdminInterfaceSetCustomInfoEx;code;MPRAPI.dll;
MprAdminInterfaceSetInfo;code;MPRAPI.dll;
MprAdminInterfaceSetInfoEx;code;MPRAPI.dll;
MprAdminInterfaceTransportAdd;code;MPRAPI.dll;
MprAdminInterfaceTransportGetInfo;code;MPRAPI.dll;
MprAdminInterfaceTransportRemove;code;MPRAPI.dll;
MprAdminInterfaceTransportSetInfo;code;MPRAPI.dll;
MprAdminInterfaceUpdatePhonebookInfo;code;MPRAPI.dll;
MprAdminInterfaceUpdateRoutes;code;MPRAPI.dll;
MprAdminIsDomainRasServer;code;MPRAPI.dll;
MprAdminIsModernStackEnabled;code;MPRAPI.dll;
MprAdminIsMultiTenancyEnabled;code;MPRAPI.dll;
MprAdminIsServiceInitialized;code;MPRAPI.dll;
MprAdminIsServiceRunning;code;MPRAPI.dll;
MprAdminMIBBufferFree;code;MPRAPI.dll;
MprAdminMIBEntryCreate;code;MPRAPI.dll;
MprAdminMIBEntryDelete;code;MPRAPI.dll;
MprAdminMIBEntryGet;code;MPRAPI.dll;
MprAdminMIBEntryGetFirst;code;MPRAPI.dll;
MprAdminMIBEntryGetNext;code;MPRAPI.dll;
MprAdminMIBEntrySet;code;MPRAPI.dll;
MprAdminMIBServerConnect;code;MPRAPI.dll;
MprAdminMIBServerDisconnect;code;MPRAPI.dll;
MprAdminMarkServerOffline;code;MPRAPI.dll;
MprAdminPortClearStats;code;MPRAPI.dll;
MprAdminPortDisconnect;code;MPRAPI.dll;
MprAdminPortEnum;code;MPRAPI.dll;
MprAdminPortGetInfo;code;MPRAPI.dll;
MprAdminPortReset;code;MPRAPI.dll;
MprAdminProtocolAction;code;MPRAPI.dll;
MprAdminRegisterConnectionNotification;code;MPRAPI.dll;
MprAdminRoutingDomainConnectionEnumEx;code;MPRAPI.dll;
MprAdminRoutingDomainGetConfigEx;code;MPRAPI.dll;
MprAdminRoutingDomainSetConfigEx;code;MPRAPI.dll;
MprAdminRoutingDomainsEnumEx;code;MPRAPI.dll;
MprAdminSendUserMessage;code;MPRAPI.dll;
MprAdminServerConnect;code;MPRAPI.dll;
MprAdminServerDisconnect;code;MPRAPI.dll;
MprAdminServerGetCredentials;code;MPRAPI.dll;
MprAdminServerGetInfo;code;MPRAPI.dll;
MprAdminServerGetInfoEx;code;MPRAPI.dll;
MprAdminServerSetCredentials;code;MPRAPI.dll;
MprAdminServerSetInfo;code;MPRAPI.dll;
MprAdminServerSetInfoEx;code;MPRAPI.dll;
MprAdminTransportCreate;code;MPRAPI.dll;
MprAdminTransportGetInfo;code;MPRAPI.dll;
MprAdminTransportSetInfo;code;MPRAPI.dll;
MprAdminUpdateConnection;code;MPRAPI.dll;
MprAdminUpgradeUsers;code;MPRAPI.dll;
MprAdminUserClose;code;MPRAPI.dll;
MprAdminUserGetInfo;code;MPRAPI.dll;
MprAdminUserOpen;code;MPRAPI.dll;
MprAdminUserRead;code;MPRAPI.dll;
MprAdminUserReadProfFlags;code;MPRAPI.dll;
MprAdminUserServerConnect;code;MPRAPI.dll;
MprAdminUserServerDisconnect;code;MPRAPI.dll;
MprAdminUserSetInfo;code;MPRAPI.dll;
MprAdminUserWrite;code;MPRAPI.dll;
MprAdminUserWriteProfFlags;code;MPRAPI.dll;
MprConfigAddRoutingDomain;code;MPRAPI.dll;
MprConfigBufferFree;code;MPRAPI.dll;
MprConfigDeleteAllRoutingDomainsConfigEx;code;MPRAPI.dll;
MprConfigDeleteRoutingDomain;code;MPRAPI.dll;
MprConfigFilterGetInfo;code;MPRAPI.dll;
MprConfigFilterSetInfo;code;MPRAPI.dll;
MprConfigFreeAllRoutingDomainsConfigBufferEx;code;MPRAPI.dll;
MprConfigFreeRoutingDomainConfigEx;code;MPRAPI.dll;
MprConfigGetAllRoutingDomainsConfigEx;code;MPRAPI.dll;
MprConfigGetFriendlyName;code;MPRAPI.dll;
MprConfigGetGuidName;code;MPRAPI.dll;
MprConfigGetRoutingDomainId;code;MPRAPI.dll;
MprConfigInterfaceCreate;code;MPRAPI.dll;
MprConfigInterfaceCreateEx;code;MPRAPI.dll;
MprConfigInterfaceDelete;code;MPRAPI.dll;
MprConfigInterfaceEnum;code;MPRAPI.dll;
MprConfigInterfaceEnumEx;code;MPRAPI.dll;
MprConfigInterfaceGetCustomInfoEx;code;MPRAPI.dll;
MprConfigInterfaceGetHandle;code;MPRAPI.dll;
MprConfigInterfaceGetInfo;code;MPRAPI.dll;
MprConfigInterfaceGetInfoEx;code;MPRAPI.dll;
MprConfigInterfaceSetCustomInfoEx;code;MPRAPI.dll;
MprConfigInterfaceSetInfo;code;MPRAPI.dll;
MprConfigInterfaceSetInfoEx;code;MPRAPI.dll;
MprConfigInterfaceTransportAdd;code;MPRAPI.dll;
MprConfigInterfaceTransportEnum;code;MPRAPI.dll;
MprConfigInterfaceTransportGetHandle;code;MPRAPI.dll;
MprConfigInterfaceTransportGetInfo;code;MPRAPI.dll;
MprConfigInterfaceTransportRemove;code;MPRAPI.dll;
MprConfigInterfaceTransportSetInfo;code;MPRAPI.dll;
MprConfigIsMultiTenancyEnabled;code;MPRAPI.dll;
MprConfigRoutingDomainEnumEx;code;MPRAPI.dll;
MprConfigRoutingDomainGetConfigEx;code;MPRAPI.dll;
MprConfigRoutingDomainSetConfigEx;code;MPRAPI.dll;
MprConfigServerBackup;code;MPRAPI.dll;
MprConfigServerConnect;code;MPRAPI.dll;
MprConfigServerDisconnect;code;MPRAPI.dll;
MprConfigServerGetInfo;code;MPRAPI.dll;
MprConfigServerGetInfoEx;code;MPRAPI.dll;
MprConfigServerInstall;code;MPRAPI.dll;
MprConfigServerRefresh;code;MPRAPI.dll;
MprConfigServerRestore;code;MPRAPI.dll;
MprConfigServerSetInfo;code;MPRAPI.dll;
MprConfigServerSetInfoEx;code;MPRAPI.dll;
MprConfigSetAllRoutingDomainsConfigEx;code;MPRAPI.dll;
MprConfigTransportCreate;code;MPRAPI.dll;
MprConfigTransportDelete;code;MPRAPI.dll;
MprConfigTransportEnum;code;MPRAPI.dll;
MprConfigTransportGetHandle;code;MPRAPI.dll;
MprConfigTransportGetInfo;code;MPRAPI.dll;
MprConfigTransportSetInfo;code;MPRAPI.dll;
MprDomainQueryRasServer;code;MPRAPI.dll;
MprDomainRegisterRasServer;code;MPRAPI.dll;
MprFreeInterfaceInfoEx;code;MPRAPI.dll;
MprGetUsrParams;code;MPRAPI.dll;
MprInfoBlockAdd;code;MPRAPI.dll;
MprInfoBlockFind;code;MPRAPI.dll;
MprInfoBlockQuerySize;code;MPRAPI.dll;
MprInfoBlockRemove;code;MPRAPI.dll;
MprInfoBlockSet;code;MPRAPI.dll;
MprInfoCreate;code;MPRAPI.dll;
MprInfoDelete;code;MPRAPI.dll;
MprInfoDuplicate;code;MPRAPI.dll;
MprInfoRemoveAll;code;MPRAPI.dll;
MprPortSetUsage;code;MPRAPI.dll;
RasPrivilegeAndCallBackNumber;code;MPRAPI.dll;
